Northern Low Saxon	Standard German	probability
ˈʏ_n	n	1.0
ˈɪ_n	n	1.0
ˈɪ_d	ˈaɪ̯_s	1.0
ˈɛː	ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_ɐ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈyː	ˈɔʏ̯	1.0
ˈaʊ̯_ɐ	ˈɔ_ɐ	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ə	-	1.0
z	z	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
r	ʁ	1.0
pʰ	p͡f	1.0
p	p	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	ɡ	1.0
i	ɪ	1.0
b_m	f_n	1.0
aɪ̯	eː	1.0
v	v	0.959
n	n	0.909
ˈa	ˈa	0.908
b	b	0.9
ˈɪ	ˈɪ	0.892
ˈuː	ˈaʊ̯	0.879
h	h	0.878
ˈiː	ˈaɪ̯	0.876
m	m	0.837
ɐ	ɐ	0.815
ˈʏ	ˈʏ	0.813
f	f	0.813
ˈøː	-	0.773
ŋ	ŋ	0.764
x	x	0.75
ˈʊ	ˈʊ	0.643
d_n	s_n	0.609
ˈeɪ̯	ˈeː	0.593
z̥	z̥	0.588
ˈaː	ˈa_ɐ	0.545
t	t	0.541
ˈoː	ˈaː	0.462
ˈɛ	ˈɛ	0.459
ˈɔ	ˈɔ	0.444
ɡ	ɡ	0.424
ˈaɪ̯	ˈaɪ̯	0.416
z̥	z_ə	0.412
ˈeɪ̯	-	0.407
ˈeː	ˈɛ	0.405
ˈeː	-	0.397
d_n	t_n	0.391
ˈaʊ̯	ˈuː	0.37
ˈʊ	ˈɔ	0.357
ˈɛ	ˈaː	0.346
ˈɔʏ̯	ˈyː	0.336
ˈɔ	ˈʊ	0.333
s	s_t	0.329
ˈɔʏ̯	ˈøː	0.328
ç	ç	0.318
ˈaʊ̯	ˈoː	0.286
ˈaɪ̯	ˈiː	0.283
t	ʦ	0.272
s	s	0.258
ɡ	ç	0.254
x	ɡ̊	0.25
ç	ɡ̊	0.238
ŋ	ɡ_n	0.236
ˈøː	ˈyː	0.227
ˈaː	ˈa_l	0.227
ˈaː	ɐ	0.227
ˈoː	ˈoː	0.225
ˈaʊ̯	ˈaʊ̯	0.225
ˈɔ	-	0.222
d	t	0.22
s	ʃ	0.213
ˈaɪ̯	ˈeː	0.203
s	-	0.2
ˈɔʏ̯	-	0.198
ˈeː	ˈeː	0.198
ˈɛ	-	0.194
d	d	0.193
ˈʏ	-	0.187
t	s	0.187
f	b̥	0.187
ɐ	ʁ_ə	0.185
d	tʰ	0.177
ɡ	k	0.172
m	b_n	0.163
ç	ç_t	0.159
ç	-	0.159
ɡ	x	0.15
ˈɔʏ̯	ˈuː	0.138
d	d̥	0.13
ç	k_n	0.126
ˈiː	ˈiː_ɐ	0.124
d	s	0.124
ˈoː	ə	0.122
h	h_ˈɛ	0.122
ˈuː	ˈuː	0.121
d	ʦ	0.121
ˈaʊ̯	ˈa	0.118
ˈɪ	ˈaɪ̯	0.108
b	p͡f	0.1
ˈaɪ̯	ˈiː_ɡ	0.098
ˈoː	ˈa	0.097
ˈoː	ˈɛː	0.094
ˈa	ˈaː	0.092
n	n_d	0.091
