Lengadocian	Lengadocian	probability
ˈy	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈi_#>	ˈi_r_i_#>	1.0
ˈi	ˈi	1.0
ʧ	p_t	1.0
ʦ	ʦ_i	1.0
ʎ_ɔ	ʎ_i	1.0
ʀ_s	r_s	1.0
ʀ_k	r_k	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_e	r_u	1.0
ɥ_ˈɛ	o̯ˈa	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ	ˈo	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
ð	t	1.0
z	-	1.0
w_ɾ	r	1.0
s_#>	#>	1.0
nː	m_i	1.0
n_#>	m_t_u_#>	1.0
n	n	1.0
mː	p_t	1.0
l_ˈe	l_ˈi	1.0
l_#>	r_#>	1.0
k_ɾ	k_r	1.0
k_u	k_u	1.0
j_ˈɛ	ˈe	1.0
j_ɾ	t	1.0
j_s	ʃ_t	1.0
i	-	1.0
e_s	s	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
p	p	0.909
ʀ	r	0.889
ɾ	r	0.889
k	k	0.889
t	t	0.875
ˈu	ˈu	0.808
ɔ	ə	0.795
u	u	0.778
m	m	0.778
k_#>	k_#>	0.778
β	-	0.75
ɡ	ɡ	0.75
f	f	0.714
ˈɔ	ˈo	0.688
ɲ	-	0.667
<#_a	<#_a	0.667
e	i	0.647
ˈa_#>	ˈa_r_i_#>	0.615
ɣ	-	0.6
d	d	0.571
ˈe	e̯ˈa	0.565
ˈa	ˈa	0.564
s	s	0.543
b	b	0.524
ʤ	ʤ	0.5
ʤ	ʣ	0.5
w	-	0.462
j	-	0.444
#>	i_#>	0.417
ɣ	ɡ	0.4
ˈa_#>	i_#>	0.385
w	w	0.385
a	ə	0.385
ɲ	ɲ	0.333
l	ʎ	0.333
j	i	0.333
<#_a	<#	0.333
ˈɔ	o̯ˈa	0.312
a	-	0.308
l	l	0.303
ˈɛ	ˈe	0.296
f	ç	0.286
ˈe	ˈe	0.261
β	r	0.25
ɡ	-	0.25
#>	u_#>	0.25
b	v	0.238
b	j	0.238
u	-	0.222
k_#>	#>	0.222
j	e̯ˈa	0.222
d	ʣ	0.214
d	-	0.214
ˈu	o̯ˈa	0.192
ˈɛ	ˈi	0.185
ˈɛ	ˈa	0.185
e	-	0.176
ˈe	ˈi	0.174
#>	ə_#>	0.167
ˈa	ˈɨ	0.154
w	v_r	0.154
a	u	0.154
a	a	0.154
l	r	0.152
m	ɲ	0.148
s	ʃ	0.143
ˈa	ˈɨ_n	0.128
t	d	0.125
s	ʦ	0.114
ˈɛ	i	0.111
ʀ	u	0.111
ɾ	-	0.111
k	ʦ	0.111
ˈa	-	0.103
ɔ	n_ə	0.091
p	k	0.091
l	u	0.091
e	r	0.088
e	i_r	0.088
s	r	0.086
#>	n_#>	0.083
ˈɛ	k_ʎ	0.074
ˈɛ	e̯ˈa	0.074
ˈɛ	-	0.074
m	-	0.074
ɔ	i	0.068
l	k_ʎ	0.061
l	-	0.061
s	ʧ	0.057
s	i	0.057
ˈa	e̯ˈa	0.051
