Saterland Frisian	Swiss German	probability
a	ˈyː	0.5
a	ə	0.5
b	b̥	0.923
b	-	0.073
d	t	0.582
d	d̥	0.245
d	tː	0.053
d	r_t	0.045
d	-	0.04
f	f	0.902
f	b̥	0.094
f_j	f	0.241
h	h	1.0
j	-	0.415
j	ɡ̊	0.222
j	j	0.143
j	t	0.116
j	ˈæː	0.066
j_ˈoː	ˈyː	0.491
j_ˈuː	ˈyː	0.491
j_ˈʊ	ˈi	1.0
k	χ	0.695
k	k	0.204
k	ɡ̊	0.053
k	-	0.045
l	l	0.964
l	w	0.029
l	-	0.029
l_j	l	0.241
m	m	0.952
m	mː	0.051
n	n	0.606
n	-	0.391
n_d	ŋ	0.491
p	p͡f	0.332
p	f	0.272
p	fː	0.162
p	p	0.081
r	r	0.959
r	rː	0.034
r_j	r	1.0
s	s	0.496
s	ʃ	0.411
s	χ	0.061
s	ʃː	0.029
s_j	s	0.241
s_k	ʃ	1.0
t	t	0.353
t	sː	0.188
t	ʦ	0.178
t	d̥	0.099
t	-	0.074
v	ʋ	0.854
v	-	0.069
v	b̥	0.042
v	f	0.041
w	b̥	0.324
w	ˈyː	0.159
x	χ	0.541
x	ɡ̊	0.359
x	f	0.06
x	b̥	0.045
z	s	0.915
z	r	0.062
ŋ	ŋ	1.0
ə	ə	0.646
ə	-	0.32
ə	i	0.033
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.84
ɣ	f	0.067
ɣ	b̥	0.055
ɣ	-	0.047
ɪ	i	0.656
ɪ	-	0.331
ɫ	l	1.0
ˈa	ˈe	0.226
ˈa	ˈæ	0.182
ˈa	ˈɒ	0.182
ˈa	ˈø	0.111
ˈaː	ˈɒ	0.367
ˈaː	ˈei̯	0.207
ˈaː	ˈæː	0.143
ˈaː	ˈa	0.136
ˈaːi̯	ˈæ	0.415
ˈaːi̯	ˈɒ	0.204
ˈaːi̯	ˈɒː	0.204
ˈaːu̯	ˈou̯	0.182
ˈaːu̯	ˈiə̯	0.182
ˈeː	ˈeː	0.203
ˈeː	ˈøː	0.159
ˈeː	ˈæ	0.138
ˈeː	ˈɛi̯	0.138
ˈeː	ˈæi̯	0.105
ˈeːu̯	ˈæː	0.491
ˈi	ˈiː	0.503
ˈi	ˈi	0.105
ˈi	-	0.102
ˈi	ˈæː	0.102
ˈi	ˈæ	0.062
ˈiː	ˈɒː	0.253
ˈiː	ˈiː	0.172
ˈiː	ˈi	0.159
ˈiː	ˈæ	0.094
ˈiː	ˈy	0.091
ˈiːu̯	ˈæ	0.491
ˈoː	ˈoː	0.239
ˈoː	ˈɒ	0.124
ˈoː	ˈau̯	0.108
ˈoː	ˈou̯	0.092
ˈoː	ˈɒː	0.085
ˈoːu̯	ˈuə̯	0.369
ˈoːu̯	ˈo	0.29
ˈoːu̯	ˈɒ	0.198
ˈoːu̯	ˈoː	0.121
ˈu	ˈuː	0.561
ˈu	ˈyː	0.209
ˈu	ˈuə̯	0.072
ˈuː	ˈuː	0.299
ˈuː	ˈo	0.155
ˈuː	ˈyː	0.125
ˈuː	ˈu	0.125
ˈuː	ˈyə̯	0.082
ˈyː	ˈy	0.5
ˈyː	ˈyː	0.5
ˈœː	ˈøː	1.0
ˈɔ	ˈo	0.351
ˈɔ	ˈɒː	0.158
ˈɔ	ˈø	0.158
ˈɔ	ˈɒ	0.115
ˈɔ	ˈy	0.075
ˈɔː	ˈɒ	0.385
ˈɔː	ˈæ	0.287
ˈɔː	ˈu	0.126
ˈɔː	ˈɒː	0.073
ˈɔː	ˈi	0.06
ˈɔːɪ̯	ˈei̯	0.241
ˈɛ	ˈɒː	0.349
ˈɛ	ˈɛi̯	0.196
ˈɛ	ˈe	0.196
ˈɛ	ˈɒ	0.132
ˈɛ	ˈæ	0.058
ˈɛɪ̯	ˈɒː	0.217
ˈɛɪ̯	ˈyə̯	0.174
ˈɛɪ̯	ˈøi̯	0.157
ˈɛɪ̯	ˈyː	0.082
ˈɛɪ̯	ˈuː	0.066
ˈɛː	ˈu	0.231
ˈɛː	-	0.153
ˈɛː	ˈɒ	0.153
ˈɛː	ˈa	0.153
ˈɛː	ˈæ	0.11
ˈɪ	ˈi	0.671
ˈɪ	ˈy	0.139
ˈɪ	ˈe	0.092
ˈɪ	ˈiə̯	0.092
ˈʊ	ˈu	0.526
ˈʊ	ˈo	0.17
ˈʊ	ˈæ	0.112
ˈʊ	ˈiə̯	0.085
ˈʊ	ˈø	0.081
