Russian	Bulgarian	probability
ˈɵ_r	ˈɤ_r	1.0
ˈɵ	ˈɛ	1.0
ˈu	ˈɤ	1.0
ˈo_ɫ	ˈɤ_ɫ	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦ	1.0
ʊ	ɐ	1.0
ʂ	ʃ	1.0
ɫ_ˈo	ɫ_ˈa	1.0
ɫ_ɨ_j_#>	ɫ_#>	1.0
ɫ_#>	ɫ_#>	1.0
ɫ	ɫ	1.0
ɪ_lʲ	ɛ_l	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
vʲ_ˈe	vʲ_ˈa	1.0
vʲ	v	1.0
v_ɨ_j_#>	f_#>	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
sʲ_ɪ	s_ɛ	1.0
sʲ	s	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ɨ	r	1.0
r	r	1.0
pʲ	p	1.0
p_#>	p_#>	1.0
nʲ_#>	n_#>	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
mʲ	m	1.0
lʲ_ˈe	lʲ_ˈa	1.0
lʲ_#>	ɫ_#>	1.0
kʲ_ɪ_j_#>	ɐ_k_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	#>	1.0
dʲ_ˈi	d_ˈi	1.0
d	d	1.0
b	b	1.0
<#_ʨ	<#_ʧ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_ˈɔ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_tʲ	<#_t	1.0
<#_t	<#_t	1.0
<#_sʲ	<#_s	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_dʲ	<#_d	1.0
<#_d	<#_d	1.0
tʲ_#>	t_#>	0.769
ˈɨ	ˈi	0.667
ˈa	ˈa	0.667
ɐ	o	0.625
ɐ_r	r_ˈa	0.6
ˈe	ˈɛ	0.588
ɪ	ɛ	0.526
tʲ	t	0.5
tʲ	j_ɐ	0.5
<#_lʲ	<#_lʲ	0.5
<#_lʲ	<#_l	0.5
ˈo	ˈɔ	0.433
ɐ_r	o_r	0.4
ə_#>	ɐ_#>	0.389
ə	ɐ	0.375
ə	-	0.375
ɐ	ɛ	0.375
ˈɨ	i	0.333
ˈa	ˈɛ	0.333
ə_#>	o_#>	0.333
ˈe	ˈa	0.294
ə	ˈa	0.25
ˈo	-	0.233
tʲ_#>	ɐ_#>	0.231
ˈo	ˈɤ	0.2
ə_#>	ˈɔ_#>	0.167
ɪ	ˈɛ	0.158
ˈe	ɐ	0.118
ə_#>	ɛ_#>	0.111
ɪ	ˈa	0.105
ɪ	ɐ	0.105
ɪ	k	0.105
ˈo	ɐ	0.067
ˈo	o	0.067
