Eastphalian	North Frisian	probability
b	b	0.935
b	v	0.065
b_m	p	1.0
d	d	0.478
d	t	0.194
d	-	0.136
d	s	0.067
d	tʲ	0.05
f	f	0.864
f	ə_v	0.074
f	v	0.039
f	v_ə	0.039
h	h	1.0
j	j	0.367
j	-	0.206
j	ɡ	0.185
j	ə	0.127
k	k	0.817
k	ʃ	0.097
k	s	0.055
k	h	0.04
l	l	0.92
l	-	0.036
l	lʲ	0.035
l	j	0.032
l_d	lʲ	1.0
m	m	0.932
m	n	0.05
m	-	0.037
n	n	0.557
n	ə	0.322
n	-	0.074
n	nʲ	0.035
n_d	nʲ	1.0
p	p	0.761
p	v	0.17
p	d	0.057
r	r	0.962
r	j	0.043
s	s	0.907
s	r_s	0.087
t	t	0.641
t	d	0.137
t	dʲ	0.069
t	tʲ	0.054
t	z	0.05
t_ə	tʲ	1.0
v	v	0.862
v	-	0.136
v_ˈʊ	ˈʊ	1.0
w	v	0.548
w	ˈʏ	0.194
w	ˈuː	0.119
x	x	0.639
x	j	0.14
x	-	0.099
x	k	0.099
z	s	0.734
z	z	0.194
z	ʃ	0.069
ç	-	0.564
ç	x	0.299
ç	ŋ	0.084
ŋ	ŋ	0.898
ŋ	n	0.091
ɐ	r	1.0
ə	-	0.814
ə	ə	0.185
ɡ	j	1.0
ɣ	ɡ	0.604
ɣ	j	0.165
ɣ	w	0.129
ɣ	-	0.074
ɪ	i	1.0
ʃ	ʃ	0.856
ʃ	s	0.141
ˈa	ˈɒ	0.182
ˈa	ˈœ	0.15
ˈa	ˈa	0.113
ˈa	ˈɒː	0.084
ˈa	ˈʊ	0.08
ˈaʊ̯	ˈœ	0.559
ˈaʊ̯	ˈɔu̯	0.18
ˈaʊ̯	ˈuː	0.111
ˈaʊ̯	ˈyː	0.111
ˈaː	ˈiː	0.219
ˈaː	ˈɒ	0.219
ˈaː	ˈʊ	0.219
ˈaː	ˈa	0.143
ˈaː	ˈɒː	0.143
ˈeo̯	ˈuː	0.541
ˈeo̯	ˈyː	0.397
ˈeo̯	ˈiː	0.059
ˈeː	ˈɛː	0.255
ˈeː	ˈa	0.169
ˈeː	ˈeː	0.152
ˈeː	ˈiː	0.115
ˈeː	ˈyː	0.115
ˈiː	ˈi	0.589
ˈiː	ˈeː	0.188
ˈiː	ˈiː	0.112
ˈiː	ˈai̯	0.055
ˈiː	ˈyː	0.045
ˈoː	ˈɔu̯	0.282
ˈoː	ˈuː	0.199
ˈoː	ˈaː	0.151
ˈoː	ˈœ	0.09
ˈoː	ˈɔ	0.09
ˈuː	ˈyː	0.684
ˈuː	ˈøː	0.2
ˈuː	ˈuː	0.096
ˈyː	ˈøː	0.326
ˈyː	ˈʏ	0.161
ˈøː	ˈiː	0.629
ˈøː	ˈøː	0.361
ˈœ	ˈa	0.461
ˈœ	ˈeː	0.148
ˈœ	ˈɔː	0.148
ˈɒː	ˈɛi̯	0.327
ˈɒː	ˈɒː	0.278
ˈɒː	ˈɛː	0.19
ˈɒː	ˈɔu̯	0.109
ˈɒː	ˈɔː	0.082
ˈɔ	ˈɔː	0.343
ˈɔ	ˈœ	0.209
ˈɔ	ˈʏ	0.117
ˈɔ	ˈɔ	0.09
ˈɔ	ˈʊ	0.085
ˈɔʏ̯	ˈɛ	0.398
ˈɔʏ̯	ˈɛi̯	0.398
ˈɔʏ̯	ˈiː	0.149
ˈɛ	ˈeː	0.251
ˈɛ	ˈaː	0.144
ˈɛ	ˈi	0.105
ˈɛ	ˈɔː	0.105
ˈɛ	ˈɛi̯	0.102
ˈɛə̯	ˈeː	1.0
ˈɛɪ̯	ˈiː	0.688
ˈɛɪ̯	ˈɔu̯	0.094
ˈɛɪ̯	ˈɛi̯	0.071
ˈɛɪ̯	ˈɒː	0.054
ˈɛɪ̯	ˈɛː	0.048
ˈɛː	ˈɛː	0.308
ˈɛː	ˈɔː	0.247
ˈɛː	ˈœ	0.163
ˈɛː	ˈɛi̯	0.163
ˈɛː	ˈi	0.079
ˈɪ	ˈa	0.286
ˈɪ	ˈi	0.233
ˈɪ	ˈʊ	0.194
ˈɪ	ˈai̯	0.095
ˈɪ	ˈɒ	0.083
ˈʊ	ˈʊ	0.619
ˈʊ	ˈyː	0.258
ˈʊ	ˈœ	0.105
ˈʏ	ˈyː	0.375
ˈʏ	ˈʏ	0.215
ˈʏ	ˈʊ	0.132
ˈʏ	ˈeː	0.096
ˈʏ	ˈa	0.086
