Swedish	Northern Low Saxon	probability
a	-	0.669
a	n	0.268
a	ɐ	0.062
b	b	0.983
b	-	0.038
d	d	0.878
d	-	0.12
e	l	0.5
f	f	0.974
f	ʃ	0.042
h	h	0.967
h	-	0.045
j	-	0.482
j	ɡ	0.115
j	j	0.086
j	ˈɪ	0.086
j	ˈeɪ̯	0.086
jː	ŋ	0.25
k	ɡ	0.759
k	k	0.132
k	-	0.1
kʰ	kʰ	0.809
kʰ	-	0.187
kː	k	0.45
kː	ɡ	0.342
l	l	0.937
l	-	0.057
l_ɛ	l	1.0
lː	l	1.0
m	m	0.933
m	-	0.067
mː	m	1.0
n	n	0.833
n	-	0.126
n	t	0.035
nː	n	0.785
nː	ˈuː	0.107
nː	l	0.107
p	b	0.875
p	p	0.095
pː	b	1.0
r	r	0.412
r	-	0.322
r	ɐ	0.185
r	d_ɐ	0.062
r	ɐ_d	0.032
r_a	ɐ	1.0
rː	ç	0.5
rː	ɐ	0.5
s	s	0.461
s	z	0.262
s	ʃ	0.231
s	-	0.039
s_k	ʃ	1.0
sː	s	1.0
t	d	0.606
t	t	0.278
t	-	0.111
tʰ	d	0.545
tʰ	tʰ	0.435
tʰ	b	0.039
tː	d	0.445
tː	x	0.375
tː	ç	0.132
v	v	0.614
v	f	0.217
v	-	0.09
v	b	0.068
ŋ	ŋ	0.221
ŋ	ç	0.192
ŋ	n	0.181
ŋ	m	0.167
ŋː	ŋ	1.0
ɕ	kʰ	0.33
ɕ	d	0.33
ɖ	ɐ_d	0.74
ɖ	-	0.14
ɛ	ɐ	0.511
ɛ	-	0.426
ɛ	ə	0.056
ɛ_l	l	1.0
ɡ	ɡ	0.518
ɡ	ç	0.246
ɡ	x	0.141
ɡ	-	0.084
ɡː	ɡ	0.297
ɡː	-	0.244
ɡː	ç	0.14
ɧ	ʃ	0.616
ɧ	z	0.375
ɪ	ɪ	0.574
ɪ	-	0.287
ɳ	ɐ	1.0
ɳː	ˈaʊ̯	0.25
ɵ	ɪ	0.25
ɵ	-	0.125
ʈː	d	1.0
ʊ	ˈeː	0.66
ʊ	ˈaɪ̯	0.165
ˈa	ˈa	0.665
ˈa	ˈoː	0.092
ˈa	ˈaʊ̯	0.07
ˈa	ˈeː	0.07
ˈa	ˈɔ	0.061
ˈa_r	ˈaː	1.0
ˈeː	ˈaɪ̯	0.46
ˈeː	ˈɪ	0.397
ˈeː	ˈeː	0.128
ˈiː	ˈiː	0.734
ˈiː	-	0.178
ˈiː	ˈɪ	0.081
ˈoː	ˈoː	0.59
ˈoː	ˈaʊ̯	0.145
ˈoː	ˈaɪ̯	0.095
ˈoː	ˈʏ	0.058
ˈoː	ˈøː	0.057
ˈuː	ˈaʊ̯	0.821
ˈuː	ˈuː	0.116
ˈuː	ɐ	0.063
ˈyː	ˈaɪ̯	0.506
ˈyː	ˈyː	0.308
ˈyː	ˈiː	0.146
ˈæ	ˈa	1.0
ˈæː	ˈiː	0.244
ˈæː	ˈeː	0.244
ˈæː	ˈɛɪ̯	0.161
ˈøː	ˈaʊ̯	0.439
ˈøː	ˈɔʏ̯	0.194
ˈøː	ˈoː	0.1
ˈøː	ˈeɪ̯	0.076
ˈøː	ˈaɪ̯	0.063
ˈœ	ˈɔʏ̯	0.244
ˈœ	ˈɔ	0.212
ˈœ	ˈyː	0.14
ˈœ	ˈɛ	0.14
ˈœ	ˈʏ	0.074
ˈœː	ˈɔʏ̯	0.574
ˈœː	ˈaʊ̯	0.287
ˈɑː	ˈoː	0.47
ˈɑː	ˈa	0.322
ˈɑː	-	0.126
ˈɑː	ˈɛ	0.069
ˈɔ	ˈɔ	0.251
ˈɔ	ˈʊ	0.19
ˈɔ	ˈa	0.125
ˈɔ	ˈaʊ̯	0.125
ˈɔ	ˈɔʏ̯	0.125
ˈɛ	ˈɪ	0.166
ˈɛ	ˈiː	0.141
ˈɛ	ˈa	0.123
ˈɛ	ˈɛ	0.099
ˈɛ	ˈœː	0.071
ˈɛː	ˈɛ	0.404
ˈɛː	ˈøː	0.13
ˈɛː	ˈeː	0.125
ˈɛː	ˈaɪ̯	0.12
ˈɛː	ˈa	0.09
ˈɪ	ˈɪ	0.789
ˈɪ	ˈø	0.105
ˈɪ	r	0.105
ˈɵ	ˈʊ	0.38
ˈɵ	ˈuː	0.153
ˈɵ	v_ˈʊ	0.106
ˈɵ	ˈʏ	0.088
ˈɵ	ˈɪ	0.088
ˈʉː	ˈuː	0.508
ˈʉː	ˈaɪ̯	0.232
ˈʉː	ˈɔ	0.088
ˈʉː	-	0.086
ˈʉː	ˈeː	0.069
ˈʊ	ˈʊ	0.631
ˈʊ	ˈaʊ̯	0.167
ˈʊ	ˈɔː	0.104
ˈʏ	ˈʏ	0.461
ˈʏ	ˈyː	0.322
ˈʏ	ˈaː	0.152
