West Frisian	West Frisian	probability
χ_t	ʰt	1.0
χ_#>	r̥_#>	1.0
χ	ɡ̊	1.0
ˈɛi̯_#>	ɣ_ʏ_r̥_#>	1.0
ˈɛ_j	ˈiː	1.0
ˈɔː	ˈa	1.0
ˈɔu̯	-	1.0
ˈɔ_ŋ	ɲ	1.0
ˈøə̯	ˈai̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈaːi̯	1.0
ˈuə̯_r	r̥	1.0
ˈu	ˈʏ	1.0
ˈi_#>	j_ˈɛː_r̥_#>	1.0
ˈeː	-	1.0
ʦ	-	1.0
ɣ	-	1.0
ɡ	ɟ̊	1.0
ə_r	ɪ_r̥	1.0
ə_n	ʏ	1.0
ə_#>	#>	1.0
z	s	1.0
t_ə	ʰt͡n̥	1.0
s_#>	s_#>	1.0
p_ə	ʰp	1.0
n_#>	#>	1.0
j_ˈɪ	ˈɛː	1.0
j_ˈɔ	j	1.0
j_ɪ	aːu̯	1.0
j_ə	a	1.0
b	b̥	1.0
<#_ʋ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
m	m	0.923
s	s	0.922
p	p	0.875
ʋ	v	0.867
h	h	0.857
v	v	0.846
f	f	0.833
ŋ	ŋ_ɡ̊	0.8
d̥	ð	0.769
#>	ʏ_r̥_#>	0.701
ə	a	0.685
d	d̥	0.607
l	l	0.6
t	t	0.56
r	r	0.556
k	k	0.552
ˈi	ˈiː	0.545
ˈuː	ˈuː	0.5
ˈuə̯	ˈoːu̯	0.5
ˈoː	ˈuː	0.5
ˈoː	-	0.5
n	n	0.489
ˈaː	-	0.462
j	-	0.462
ˈiː	-	0.417
ˈɪ	-	0.4
ˈɛi̯	ˈɛ	0.4
ˈɛi̯	-	0.4
ˈɪə̯	ˈœːy̯	0.381
ˈɛː	ˈɪ	0.333
ˈɛː	ˈaː	0.333
ˈɛː	ˈa_r	0.333
ˈɛ	ˈɛ	0.333
ˈuː	ˈʏ	0.333
ˈuə̯	-	0.333
ˈiː	ˈiː	0.333
r	r̥	0.333
ˈa	ˈaː	0.316
ˈɔ	-	0.286
k	c	0.276
ˈi	-	0.273
ˈɛ	ˈa	0.25
ˈɛ	-	0.25
ˈiː	ˈɪ	0.25
ˈiə̯	ˈɑːu̯	0.235
ˈaː	ˈaː	0.231
j	ˈiː	0.231
j	j	0.231
d̥	-	0.231
l	t͡l̥	0.229
ˈɔ	ˈʏ	0.214
ˈɔ	ˈu	0.214
ˈoə̯	ˈɔ_r	0.214
ˈoə̯	ˈɔ	0.214
ˈoə̯	r	0.214
ˈoə̯	-	0.214
d	ð	0.214
ˈa	ˈɑu̯	0.211
ˈa	ˈa	0.211
ˈɛi̯	ˈeːi̯	0.2
ŋ	ŋ	0.2
n	t͡n̥	0.2
ˈɪə̯	ˈɛːi̯	0.19
ˈi	ˈɪ	0.182
d	θ	0.179
ˈiə̯	j_ˈoːu̯	0.176
l	l̥	0.171
ˈɛ	ˈau̯	0.167
ˈuː	-	0.167
ˈuə̯	ˈoːu̯_ð	0.167
ˈɪ	ˈɪː	0.16
ˈa	ˈɛ	0.158
ˈaː	ˈɛ	0.154
ˈaː	ˈa	0.154
v	-	0.154
ˈɪə̯	-	0.143
ˈɔ	ˈɔu̯	0.143
ˈɔ	ˈou̯	0.143
ˈoə̯	ˈaːu̯	0.143
h	ç	0.143
t	θ	0.14
ʋ	v_ˈɛː	0.133
ə	ʏ	0.13
#>	r̥_#>	0.13
p	pʰ	0.125
ˈɪ	ˈɪ	0.12
ˈɪ	ˈɛ	0.12
ˈɪ	ˈi	0.12
t	tʰ	0.12
ˈiə̯	ˈɛːi̯	0.118
ˈiə̯	ˈɛi̯	0.118
ˈiə̯	ˈaːi̯	0.118
ˈiə̯	j	0.118
ˈiə̯	-	0.118
n	nː	0.111
ˈa	-	0.105
#>	a_#>	0.104
k	-	0.103
ˈɪə̯	ˈau̯	0.095
ˈɪə̯	j_ˈuː	0.095
ˈɪə̯	j	0.095
n	-	0.089
f	v_ʏ	0.083
f	-	0.083
ˈɪ	ˈɛː	0.08
m	-	0.077
j	x	0.077
k	cʰ	0.069
r	ɪ_r̥	0.067
n	n̥	0.067
t	ʰt	0.06
ə	ɪ	0.056
ə	ɡ̊_ʏ	0.056
