Swiss German	Elfdalian	probability
χ_t	tː	1.0
ˈɒ_ŋ	ˈɑ	1.0
ˈɒ_l	ˈɔː	1.0
ˈøː_r	a	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈuə̯	ˈʉːə̯	1.0
ˈiə̯	j_ˈʉːə̯	1.0
ˈi_r	ˈɪ̃ː	1.0
ˈeː	j	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈœː	1.0
ʒ̊_l	l̥	1.0
ʃː	s_k	1.0
ʃ	s	1.0
ɣ̊	kʰ	1.0
æ	ɔ̃	1.0
z̥	s	1.0
v̥	f	1.0
tː	ð	1.0
sː	t	1.0
s	sː	1.0
r_ʦ	r_t	1.0
r_n	nː	1.0
p	-	1.0
lː	lː	1.0
i_ɡ̊	n	1.0
fː	p	1.0
r	r	0.931
m	m	0.886
ɡ̊ː	ɡː	0.866
ʋ	w	0.826
ŋ	ŋ	0.817
ˈi	ˈɪ	0.804
ˈuː	ˈɑːu̯	0.8
l	ɽ	0.753
ˈæi̯	ˈiːe̯	0.725
n	n	0.711
b̥	b	0.707
ʦ	tʰ	0.674
ˈyə̯	ˈyːœ̯	0.662
ˈiː	ˈɑːi̯	0.639
i	ʉ_ŋ	0.618
f	p	0.602
χ	k	0.577
k͡χ	kː	0.575
p͡f	pʰ	0.572
ʒ̊	s	0.556
ˈu	ˈʉ	0.529
ˈɒ	ˈɑ	0.521
ˈy	-	0.492
ˈɒː	ˈɔː	0.489
t	ð	0.472
ɡ̊	ɡ	0.469
χː	k	0.459
d̥	tʰ	0.449
ə	ɑ	0.439
ˈoː	-	0.429
p͡f	pː	0.428
k͡χ	-	0.425
χ	-	0.423
ɡ̊	ɣ	0.411
χː	-	0.409
f	v	0.398
i	-	0.382
t	t	0.378
ˈiː	ˈɪː	0.361
ˈo	ˈʉə̯	0.36
ˈyː	j_ˈʉːə̯	0.354
ʒ̊	s_ʨ	0.345
ˈyə̯	ˈʉːə̯	0.338
ˈyː	-	0.331
ˈu	-	0.327
ʦ	tː	0.326
ˈo	-	0.323
ˈyː	ˈʏː	0.315
b̥	v	0.293
ˈy	ˈɪ	0.292
ˈɒː	ˈɑː	0.29
ˈæ	-	0.286
ˈoː	ˈoː	0.28
ˈæi̯	ˈɛ	0.275
ə	ɛ	0.275
ˈæ	ˈæ	0.271
n	nː	0.223
ˈɒː	ˈɑ	0.221
ˈæ	ˈɛ	0.221
ˈɒ	ˈɑː	0.217
ˈy	ˈʏ	0.217
d̥	d	0.217
ˈuː	-	0.2
ˈo	ˈʉ	0.191
ˈɒ	-	0.187
ŋ	n_d	0.183
ˈoː	ˈœː	0.181
d̥	-	0.181
ʋ	-	0.174
d̥	ð	0.153
ˈæ	j	0.149
ˈu	ˈʉə̯	0.144
ɡ̊ː	ʥː	0.134
χː	rː	0.132
ˈo	ˈʉː	0.127
ˈi	j	0.12
m	mː	0.114
ˈoː	ˈʉ	0.109
ʒ̊	s_k	0.098
ə	-	0.098
t	d	0.085
l	ˈʉːə̯	0.083
l	lː	0.082
l	l	0.082
ɡ̊	ʥ	0.078
ˈi	ˈɪː	0.076
ˈɒ	ˈo	0.074
ˈæ	ˈɛː	0.073
n	-	0.066
t	-	0.064
ə	ɔ	0.063
