Catalan	Catalan	probability
ˈɛ_ʎ	ˈɛ	1.0
ˈa_#>	ˈɔ_j_n_i_#>	1.0
ʎ_ə	ə	1.0
ɾ_ə	r_u	1.0
ɲ	n	1.0
ɣ	k	1.0
ɡ	ɡ	1.0
ə_n	i_n	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ð	t	1.0
z	-	1.0
w_#>	w_#>	1.0
s_#>	j_#>	1.0
r_n	r_n	1.0
r	r	1.0
mː	a_p	1.0
m_#>	m_i_#>	1.0
m	m	1.0
l_#>	r_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
i	i	1.0
f	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
s	s	0.889
p	p	0.846
ˈo	ˈu	0.833
ɾ	r	0.8
b	v	0.8
n	n	0.75
ˈi	ˈi	0.727
ə	ə	0.722
d	d	0.714
ˈa	ˈa	0.652
ˈɔ	ˈo	0.6
w	-	0.6
u	-	0.6
<#_s	<#_ʦ	0.6
<#	<#_w	0.571
t	t	0.556
l	l	0.538
β	-	0.5
ˈu	ˈu	0.5
<#	<#_j	0.429
w	w	0.4
u	u	0.4
<#_s	<#	0.4
ˈɛ	ˈe	0.353
ˈu	ˈo	0.333
ʎ	ʎ	0.333
ʎ	l	0.333
ʎ	k_ʎ	0.333
l	ʎ	0.308
#>	ə_#>	0.304
#>	u_#>	0.304
ˈɛ	ˈa	0.294
ʒ	ʒ	0.286
ʒ	z	0.286
ʒ	j	0.286
d	z	0.286
ˈi	-	0.273
ˈe	ˈe	0.263
β	r_b	0.25
β	p	0.25
ˈɔ	o̯ˈa	0.25
n	n_t	0.25
ˈɛ	e̯ˈa	0.235
#>	n_#>	0.217
ˈe	ˈa	0.211
ˈe	e̯ˈa	0.211
ɾ	-	0.2
b	b	0.2
ˈa	ˈɔ	0.174
#>	t_i_#>	0.174
ˈu	-	0.167
ˈo	ˈo	0.167
t	ʦ	0.167
t	p	0.167
ˈe	ˈi	0.158
ˈe	-	0.158
p	-	0.154
l	r_i	0.154
ˈɔ	ˈu	0.15
ʒ	ʤ	0.143
ə	i	0.139
ə	-	0.139
ˈɛ	-	0.118
t	d	0.111
s	ʦ	0.111
ˈa	ˈɔ_n	0.087
ˈa	ˈa_t	0.087
