Romagnol	Romagnol	probability
θ	ʦ	1.0
ˈɛ̃	ˈi	1.0
ˈu	ˈo	1.0
ˈõũ̯	ˈu_n	1.0
ˈẽ	ˈi	1.0
ˈeə̯	ˈa	1.0
ˈe	e̯ˈa	1.0
ˈaː	ʎ_ˈe	1.0
ˈa	ˈa	1.0
ɡ_#>	k_#>	1.0
ɐ_r	r_u	1.0
ɐ_#>	#>	1.0
s_#>	s_#>	1.0
r_ɐ	r	1.0
r	r	1.0
n	n	1.0
m	m	1.0
l_#>	#>	1.0
k	k	1.0
j̃	n	1.0
j	-	1.0
i	i	1.0
f	f	1.0
d_ɐ	t_ə	1.0
b	b	1.0
<#_v	<#_v	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_f_j	<#_ˈi	1.0
<#	<#_ˈa	1.0
ˈʌ̃	ˈɔ	0.875
p	p	0.833
s	s	0.812
#>	ə_#>	0.8
ˈou̯	ˈu	0.778
ɡ	ɡ	0.714
ˈo	ˈu	0.667
ŋ	n	0.667
d	d	0.667
<#_t	<#_t	0.667
t	t	0.647
ʧ	k_ʎ	0.6
ɐ	ə	0.6
ˈi	ˈi	0.571
ˈeː	ˈe	0.5
ˈeː	e̯ˈa	0.5
z	ʦ	0.5
z	-	0.5
ˈɛə̯	ˈe	0.462
ˈɔə̯	o̯ˈa	0.429
ˈi	ˈe	0.429
v	-	0.417
ʧ	ʎ_u	0.4
ð	ʒ	0.4
ð	z	0.4
t	p_t	0.353
l	l	0.35
ˈo	ˈo	0.333
ŋ	ŋ	0.333
v	p	0.333
<#_t	<#	0.333
ˈɛə̯	ˈa	0.308
ˈɔ	ˈo	0.3
ˈɔ	w_ˈo	0.3
l	r	0.3
ˈɔə̯	ˈo	0.286
ˈɔə̯	ʎ	0.286
ɡ	k	0.286
ˈɛ	ˈu	0.25
ˈɛ	ˈi	0.25
ˈɛ	ˈe	0.25
ˈɛ	e̯ˈa	0.25
v	w	0.25
ˈɛə̯	-	0.231
ɐ	i	0.229
ˈou̯	o̯ˈa	0.222
ˈɔ	ˈu_k	0.2
ˈɔ	o̯ˈa	0.2
ð	ʤ	0.2
#>	j_#>	0.2
s	ʃ	0.188
p	kʲ	0.167
d	z	0.167
d	-	0.167
l	ʎ	0.15
ˈʌ̃	ɔ	0.125
l	r_i	0.1
l	-	0.1
ɐ	u	0.086
ɐ	-	0.086
