Hessian	Hessian	probability
ˈɛ̃ː	ŋ_ə	1.0
ˈɛː	-	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈi_n	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈuː_#>	ˈʏ_#>	1.0
ˈõː	ˈaː_n	1.0
ˈoĩ̯	ˈyː_j	1.0
ˈĩː	ˈɛi̯_n	1.0
ˈẽː	ˈuː_n	1.0
ˈeː	ˈiː	1.0
ˈe_n	n	1.0
ˈe	-	1.0
ˈãː	ˈiː_nʲ	1.0
ʦ	t	1.0
ʤ̥	-	1.0
ʣ̥	t	1.0
ɣ̊	-	1.0
ɡ̊_ə	k_ə	1.0
ɡ̊	ɡ	1.0
ɛː	ɛi̯	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ɐ_#>	#>	1.0
ɐ	ʀ	1.0
ŋ	ŋ	1.0
v̥	p	1.0
v_ˈɔ	v	1.0
v_ˈo	ˈʊ	1.0
v_æ̆	ə_v̥	1.0
p	b	1.0
oː	ˈyː	1.0
n_d̥	nʲ	1.0
m	m	1.0
kʰ	k	1.0
i	i	1.0
h	h	1.0
f_#>	v_ə_n_#>	1.0
<#_ʀ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
ə	ə	0.939
n	n	0.923
ʀ	ʀ	0.882
l	l	0.87
v	v	0.792
æ̆	ə_ʀ	0.789
s	s	0.756
x	x	0.75
b̥	b	0.75
f	f	0.731
t	t	0.722
ˈai̯	ˈi	0.7
ˈuː	ˈœ	0.667
ˈiː	ˈiː	0.667
ʒ̊	-	0.667
ˈo	-	0.6
z̥	-	0.6
#>	v̥_#>	0.6
ʃ_#>	#>	0.556
ˈu	ˈʊ	0.545
ˈau̯	ˈʏ	0.545
j	nʲ	0.5
j	-	0.5
ʃ	ʃ	0.458
ˈu	-	0.455
ʃ_#>	k_#>	0.444
ˈo	ˈʊ	0.4
ˈaː	ˈuː	0.4
z̥	d	0.4
k	k	0.4
k	-	0.4
#>	t_#>	0.4
ˈɛ	ˈeː	0.364
ˈɛ	-	0.364
ˈuː	ˈœi̯	0.333
ˈoi̯	ˈʏ	0.333
ˈoi̯	ˈœː	0.333
ˈoi̯	-	0.333
ˈaː	ˈiː	0.333
ʒ̊	w	0.333
d̥	t	0.311
ˈɑː	ˈɛi̯	0.308
ˈa	ˈɒː	0.308
ˈoː	ˈɔu̯	0.3
ˈoː	-	0.3
ˈai̯	ˈa	0.3
ʃ	s	0.292
d̥	d	0.289
t	d	0.278
ˈɛ	ˈɛː	0.273
ˈau̯	ˈœː	0.273
f	p	0.269
ˈaː	-	0.267
x	k	0.25
b̥	v̥	0.25
ˈɑː	ˈeː	0.231
ˈɑ	ˈɔː	0.231
ˈɑ	ˈœ	0.231
ˈɑ	-	0.231
ˈa	ˈɒ	0.231
ˈi	ˈi	0.219
ˈi	ˈa	0.219
ˈi	-	0.219
æ̆	ʀ	0.211
ˈoː	ˈyː	0.2
ˈoː	ˈuː	0.2
k	ɡ	0.2
ˈau̯	-	0.182
d̥	-	0.178
ˈiː	ˈɛi̯	0.167
ˈiː	j	0.167
ʃ	x	0.167
ˈɑː	ˈɛː	0.154
ˈɑː	ˈɒː_z	0.154
ˈɑː	ʀ	0.154
ˈɑ	ˈʊ	0.154
ˈɑ	ˈɒ	0.154
ˈa	ˈuː	0.154
ˈa	ˈeː	0.154
ˈa	-	0.154
d̥	dʲ	0.133
ˈi	ˈʊ	0.125
v	-	0.125
ʀ	ʀ_ˈɔu̯	0.118
s	tʲ	0.098
s	t	0.098
ˈi	ˈɔː	0.094
l	lʲ	0.087
ʃ	ŋ	0.083
v	v_ˈʊ	0.083
n	ə	0.077
ˈi	ˈeː	0.062
ˈi	ˈai̯	0.062
ə	k_ə	0.061
