West Frisian	West Frisian	probability
ˈɪə̯_#>	ˈoː_t_#>	1.0
ˈɛi̯	-	1.0
ˈɛ_r	ɐ	1.0
ˈɛ_j	ˈaɪ̯	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɔʏ̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈyː	1.0
ˈu	ˈʊ	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈiə̯_n	ˈaɪ̯_n	1.0
ˈi_#>	ˈiː_ɐ_#>	1.0
ʋ	v	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_χ	ɪ_ç	1.0
ə_r	ɐ	1.0
ə_n	ə	1.0
ɕ	z	1.0
v_ə	f	1.0
t_ə	s_n	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	f	1.0
n_ə	n	1.0
m	m	1.0
l_ə	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	ç	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈɔʏ̯	1.0
j_ɪ	eː	1.0
j_ə	n	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ə	t_n	1.0
b	b	1.0
<#_r	<#_ʁ	1.0
<#_p	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_ʦ	1.0
#>	b̥_#>	1.0
ŋ	ŋ	0.833
<#_t	<#_d	0.8
ˈɛː	-	0.75
v	v	0.75
ˈuə̯	ˈuː	0.727
n	n	0.682
ˈi	ˈaɪ̯	0.667
ˈɛ	ˈɛ	0.636
ˈa	ˈa	0.632
ˈɔː	ˈa_n	0.6
ʦ	-	0.6
d̥	t	0.6
r	ɐ	0.561
k_#>	ç_#>	0.556
ˈɪ	ˈɪ	0.542
d	tʰ	0.522
ˈɪ_n	ˈɛ_n	0.5
ˈɪ_n	n	0.5
ˈuː	ˈaʊ̯	0.5
ˈiː	ˈaɪ̯	0.5
ˈeː	ˈeː	0.5
ˈeː	-	0.5
ɣ	ɡ	0.5
z	z	0.5
z	-	0.5
ˈɔ	ˈɔ	0.474
s	z	0.474
k	k	0.462
s	ʃ	0.447
k_#>	#>	0.444
r	ʁ	0.439
ˈaː	ˈa	0.429
ˈɔː	ˈa	0.4
ʦ	d	0.4
d̥	d̥	0.4
χ	x	0.385
k	x	0.385
t	t	0.372
ˈɛ	-	0.364
ˈuː	-	0.357
d	d	0.348
ˈoə̯	ˈɔ_ɐ	0.333
ˈiː	-	0.333
ˈi	ˈɪ	0.333
ˈiə̯	ˈaː	0.312
χ	ç	0.308
j	-	0.308
t	s	0.302
ˈaː	ˈaː	0.286
ˈaː	-	0.286
ə	ə	0.283
t	ʦ	0.279
ˈuə̯	-	0.273
ˈɔ	-	0.263
ˈa	ˈaː	0.263
ə	n	0.261
ˈɛː	ˈʏ	0.25
ˈoə̯	ˈʊ	0.25
ˈoə̯	ˈoː	0.25
ɣ	k	0.25
ɣ	-	0.25
v	b	0.25
j	ˈiː	0.231
<#_t	<#	0.2
ə	ə_n	0.196
ˈiə̯	ˈyː	0.188
ˈiə̯	ˈiː	0.188
ˈiə̯	ˈeː	0.188
ˈɪə̯	ˈaʊ̯	0.182
ˈɪə̯	ˈa	0.182
ə	-	0.174
ˈoə̯	-	0.167
ˈiː	ˈɪ	0.167
ŋ	-	0.167
ˈɔ	ˈʊ	0.158
χ	ɡ̊	0.154
χ	k_n	0.154
k	ç	0.154
j	ˈɔʏ̯	0.154
j	ɡ	0.154
j	j	0.154
ˈuː	ˈʊ	0.143
ˈɪə̯	ˈoː	0.136
ˈɪə̯	ˈeː	0.136
d	t	0.13
ˈɪ	ˈʏ	0.125
ˈɪ	ˈaɪ̯	0.125
ˈɪ	-	0.125
ˈiə̯	-	0.125
n	n_d̥	0.114
ˈɔ	ˈɪ	0.105
ˈa	-	0.105
ˈɪə̯	ˈøː	0.091
ˈɪə̯	ˈiː	0.091
ˈɪə̯	ˈaɪ̯	0.091
ˈɪə̯	-	0.091
n	d̥	0.091
ˈɪ	ˈiː	0.083
s	s	0.079
n	-	0.068
