Swedish	Eastphalian	probability
b	b	1.0
f	f	1.0
h	h	1.0
kʰ	k	1.0
l	l	1.0
m	m	1.0
mː	m	1.0
p	p	1.0
pː	p	1.0
ŋ	-	1.0
ŋː	ŋ	1.0
ɛ	ə	1.0
ɪ	-	1.0
ɳ	-	1.0
ʈː	t	1.0
ʊ	-	1.0
ˈœ	ˈɔ	1.0
ˈɛː	ˈɛː	1.0
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈʏ	ˈʏ	1.0
a	n	0.491
j	-	0.81
s	z	0.411
tː	t	0.81
ɕ	k	0.841
ɡ	-	0.231
ˈɛ	ˈʏ	0.141
nː	n	0.302
t	t	0.882
tʰ	t	0.32
ɡ	ɣ	0.462
ɡː	-	0.622
ɧ	ʃ	0.92
ˈa	d_#>	0.052
ˈa	ə_#>	0.262
ˈiː	ˈiː	0.822
ˈɛ	ˈɪ	0.12
r	-	0.073
r	r	0.463
ˈuː	ˈʊ	0.133
ˈyː	ˈyː	0.813
ˈøː	ˈeo̯	0.483
ˈɔ	ˈɔ	0.733
ˈɵ	ˈʊ	0.483
ˈʉː	ˈuː	0.373
a	-	0.084
kː	k	0.714
r	ɐ	0.454
tː	ç_t	0.154
ˈoː	ˈɒː	0.864
ˈɛ	ˈa	0.174
ˈɛ	ˈɛɪ̯	0.254
a	ə	0.425
d	d	0.585
lː	l_ə	0.5
lː	l	0.5
s	s	0.55
v	f	0.225
ˈeː	ˈɪ	0.165
ˈeː	ˈɛɪ̯	0.835
ˈɑː	ˈa	0.135
ˈɑː	ˈɒː	0.865
ˈɛ	ˈeː	0.055
ˈɵ	ˈuː	0.205
ˈɵ	v_ˈʊ	0.205
kː	ŋ_k	0.286
v	v	0.646
ˈa	ˈa	0.616
ˈoː	ˈoː	0.136
ˈɛ	ˈɛ	0.256
d	-	0.117
ˈuː	ˈaʊ̯	0.867
ˈyː	ˈɛɪ̯	0.187
ˈɔ	ˈœ	0.267
ˈɵ	ˈʏ	0.107
ˈʉː	ˈɛɪ̯	0.627
d	t	0.298
t	t_ə	0.118
tʰ	d	0.68
ɡː	ɡ	0.378
ɧ	z	0.08
ˈiː	ˈɪ	0.178
ˈøː	ˈɔʏ̯	0.368
j	l	0.19
k	k	0.969
n	n	0.959
nː	n_ə	0.139
nː	-	0.559
v	w	0.129
ɕ	d	0.159
ɡ	ç	0.09
ɡ	j	0.179
ˈøː	ˈoː	0.149
