Swedish	Eastphalian	probability
a	ə	0.398
a	n	0.341
a	-	0.175
a	m	0.047
a	ɐ	0.031
b	b	1.0
d	d	0.603
d	t	0.235
d	-	0.154
e	ɐ	0.245
f	f	1.0
h	h	0.92
h	k	0.079
j	-	0.493
j	ɡ	0.113
j	ˈeː	0.099
j	ɣ	0.088
j	x	0.082
j_ˈʉː	ˈɛɪ̯	1.0
jː	j	0.495
k	k	1.0
kʰ	k	0.807
kʰ	-	0.193
kː	ŋ_k	0.784
kː	k	0.127
l	l	0.972
l	-	0.039
lː	l	0.53
lː	l_ə	0.461
m	m	0.937
m	-	0.064
mː	m	1.0
n	n	0.827
n	-	0.172
nː	n	0.562
nː	n_ə	0.186
nː	l	0.123
nː	ˈuː	0.123
p	p	0.786
p	b	0.165
pː	p	0.495
r	r	0.403
r	ɐ	0.311
r	-	0.22
r	d_ɐ	0.038
r	z	0.03
r_a	ɐ	1.0
rː	ɣ	0.245
s	s	0.608
s	z	0.387
s_k	ʃ	1.0
sː	ʃ	0.245
t	t	0.77
t	t_ə	0.136
t	-	0.056
t	d	0.048
tʰ	t	0.501
tʰ	d	0.476
tʰ	b	0.037
tː	t	0.423
tː	x	0.348
tː	ç	0.219
v	v	0.612
v	f	0.196
v	w	0.079
v	p	0.063
v	b	0.049
ŋ	ŋ	0.186
ŋ	ˈɛː	0.175
ŋ	m	0.175
ŋ	-	0.108
ŋ	ç	0.108
ŋː	ŋ	1.0
ɕ	d	0.477
ɕ	k	0.477
ɖ	r	0.245
ɖ	t	0.06
ɛ	ɐ	0.527
ɛ	-	0.256
ɛ	ə	0.175
ɡ	ɣ	0.44
ɡ	j	0.2
ɡ	ç	0.112
ɡ	x	0.098
ɡ	-	0.08
ɡː	k	0.361
ɡː	ɣ	0.361
ɡː	-	0.206
ɧ	ʃ	0.583
ɧ	s	0.172
ɧ	z	0.149
ɪ	ɪ	0.262
ɪ	n	0.171
ɪ	-	0.149
ɳ	ɐ	1.0
ɳː	ˈoː	1.0
ɵ	-	0.66
ɵ	ɪ	0.162
ʈː	t	0.495
ʊ	ˈɛɪ̯	0.5
ʊ	ˈeː	0.5
ˈa	ˈa	0.673
ˈa	ˈɒː	0.116
ˈa	ˈɔ	0.101
ˈa	ˈɛː	0.058
ˈa	ˈaː	0.051
ˈeː	ˈɛɪ̯	0.622
ˈeː	ˈɪ	0.206
ˈeː	ˈɛ	0.136
ˈeː	ˈa	0.041
ˈiː	ˈiː	0.711
ˈiː	-	0.22
ˈiː	ˈɪ	0.064
ˈoː	ˈɒː	0.325
ˈoː	ˈɛɪ̯	0.107
ˈoː	ˈaʊ̯	0.107
ˈoː	ˈeo̯	0.107
ˈoː	ˈuː	0.107
ˈuː	ˈaʊ̯	0.671
ˈuː	ˈʊ	0.195
ˈuː	-	0.081
ˈuː	ˈoː	0.041
ˈyː	ˈɛɪ̯	0.519
ˈyː	ˈyː	0.315
ˈyː	ˈiː	0.107
ˈæ	ɐ	0.495
ˈæː	ˈeː	0.375
ˈæː	ˈiː	0.186
ˈøː	ˈeo̯	0.407
ˈøː	ˈɔʏ̯	0.209
ˈøː	ˈoː	0.14
ˈøː	ˈɛ	0.105
ˈøː	ˈɛː	0.08
ˈœ	ˈɔ	0.325
ˈœ	-	0.163
ˈœ	ˈɔʏ̯	0.163
ˈœ	ˈɛ	0.115
ˈœ	ˈøː	0.111
ˈœː	ˈeo̯	0.574
ˈœː	ˈɔʏ̯	0.284
ˈɑː	ˈɒː	0.416
ˈɑː	ˈa	0.167
ˈɑː	ˈɛ	0.167
ˈɑː	ˈaː	0.097
ˈɑː	ˈɛə̯	0.092
ˈɔ	ˈɔ	0.335
ˈɔ	ˈa	0.193
ˈɔ	ˈɪ	0.119
ˈɔ	ˈøː	0.084
ˈɔ	ˈœ	0.084
ˈɛ	ˈɛ	0.188
ˈɛ	ˈɪ	0.163
ˈɛ	ˈa	0.151
ˈɛ	ˈiː	0.128
ˈɛ	ˈɛɪ̯	0.112
ˈɛː	ˈɛː	0.424
ˈɛː	ˈɛɪ̯	0.18
ˈɛː	ˈaː	0.123
ˈɛː	ˈɛ	0.123
ˈɛː	-	0.06
ˈɪ	ˈɪ	0.891
ˈɪ	r	0.109
ˈɵ	ˈʊ	0.285
ˈɵ	ˈuː	0.148
ˈɵ	v_ˈʊ	0.129
ˈɵ	ˈɔ	0.097
ˈɵ	ˈœ	0.097
ˈʉː	ˈuː	0.48
ˈʉː	ˈɛɪ̯	0.272
ˈʉː	ˈɔ	0.161
ˈʉː	ˈɛ	0.074
ˈʊ	ˈʊ	0.683
ˈʊ	ˈaʊ̯	0.12
ˈʊ	ˈoː	0.074
ˈʏ	ˈʏ	0.427
ˈʏ	ˈɛː	0.245
ˈʏ	w	0.151
ˈʏ	ˈyː	0.093
