Scots	Danish	probability
b	b̥	1.0
d	ð̞ˠ	0.535
d	d̥	0.314
d	-	0.094
e	e	1.0
f	f	0.789
f	w	0.145
f	lˀ	0.066
h	h	0.808
h	j	0.192
i	i	0.478
i	-	0.385
i	ɐ	0.137
j	ˈɔˀ	0.325
j	j	0.246
j	-	0.181
j	ˈi	0.146
j	ɡ̊	0.102
k	j	0.47
k	k	0.231
k	-	0.171
k	w	0.083
kʰ	kʰ	1.0
l	l	0.88
l	lˀ	0.106
m	m	0.789
m	mˀ	0.157
m	wˀ	0.054
n	n	0.761
n	nˀ	0.194
p	b̥	0.883
p	p	0.117
pʰ	pʰ	1.0
r	ɐ	0.441
r	ʁ	0.344
r	-	0.182
s	s	1.0
t	ð̞ˠ	0.634
t	t	0.297
tʰ	ʦʰ	1.0
v	w	0.435
v	mˀ	0.336
v	ʋ	0.229
w	ʋ	0.659
w	-	0.202
w	ˈo	0.139
x	j	0.57
x	-	0.43
z	s	1.0
ç	s	0.373
ç	ɡ̊	0.373
ç	j	0.144
ç	w	0.11
ð	-	0.697
ð	n	0.161
ð	d̥	0.142
ŋ	ŋˀ	0.573
ŋ	ŋ	0.427
ə	ɐ	0.59
ə	-	0.232
ə	ə	0.098
ɛ	ə	1.0
ɡ	ɡ̊	1.0
ɪ	i	1.0
ʃ	s	0.899
ʃ	f	0.101
ʍ	ʋ	0.523
ʍ	ˈuˀ	0.477
ʤ	ɡ̊	1.0
ʧ	kʰ	0.784
ʧ	-	0.216
ˈa	ˈɑ	0.41
ˈa	ˈɛ	0.185
ˈa	ˈæ	0.109
ˈa	ˈa	0.095
ˈa	-	0.082
ˈaɪ̯	-	0.584
ˈaɪ̯	ˈe	0.28
ˈaɪ̯	ˈiː	0.136
ˈaː	ˈɑ	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈe	ˈeˀ	0.446
ˈe	ˈa	0.096
ˈe	ˈɑ	0.079
ˈe	ˈɛˀ	0.075
ˈe	ˈæː	0.052
ˈe	ˈʌ	0.052
ˈeː	ˈɑˀ	0.216
ˈeː	ˈɔˀ	0.14
ˈeː	ˈœˀ	0.121
ˈeː	ˈɑː	0.121
ˈeː	ˈa	0.09
ˈeː	ˈiː	0.065
ˈeː	ˈæˀ	0.065
ˈeː	ˈɛː	0.065
ˈeː	ˈɒˀ	0.06
ˈi	ˈœˀ	0.192
ˈi	ˈyˀ	0.103
ˈi	ˈɑ	0.084
ˈi	ˈœ	0.081
ˈi	ˈʌ	0.079
ˈi	ˈøː	0.072
ˈi	ˈʌˀ	0.061
ˈi	ˈɔˀ	0.057
ˈi	ˈoː	0.056
ˈiː	-	0.192
ˈiː	ˈɛˀ	0.109
ˈiː	ˈeˀ	0.104
ˈiː	ˈyː	0.103
ˈiː	ˈøː	0.099
ˈiː	ˈeː	0.06
ˈiː	ˈiˀ	0.06
ˈiː	ˈuː	0.06
ˈiː	ˈɑ	0.06
ˈiː	ˈyˀ	0.052
ˈo	ˈo	0.355
ˈo	ˈœ	0.218
ˈo	ˈoˀ	0.16
ˈo	ˈɒː	0.16
ˈoː	ˈɔˀ	0.759
ˈoː	ˈɛː	0.241
ˈu	ˈuˀ	0.391
ˈu	ˈœ	0.166
ˈu	ˈuː	0.134
ˈu	ˈu	0.118
ˈu	ˈɒ	0.103
ˈuː	ˈu	0.323
ˈuː	ˈyˀ	0.274
ˈuː	ˈoˀ	0.221
ˈuː	ˈœ	0.094
ˈuː	ˈuː	0.061
ˈø	ˈoˀ	0.37
ˈø	ˈʌ	0.218
ˈø	ˈɔː	0.125
ˈø	ˈyː	0.102
ˈø	ˈɔˀ	0.102
ˈø	ˈa	0.072
ˈøː	ˈoˀ	1.0
ˈɑː	ˈa	0.433
ˈɑː	ˈʌ	0.203
ˈɑː	ˈɛ	0.195
ˈɑː	ˈeˀ	0.066
ˈɑː	ˈoˀ	0.057
ˈɔɪ̯	ɐˀ	1.0
ˈəi̯	ˈiˀ	0.666
ˈəi̯	ˈiː	0.132
ˈəi̯	ˈuˀ	0.13
ˈɛ	ˈɛ	0.43
ˈɛ	ˈeˀ	0.151
ˈɛ	ˈe	0.139
ˈɛ	ˈœː	0.124
ˈɛ	ˈa	0.058
ˈɛː	jˀ	1.0
ˈɪ	ˈe	0.311
ˈɪ	ˈœ	0.1
ˈɪ	ˈoˀ	0.095
ˈɪ	ˈø	0.09
ˈɪ	ˈʌ	0.058
ˈʌ	ˈɔ	0.536
ˈʌ	ˈɛ	0.176
ˈʌ	ˈʌ	0.121
ˈʌ	ˈu	0.088
ˈʌ	ˈɔː	0.079
ˈʌu̯	ˈiː	0.554
ˈʌu̯	ˈu	0.265
ˈʌu̯	ˈoː	0.181
θ	ʦʰ	0.632
θ	ð̞ˠ	0.253
θ	nˀ	0.093
