Scots	Danish	probability
b	b̥	0.927
b	b̥_j	0.066
d	ð̞ˠ	0.355
d	d̥	0.311
d	-	0.292
d	lˀ	0.031
e	ə	0.425
e	w	0.226
e	-	0.12
f	f	0.845
f	w	0.073
f	-	0.038
f	v	0.038
h	h	0.986
h	-	0.027
i	-	0.215
j	ˈɔˀ	0.282
j	ˈyˀ	0.214
j	-	0.214
j	j	0.123
j	ˈuˀ	0.079
k	k	0.534
k	j	0.163
k	kʰ	0.142
k	-	0.142
kʰ	kʰ	1.0
l	l	0.889
l	lˀ	0.075
l	ˈɒː	0.033
m	m	0.781
m	mˀ	0.115
m	wˀ	0.066
n	n	0.667
n	nˀ	0.154
n	-	0.148
n	ŋ	0.027
p	b̥	0.303
p	-	0.263
p	b̥_ə	0.229
p	p	0.174
pʰ	pʰ	0.463
r	ʁ	0.339
r	-	0.294
r	ɐ	0.207
r	ɐˀ	0.118
r	ɐ_n	0.024
r_m	m	1.0
s	s	0.965
s	-	0.035
t	ð̞ˠ	0.373
t	t	0.266
t	-	0.232
t	ð̞ˠ_ə	0.12
tʰ	ʦʰ	1.0
v	w	0.605
v	mˀ	0.219
v	-	0.134
w	ʋ	0.484
w	-	0.373
w	ˈo	0.061
w	ˈyː	0.04
w	v	0.04
x	t	0.539
x	-	0.144
x	s	0.096
x	ɡ̊	0.096
x	j	0.066
z	s	1.0
ç	w	1.0
ð	-	0.701
ð	n	0.168
ð	d̥	0.107
ŋ	ŋˀ	0.488
ŋ	ŋ	0.327
ŋ	-	0.179
ə	ɐ	0.437
ə	-	0.272
ə	ə	0.219
ə	ˈɛ	0.054
əi̯	i	0.561
əi̯	e	0.28
əi̯	m	0.093
ɡ	ɡ̊	0.89
ɡ	-	0.108
ɪ	ɐ	0.361
ɪ	e	0.361
ɪ	-	0.192
ɫ	lˀ	0.594
ɫ	ˈuˀ	0.392
ɹ	ˈiˀ	0.1
ʃ	s_k	0.807
ʃ	f	0.142
ʍ	ʋ	0.699
ʍ	-	0.297
ʧ	kʰ	0.758
ʧ	-	0.075
ˈa	ˈʌ	1.0
ˈaːɪ̯	ˈɛ	0.574
ˈaːɪ̯	ˈuˀ	0.266
ˈe	ˈeˀ	0.327
ˈe	jˀ	0.096
ˈe	ˈœˀ	0.084
ˈe	ˈa	0.084
ˈe	ˈyˀ	0.073
ˈei̯	ˈøː	0.239
ˈei̯	ˈyˀ	0.171
ˈei̯	ˈœˀ	0.158
ˈei̯	ˈoː	0.102
ˈei̯	ˈe	0.067
ˈeː	ˈɛː	0.28
ˈeː	ˈiː	0.28
ˈeː	ˈæˀ	0.28
ˈeː	ˈɔˀ	0.093
ˈi	ˈɛˀ	0.26
ˈi	ˈœ	0.226
ˈi	ˈœˀ	0.12
ˈiː	j	0.15
ˈiː	ˈeˀ	0.114
ˈiː	ˈyː	0.099
ˈiː	ˈʌˀ	0.087
ˈiː	ˈœˀ	0.075
ˈoe̯	ɐˀ	1.0
ˈø	ˈoˀ	0.59
ˈø	ˈʌ	0.102
ˈø	ˈɔˀ	0.096
ˈø	ˈa	0.065
ˈø	ˈɔː	0.063
ˈɑ	ˈɛ	0.348
ˈɑ	ˈɑ	0.279
ˈɑ	-	0.126
ˈɑ	ˈa	0.114
ˈɑ	ˈɔˀ	0.059
ˈɑː	ˈeˀ	0.28
ˈɑː	ˈɛ_lˀ	0.185
ˈɑː	ˈɛˀ	0.14
ˈɑː	ˈa	0.13
ˈɑː	ˈʌ	0.113
ˈɔ	ˈo	0.236
ˈɔ	ˈœ	0.223
ˈɔ	ˈu	0.206
ˈɔ	ˈɛː	0.081
ˈɔ	ˈɔ	0.081
ˈəi̯	ˈiˀ	0.461
ˈəi̯	ˈiː	0.342
ˈəi̯	ˈe	0.094
ˈəi̯	ˈɑˀ	0.06
ˈɛ	ˈa	0.143
ˈɛ	ˈeˀ	0.124
ˈɛ	-	0.094
ˈɛ	ˈe	0.094
ˈɛ	ˈɔː	0.082
ˈɛ_r	ˈɑˀ	1.0
ˈɪ	ˈe	0.258
ˈɪ	ˈa	0.082
ˈɪ	ˈœ	0.076
ˈɪ	ˈy	0.07
ˈɪ	ˈo	0.07
ˈʉ	ˈuˀ	0.379
ˈʉ	ˈu	0.173
ˈʉ	-	0.128
ˈʉ	ˈɔ	0.112
ˈʉ	ˈoˀ	0.099
ˈʌ	ˈʌ	0.53
ˈʌ	ˈu	0.176
ˈʌ	ˈɛ	0.162
ˈʌʉ̯	ˈu	0.517
ˈʌʉ̯	ˈiː	0.111
ˈʌʉ̯	ˈoː	0.111
θ	ʦʰ	0.581
θ	ð̞ˠ	0.143
θ	nˀ	0.093
θ	ʨ	0.069
θ	-	0.069
