Doculect,Branch,Classification,Notes
Old Chinese,Sinitic,Sinitic,Zhengzhang (2003) reconstructed pronunciation
Middle Chinese,Middle Sinitic,Middle Sinitic,Zhengzhang reconstructed pronunciation
Standard Mandarin,Mandarin,Mandarin,Beijing
Sichuanese,Mandarin,Mandarin,Chengdu
Jin,Jin,Jin,Taiyuan
Xiang,Xiang,Xiang,Changsha
Shanghainese,Wu,Wu,Shanghai
Gan,Gan,Gan,Nanchang
Cantonese,Yue,Yue,Hong Kong
Hoisanese,Yue,Yue,Taishan
Sixian,Hakka,Hakka,Miaoli
Meixian,Hakka,Hakka,Guangdong
Min Bei,Min,Min Bei,Jian'ou
Fuzhounese,Min,Min Dong,Fuzhou
Teochew,Min,Min Nan,
Taiwanese Hokkien,Min,Min Nan,Taipei
Sino-Vietnamese,Sino-Xenic,Vietnamese,Northern Vietnamese (Hanoi)
Sino-Korean,Sino-Xenic,Korean,
Sino-Japanese,Sino-Xenic,Japanese,
