Latvian	Standard Serbian	probability
ʧ	-	1.0
ʦ	k_o	1.0
ʣ	ʒ	1.0
ʎ	l	1.0
ɛː	e	1.0
æː	eː_̂	1.0
æ_d	eː	1.0
z̥	z	1.0
z	z	1.0
w	-	1.0
v_i	ʋ	1.0
v	ʋ	1.0
uː	i_̂	1.0
u_s	d	1.0
u	-	1.0
r̩	a	1.0
r_t	r̩ː	1.0
r_s	r	1.0
r	r	1.0
l̩	l_o	1.0
k_t	ʨ	1.0
j	a_r	1.0
iː	iː	1.0
iɛ̯	-	1.0
i_l	u	1.0
e	-	1.0
d̥	d	1.0
d	d	1.0
b̥	-	1.0
b	b	1.0
au̯	uː	1.0
ai̯	eː_̌	1.0
m	m	0.837
t	t	0.818
ɡ	ɡ	0.779
ʃ	-	0.763
k	k	0.746
æ	-	0.681
n	n	0.645
i	-	0.626
aː	a_̂	0.6
p	-	0.549
s	s	0.529
p	p	0.451
uɔ̯	uː_̌	0.403
aː	oː	0.4
a	o_̂	0.366
a	-	0.366
n	-	0.355
ɛ	e_̌	0.354
æ	e	0.319
uɔ̯	u	0.306
l	l	0.302
ɛ	e	0.299
uɔ̯	a	0.291
l	uː_̂	0.288
k	-	0.254
l	-	0.246
ʃ	e	0.237
ɛ	a	0.237
ɡ	-	0.221
i	eː	0.196
t	-	0.182
s	o	0.179
i	a	0.178
l	o	0.164
m	-	0.163
a	e	0.135
a	o	0.134
ɛ	ʎ	0.11
s	k	0.102
s	-	0.099
