Afrikaans	German	probability
b	b	1.0
d	d	0.438
d	tʰ	0.428
d	t	0.071
d	-	0.039
d	ʦ	0.038
f	f	0.837
f	p	0.118
f	b	0.039
j	j	1.0
k	kʰ	0.425
k	ç	0.165
k	k	0.163
k	x	0.109
k	ç_ə	0.076
l	l	1.0
m	m	1.0
n	n	0.889
n	-	0.046
n	ə_n	0.045
n	n_ə	0.032
p	f	0.508
p	p͡f	0.219
p	f_ə	0.172
p	p	0.076
r	ɐ	0.414
r	ʁ	0.4
r	-	0.184
s	ʃ	0.375
s	z	0.295
s	s	0.225
s	k_s	0.042
s	ʃ_ə	0.032
s_k	ʃ	1.0
t	t	0.551
t	ʦ	0.171
t	s	0.15
t	-	0.08
t	s_ə	0.035
v	v	0.835
v	b	0.109
v	f	0.055
w	v	0.869
w	-	0.114
ŋ	ŋ	0.667
ŋ	n	0.208
ŋ	ç	0.114
ə	ɐ	0.51
ə	ə	0.265
ə	ɪ	0.146
ə	-	0.068
ɦ	h	1.0
ɫ	l	0.838
ɫ	l_ə	0.108
ɫ	ɡ_l	0.053
ˈa	ˈa	0.729
ˈa	ˈaː	0.168
ˈa	ˈɛ	0.068
ˈa	-	0.036
ˈi	ˈiː	0.602
ˈi	ˈeː	0.218
ˈi	ˈɔʏ̯	0.12
ˈi	ˈaɪ̯	0.057
ˈoːi̯	ˈoː	1.0
ˈu	ˈyː	0.428
ˈu	ˈuː	0.412
ˈu	ˈʊ	0.106
ˈuː	ˈuː	0.494
ˈuːi̯	ˈuː	0.244
ˈyː	ˈɔʏ̯	0.494
ˈæ	ˈa	0.326
ˈæ	ˈɪ	0.326
ˈæː	ˈɛ	1.0
ˈœ	ˈʏ	0.596
ˈœ	ˈɛ	0.253
ˈœ	ˈʊ	0.102
ˈœi̯	ˈaɪ̯	0.121
ˈœu̯	ˈa_l	0.603
ˈœu̯	l	0.158
ˈœu̯	ˈaʊ̯	0.158
ˈœɪ̯	ˈaʊ̯	0.674
ˈœɪ̯	ˈɔʏ̯	0.297
ˈɑː	ˈaː	0.458
ˈɑː	ˈa	0.237
ˈɑː	ˈɛ	0.101
ˈɑː	ˈɛː	0.058
ˈɑː	ˈoː	0.051
ˈɔ	ˈɔ	0.474
ˈɔ	ˈʊ	0.386
ˈɔ	ˈaʊ̯	0.061
ˈɔ	ˈuː	0.061
ˈɔ	ˈʏ	0.033
ˈɔː	ˈʊ	0.66
ˈɔː	ˈaː	0.161
ˈə	ˈɪ	0.883
ˈə	ˈaɪ̯	0.113
ˈəɪ̯	ˈaɪ̯	0.834
ˈəɪ̯	ˈʏ	0.067
ˈəɪ̯	ˈɪ	0.066
ˈəɪ̯	ˈiː	0.044
ˈɛ	ˈɛ	0.511
ˈɛ	ˈɪ	0.291
ˈɛ	ˈeː	0.124
ˈɛ	ˈʏ	0.054
ˈɛː	ˈaː	1.0
ˈɪ	ˈa	0.121
ˈɪø̯	ˈoː	0.644
ˈɪø̯	ˈaː	0.241
ˈɪə̯	ˈeː	0.301
ˈɪə̯	ˈaɪ̯	0.277
ˈɪə̯	ˈɛ	0.15
ˈɪə̯	ˈɛː	0.067
ˈɪə̯	ˈɔʏ̯	0.066
ˈʊə̯	ˈoː	0.363
ˈʊə̯	ˈaʊ̯	0.255
ˈʊə̯	ˈøː	0.147
ˈʊə̯	ˈɔ	0.136
ˈʊə̯	-	0.044
ˈʊə̯_r	ˈɔ	1.0
χ	ɡ	0.421
χ	x	0.171
χ	k_ə	0.119
χ	k	0.113
χ	ç_t	0.079
