Afrikaans	German	probability
b	b	1.0
f	f	1.0
v̥	b̥	1.0
w	v	1.0
ɦ	h	1.0
ˈyː	ˈɔʏ̯	1.0
ˈæː	ˈɛ	1.0
ˈœ	ˈʏ	1.0
ˈɛ	ˈɛ	1.0
ˈɛː	ˈaː	1.0
ˈɪø̯	ˈoː	1.0
j	j	0.641
k	ç_ə	0.061
n	n	0.981
ˈa	ə_#>	0.061
ˈœu̯	ˈaʊ̯	0.411
ˈɑː	ˈɛ	0.071
ˈə	ˈɪ	0.971
d	d	0.52
d̥	t	0.362
k	kʰ	0.422
s	ʃ	0.352
v	v	0.982
ŋ	ŋ	0.742
ə	-	0.292
ˈa	n_#>	0.172
ˈi	ˈeː	0.282
ˈɑː	ˈɛː	0.092
ˈʊə̯	ˈaʊ̯	0.232
χ	ɡ_n	0.102
d̥	t_n	0.073
k	ç	0.313
m	m_ə	0.253
ə	ə	0.663
ˈa	ˈaː	0.093
ˈi	ˈiː	0.643
ˈæ	ˈɪ	0.53
ˈœɪ̯	ˈɔʏ̯	0.233
ˈəɪ̯	ˈiː	0.093
ˈu	ˈyː	0.264
ˈɔ	ˈɔ	0.284
ˈɔ	ˈʊ	0.684
ˈɪə̯	ˈɛ	0.154
ˈʊə̯	ˈɔ	0.364
χ	k_ə	0.134
d̥	d̥	0.505
k	x	0.055
k	x_ə	0.065
p	f_n	0.115
p	f	0.505
r	ɐ	0.585
s	s_t	0.065
s	z	0.325
ɫ	l_ə	0.075
ɫ	l	0.905
ˈa	ˈa	0.585
ˈɑː	ˈa	0.285
d̥	-	0.06
t	s_n	0.146
ˈi	ˈɔʏ̯	0.076
ˈu	ˈuː	0.736
χ	ɡ	0.356
m	m	0.747
s	s	0.127
t	s	0.247
ˈæ	ˈɛ	0.47
ˈœɪ̯	ˈaʊ̯	0.767
ˈəɪ̯	ˈaɪ̯	0.907
ˈʊə̯	ˈøː	0.187
ˈʊə̯	ˈoː	0.217
χ	ɡ̊	0.167
d	tʰ	0.48
p	p͡f	0.38
ŋ	ŋ_ə	0.258
ˈɑː	ˈaː	0.418
ˈɪə̯	ˈeː	0.398
ˈɪə̯	ˈaɪ̯	0.448
j	-	0.359
r	ʁ	0.379
t	t	0.249
t	ʦ	0.359
ˈœu̯	ˈa_l	0.589
ˈɑː	ˈoː	0.089
χ	x	0.09
