Gascon	Gascon	probability
ˈɛ_t	ˈe_l	1.0
ˈi_#>	ˈi_r_e_#>	1.0
ˈe_ʎ	kʲ	1.0
ˈe_ð	e_d	1.0
ˈe_w	w	1.0
ˈe_j	p	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ʎ_ɔ	e	1.0
ʃ	t	1.0
ɔ_#>	#>	1.0
ð	t	1.0
z_ˈa	j	1.0
t_s	ʦʲ	1.0
t_#>	#>	1.0
s_ˈe	s_e̯ˈa	1.0
s_#>	#>	1.0
n_s	nʲ	1.0
n	n	1.0
m	m	1.0
k_ɾ	k_r	1.0
j_r	t	1.0
h	f	1.0
d_ɾ	e_r	1.0
d	z	1.0
a_s	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_ʧ	1.0
p	p	0.92
r	r	0.909
k	k	0.897
ˈi	ˈi	0.882
ɾ	r	0.81
t	t	0.806
ɔ	ə	0.784
ɡ	ɡ	0.75
ŋ_#>	n_#>	0.75
s	s	0.75
k_#>	k_#>	0.75
ˈɔ	ˈo	0.714
ˈu	ˈu	0.714
w_#>	r_#>	0.714
u	u	0.714
ˈy	ˈu	0.667
ʦ	ʧ_e	0.6
ɲ	m	0.6
z	ʧ	0.6
n_#>	n_t_#>	0.6
i	e	0.6
e_#>	#>	0.6
l	-	0.588
b	v	0.571
ʒ	ʤ	0.556
j	-	0.538
ˈa	ˈa	0.537
β	r	0.5
ɣ	k	0.5
ɣ	-	0.5
#>	e_#>	0.5
ʒ	ʒ	0.444
ʎ	-	0.429
l	l	0.412
ʦ	ʦ	0.4
ɲ	j	0.4
z	-	0.4
n_#>	n_t_e_#>	0.4
i	-	0.4
e_#>	r_e_#>	0.4
ŋ	n	0.385
ˈe	ˈe	0.353
w	-	0.333
b	b	0.333
a	ə	0.333
a	a	0.333
a	-	0.333
e	e	0.325
e	-	0.3
ˈa	ˈɨ	0.293
β	b	0.286
ˈɔ	o̯ˈa	0.286
ʎ	kʲ	0.286
ʎ	j	0.286
w_#>	r_e_#>	0.286
ˈe	ˈi	0.265
ˈɛ	ˈe	0.25
ɡ	-	0.25
ŋ_#>	#>	0.25
k_#>	#>	0.25
w	o̯ˈa	0.238
j	ʃ	0.231
j	j	0.231
β	-	0.214
ˈy	ˈu_p	0.2
w	w	0.19
s	ʃ	0.188
ˈɛ	ˈa	0.167
ˈɛ	j_ˈe	0.167
ˈɛ	-	0.167
#>	ə_#>	0.167
#>	r_e_#>	0.167
ŋ	ŋ	0.154
ŋ	n_e	0.154
ŋ	j_n	0.154
ŋ	-	0.154
ˈu	ˈo	0.143
ˈu	-	0.143
w	l	0.143
u	ˈo	0.143
u	-	0.143
ˈy	-	0.133
ˈi	-	0.118
ˈe	e̯ˈa	0.118
ˈe	e	0.118
k	-	0.103
e	ˈe_r	0.1
e	i	0.1
ɾ	r_ˈe	0.095
ɾ	e_r	0.095
w	ˈo	0.095
b	z_b	0.095
r	r_n	0.091
ˈe	j	0.088
ˈɛ	j_ˈa	0.083
ˈɛ	j	0.083
ˈɛ	e̯ˈa	0.083
p	p_j	0.08
e	u	0.075
ˈa	-	0.073
t	ˈe_l	0.065
t	ʦ	0.065
t	-	0.065
s	-	0.062
ˈe	-	0.059
ɔ	n_ə	0.054
ɔ	j_e	0.054
ɔ	e	0.054
ɔ	a	0.054
