Campidanese	Québécois French	probability
f	f	1.0
ŏ	-	1.0
v	-	1.0
z	-	1.0
ð	-	1.0
ɖː	-	1.0
ʣ	-	1.0
ʤ	-	1.0
ʦ	-	1.0
ʧ	s	1.0
a	ã	0.1
b	v_w	0.091
e	e	0.481
j	i	0.081
p	p	0.921
t	-	0.821
ˈe	j	0.211
ˈo	ɔ	0.101
ˈu	u	0.091
a	l	0.22
b	b	0.212
i	e	0.362
k	-	0.182
k	k	0.422
m	-	0.362
n	-	0.782
o	ɑɔ̯	0.252
sː	l	0.662
ʒ	-	0.202
ʒ	z	0.632
ˈa	a	0.122
ˈi	æɛ̯	0.112
d	d	0.543
i	j	0.093
i	ã	0.143
j	-	0.683
l	-	0.183
nː	n	0.873
o	øʏ̯	0.113
u	oʊ̯	0.073
u	u	0.523
ˈe	w	0.153
ˈe	-	0.173
a	-	0.054
i	i	0.174
s	s	0.634
u	øʏ̯	0.164
ɡ	-	0.614
ˈa	-	0.274
ˈe	æɛ̯	0.214
ˈi	i	0.094
ˈo	-	0.294
β	f	0.244
u	i	0.095
u	ɒ̃ʊ̯̃	0.095
ŋ	-	0.655
ˈa	æɛ̯	0.565
ˈe	ã	0.175
ˈo	œ	0.065
b	v	0.696
i	-	0.216
j	j	0.236
o	ɔ	0.066
r	-	0.326
s	-	0.366
ɡ	ɡ	0.386
ʒ	s	0.166
ˈi	ɪ	0.26
ˈo	ɥ	0.066
β	-	0.756
a	a	0.517
e	œ_v	0.057
k	ʃ	0.397
l	l	0.817
nː	-	0.127
ŋ	ɒ̃ʊ̯̃	0.157
ˈo	aœ̯	0.097
ˈu	ɥ	0.067
d	ʣ	0.208
m	m	0.638
n	n	0.218
sː	s	0.338
ŋ	ẽɪ̯̃	0.188
ɣ	-	0.958
ˈi	ɛ	0.158
ˈi	w_ɛ	0.178
a	e	0.109
d	-	0.249
e	-	0.139
e	i	0.29
o	-	0.569
p	-	0.079
r	ʁ	0.639
t	t	0.179
ˈi	-	0.099
ˈi	ẽɪ̯̃	0.099
ˈo	ɑɔ̯	0.289
ˈu	ʊ	0.109
ˈu	y	0.349
ˈu	-	0.349
