Swabian	Faroese	probability
a	a	0.745
a	ʤ̊_a	0.079
a	n̥	0.079
a	w	0.041
a	-	0.04
b	b̥	0.659
b	v	0.172
b	-	0.102
b	tː	0.059
b̥͡f	ʰp	1.0
d	-	0.505
d	d̥	0.206
d	t	0.106
d	tʰ	0.078
d	d̥_ʊ	0.077
e	ʊ	0.25
e	l̥	0.218
e	ɹ	0.218
f	f	0.655
f	p	0.149
f	v	0.094
f	v_ʊ	0.054
f	-	0.046
f_ʁ	f	1.0
h	h	0.929
h	-	0.071
i	ŋ	0.484
j	ˈɔ̯aː	0.278
j	-	0.278
kʰ	kʰ	0.626
kʰ	-	0.202
kʰ	ʧʰ	0.135
l	l	0.646
l	l̥	0.134
l	l_ʊ	0.094
l	-	0.059
l	ʎ	0.034
m	m	0.902
m	-	0.093
n	n	0.659
n	-	0.192
n	n̥	0.053
n	ʧː	0.046
n	nː	0.045
n_d	nː	1.0
p͡f	tː	1.0
s	s	0.511
s	t_ʊ	0.172
s	t	0.117
s	ʰt	0.105
s	sː	0.047
t	ʰʧ	0.361
t	-	0.361
t	t	0.201
x	-	0.271
x	k	0.236
x	v	0.131
x_d	ʰtː	1.0
ç	k	0.57
ç	ʰtː	0.155
ç	ʧ	0.155
ŋ	ŋ	0.874
ŋ	ɲ	0.108
ŋ_ɡ	ʰkː	0.234
ɐ	ɪ	0.234
ə	j	1.0
ɡ	ɡ̊	0.528
ɡ	-	0.228
ɡ	ʤ̊	0.127
ɡ	v_ʊ	0.08
ɡ	k	0.034
ɪ	a	0.574
ɪ	ɛ	0.278
ʁ	ɹ	0.974
ʁ	-	0.038
ʃ	s	0.579
ʃ	s_k	0.221
ʃ	ʃ	0.197
ʋ	v	0.488
ʋ	-	0.346
ʋ	kʰ	0.091
ʋ	w	0.063
ʌ	ʊ_ɹ	0.393
ʌ	ɪ_ɹ	0.384
ʌ	n̥	0.063
ʌ	-	0.062
ʌ	a	0.062
ʕ	ɹ	0.637
ʕ	t	0.178
ʕ	ɹ_a	0.122
ʕ	-	0.056
ʦ	tʰ	0.452
ʦ	ʈ	0.176
ʦ	t	0.133
ʦ	-	0.101
ʦ	ʧʰ	0.101
ˈa	ˈa	0.462
ˈa	ˈɛːa̯	0.256
ˈa	ˈɔ	0.113
ˈa	ˈɛ	0.051
ˈa	ˈeː	0.051
ˈae̯	ˈʊ̯iː	0.281
ˈae̯	ˈʊ	0.245
ˈae̯	ˈai̯	0.162
ˈae̯	r	0.162
ˈae̯	ˈɔːi̯	0.112
ˈao̯	ˈʉːu̯	0.425
ˈao̯	ˈɛːi̯	0.234
ˈao̯	ˈœ	0.114
ˈao̯	nː	0.114
ˈao̯	ˈɔ̯aː	0.064
ˈaː	ˈɛːa̯	0.324
ˈaː	ˈɔ	0.209
ˈaː	ˈɔ̯aː	0.209
ˈaː	ˈiː	0.109
ˈaː	ˈa	0.076
ˈe	ˈɪ	0.481
ˈe	ˈa	0.174
ˈe	ˈœ	0.174
ˈe	ˈʊ̯iː	0.08
ˈe	ˈɛ	0.054
ˈeə̯	ˈuː	0.392
ˈeə̯	ˈøː	0.218
ˈeə̯	ˈʊ	0.218
ˈeː	ˈɛ	0.211
ˈeː	ˈɔːi̯	0.211
ˈeː	ˈʊ	0.211
ˈeː	ˈɔ	0.135
ˈeː	ˈɔ̯aː	0.086
ˈi	ˈiː	0.36
ˈi	ˈeː	0.145
ˈi	ˈʊ̯iː	0.122
ˈi	ˈɪ	0.11
ˈi	ˈɛ	0.11
ˈiə̯	ˈøː	0.784
ˈiə̯	ˈʏ	0.121
ˈiː	ˈɛːi̯	0.294
ˈiː	ˈɔːu̯	0.142
ˈiː	ˈʊ̯iː	0.091
ˈo	ˈʊ	0.373
ˈo	ˈʊ_t	0.15
ˈo	ˈɔ	0.13
ˈo	ˈʏ	0.099
ˈo	ˈɪ	0.099
ˈoː	ˈɛːi̯	0.436
ˈoː	ˈɔːi̯	0.158
ˈoː	ˈʊ	0.158
ˈoː	ˈuː	0.105
ˈoː	ˈɔ	0.105
ˈu	ˈɔːu̯	0.361
ˈu	ˈɪ	0.361
ˈu	ˈœ	0.201
ˈuə̯	ˈɔːu̯	0.863
ˈuə̯	ˈɪ	0.093
ˈuː	ˈʉːu̯	0.319
ˈuː	ˈœ	0.319
ˈɔ	ˈœ	0.407
ˈɔ	ˈɔ	0.268
ˈɔ	ˈuː	0.162
ˈɔ	ɹː	0.066
ˈɔe̯	ˈaːi̯	0.603
ˈɔe̯	ˈai̯_n	0.124
ˈɔe̯	ˈai̯	0.09
ˈɔe̯	ˈɛːi̯	0.086
ˈɔə̯	ˈɔːu̯	1.0
ˈɔː	ˈɔ̯aː	0.367
ˈɔː	ˈa	0.141
ˈɔː	ˈoː	0.135
ˈɔː	-	0.135
ˈɔː	ˈøː	0.09
ˈəi̯	ˈʊ̯iː	0.637
ˈəi̯	ʊ̯ˈiː	0.112
ˈəi̯	ˈʊ̯iː_ɹ	0.108
ˈəi̯	ˈa	0.084
ˈəi̯	ˈɛ	0.036
ˈɛ	ˈøː	0.257
ˈɛ	ˈeː	0.162
ˈɛ	ˈɪ	0.141
ˈɛ	ˈɛ	0.112
ˈɛ	ˈœ	0.108
ˈɛː	ˈœ	0.263
ˈɛː	ˈeː	0.254
ˈɛː	ˈiː	0.168
ˈɛː	ˈøː	0.093
ˈɪ	ˈɪ	0.742
ˈɪ	ˈiː	0.071
ˈɪ	ˈɛ	0.062
ˈʌ	ˈɪ	0.484
