Swabian	Faroese	probability
#>	#>	0.838
#>	a_#>	0.109
<#	<#	0.994
<#_f	<#	0.112
<#_ʋ	<#	1.0
a	a	0.821
a	n̥	0.082
b	b̥	0.66
b	v	0.173
b	-	0.065
b	tʰ	0.059
b̥͡f	ʰp	1.0
d	-	0.354
d	d̥	0.248
d	t	0.127
d	tʰ	0.102
d	d̥_ʊ	0.1
d_#>	#>	1.0
d_a	a	0.483
d_ʌ	a	0.483
e	ʊ	0.25
e	l̥	0.217
e	ɹ	0.217
f	f	0.662
f	p	0.094
f	v	0.081
h	h	0.926
h	-	0.074
i	ŋ	0.483
j	-	0.277
j	ˈɔ̯aː	0.277
kʰ	kʰ	0.596
kʰ	ʧʰ	0.175
kʰ	-	0.097
l	l	0.734
l	l̥	0.138
m	m	0.79
m	-	0.208
n	n	0.64
n	-	0.131
n	nː	0.114
n	n̥	0.051
p͡f	tː	0.233
s	s	0.507
s	t_ʊ	0.185
s	t	0.116
s	ʰt	0.104
t	-	0.361
t	ʰʧ	0.361
t	t	0.2
x	-	0.205
x	ʰtː	0.205
x	k	0.189
x	v	0.114
x_d	ʰtː	0.483
ç	k	0.57
ç	ʧ	0.154
ç	ʰtː	0.154
ŋ	ŋ	0.862
ŋ	ɲ	0.116
ŋ_ɡ	ʰkː	0.233
ɐ	ɪ	0.233
ə	j	1.0
ɡ	ɡ̊	0.516
ɡ	-	0.198
ɡ	v_ʊ	0.087
ɡ	ʤ̊	0.087
ɡ	ʤ̊ː	0.05
ɪ	a	0.574
ɪ	ɛ	0.277
ʁ	-	0.932
ʁ	r	0.067
ʃ	s	0.562
ʃ	s_k	0.236
ʃ	ʃ	0.199
ʋ	v	0.672
ʋ	-	0.173
ʋ	kʰ	0.15
ʌ	ʊ_ɹ	0.403
ʌ	ɪ_ɹ	0.377
ʌ	ɹ	0.063
ʌ	-	0.061
ʌ	n̥	0.061
ʕ	ɹ	0.76
ʕ	t	0.181
ʕ	-	0.056
ʦ	tʰ	0.567
ʦ	ʈ	0.221
ʦ	t	0.167
ˈa	ˈa	0.494
ˈa	ˈɛːa̯	0.311
ˈa	ˈɔ	0.079
ˈa	ˈeː	0.054
ˈae̯	ˈʊ̯iː	0.281
ˈae̯	ˈʊ	0.245
ˈae̯	ˈa	0.162
ˈae̯	ˈai̯	0.162
ˈae̯	ˈɔːi̯	0.112
ˈao̯	ˈʉːu̯	0.457
ˈao̯	ˈɛːi̯	0.251
ˈao̯	ˈʊ	0.122
ˈao̯	ˈɔ̯aː	0.067
ˈaː	ˈɛːa̯	0.324
ˈaː	ˈɔ	0.209
ˈaː	ˈɔ̯aː	0.209
ˈaː	ˈiː	0.109
ˈaː	ˈa	0.075
ˈe	ˈɪ	0.438
ˈe	ˈa	0.182
ˈe	ˈœ	0.182
ˈe	ˈʊ̯iː	0.084
ˈe	ˈɛ	0.053
ˈeə̯	ˈuː	0.53
ˈeə̯	ˈʊ	0.256
ˈeː	ˈɔːi̯	0.211
ˈeː	ˈɛ	0.211
ˈeː	ˈʊ	0.211
ˈeː	ˈɔ	0.134
ˈeː	ˈɔ̯aː	0.085
ˈeː	ˈɪ	0.059
ˈi	ˈiː	0.324
ˈi	ˈʊ̯iː	0.15
ˈi	ˈeː	0.13
ˈi	j	0.099
ˈi	ˈɛ	0.099
ˈi	ˈɪ	0.099
ˈi	ˈɛːa̯	0.074
ˈiə̯	ˈøː	0.629
ˈiə̯	ˈʏ	0.12
ˈiː	ˈɛːi̯	0.318
ˈiː	ˈɔːu̯	0.154
ˈiː	ˈʊ̯iː	0.054
ˈo	ˈʊ	0.373
ˈo	ˈʊ_t	0.15
ˈo	ˈɔ	0.13
ˈo	ˈoː	0.099
ˈo	ˈɪ	0.099
ˈo	ˈʏ	0.099
ˈoː	ˈɛːi̯	0.182
ˈoː	ɹ	0.166
ˈoː	ˈɔːi̯	0.166
ˈoː	ˈʊ	0.166
ˈoː	ˈuː	0.106
ˈoː	ˈɔ	0.106
ˈu	ˈɔːu̯	0.361
ˈu	ˈɪ	0.361
ˈu	ˈœ	0.2
ˈuə̯	ˈɔːu̯	1.0
ˈuː	ˈœ	0.318
ˈuː	ˈʉːu̯	0.318
ˈɔ	ˈœ	0.341
ˈɔ	ˈɔ	0.297
ˈɔ	ˈuː	0.179
ˈɔ	ɹː	0.068
ˈɔe̯	ˈaːi̯	0.455
ˈɔe̯	ˈai̯	0.222
ˈɔe̯	ˈɛ	0.169
ˈɔe̯	ˈɛːi̯	0.08
ˈɔə̯	ˈɔːu̯	1.0
ˈɔː	ˈɔ̯aː	0.367
ˈɔː	ˈa	0.14
ˈɔː	-	0.134
ˈɔː	ˈoː	0.134
ˈɔː	ˈøː	0.089
ˈəi̯	ˈʊ̯iː	0.763
ˈəi̯	ʊ̯ˈiː	0.107
ˈəi̯	ˈa	0.08
ˈɛ	ˈøː	0.252
ˈɛ	ˈeː	0.159
ˈɛ	ˈœ	0.138
ˈɛ	ˈɪ	0.138
ˈɛ	ˈɛ	0.109
ˈɛ	ˈa	0.071
ˈɛ	ˈɛːa̯	0.055
ˈɛː	ˈœ	0.263
ˈɛː	ˈeː	0.253
ˈɛː	ˈiː	0.167
ˈɛː	ˈøː	0.093
ˈɪ	ˈɪ	0.742
ˈɪ	ˈiː	0.071
ˈɪ	ˈɛ	0.062
ˈʌ	ˈɪ	0.483
