Kashubian	Kashubian	probability
ˈ	-	1.0
ʦ_#>	t_#>	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ	ʣ	1.0
ʉ	-	1.0
ʃ	ʧ	1.0
ɾ	r	1.0
ɡ̊	s	1.0
ɞ_ˈ	l	1.0
ɞ	i	1.0
ɛ_ˈ	ɛ	1.0
ə_ˈ	au̯	1.0
ə_#>	i_#>	1.0
ɔ_ˈ	a	1.0
ɔ	-	1.0
z̥	z̥	1.0
x	-	1.0
v	v	1.0
t	t	1.0
s_õ	e	1.0
s_#>	s_s_#>	1.0
s	s	1.0
r̝	r	1.0
õ_ˈ	uɔ̯	1.0
n	n	1.0
k_u̯ɛ	ʦ	1.0
j_ɞ	ai̯	1.0
j_u	æ	1.0
f	v	1.0
e_ˈ	iɛ̯	1.0
e	-	1.0
d_w	l̩	1.0
b̥	b̥	1.0
b	b	1.0
ã_ˈ	uɔ̯	1.0
<#_v	<#	1.0
<#_u̯ɛ	<#	1.0
<#_s	<#_s	1.0
<#_m	<#_m	1.0
#>	s_#>	0.875
z	z	0.8
ʦ	-	0.778
j	-	0.778
r	r	0.727
ɡ	ɡ	0.714
m	m	0.667
i	s	0.667
ɛ	-	0.615
u	-	0.6
p	p	0.6
k	-	0.6
ã	i	0.6
l	l	0.571
a_ˈ	a	0.571
d	d	0.545
w	l	0.533
ɲ	n	0.5
ɲ	-	0.5
d̥	d̥	0.5
d̥	d_u	0.5
a	a	0.5
w	-	0.467
d	-	0.455
u̯ɛ	-	0.429
l	-	0.429
u	ɡ̊	0.4
p	-	0.4
k	k	0.4
ã	-	0.4
ə	uː	0.375
ə	iː	0.375
m	ɲ	0.333
a	-	0.312
ɡ	z	0.286
u̯ɛ	æ	0.286
u̯ɛ	a	0.286
a_ˈ	i	0.286
r	r̩	0.273
ə	-	0.25
ɛ	ɛ	0.231
ʦ	t	0.222
j	ɛː	0.222
z	-	0.2
a	ɛ	0.188
i	t_s	0.167
i	-	0.167
ɛ	iɛ̯	0.154
a_ˈ	j	0.143
#>	i_#>	0.125
