Westphalian	Westphalian	probability
ˈɪə̯	-	1.0
ˈɛː	ˈæ	1.0
ˈɒː	ˈɒː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	-	1.0
ˈyː	ˈyː	1.0
ˈyə̯	ˈø	1.0
ˈuə̯	-	1.0
ˈoː	ˈuə̯	1.0
ˈiɛ̯	-	1.0
ˈaː	ˈɒ	1.0
ʃ_k	ʃː	1.0
ʃ	ʒ̊	1.0
ɪ	i	1.0
ɣ	-	1.0
ɡ	ɡ̊	1.0
ç_#>	ɡ̊_#>	1.0
z̥_#>	z̥_#>	1.0
x_t	χː_tː	1.0
v̥	b̥	1.0
v_n	b̥_ə	1.0
t_n	sː_ə	1.0
s_t	ʃː_tː	1.0
s_#>	χː_sː_#>	1.0
s	z̥	1.0
r	r	1.0
n_d̥_#>	#>	1.0
n_#>	#>	1.0
l_d̥	l_tː	1.0
j	j	1.0
h	h	1.0
f_ˈøː	v̥	1.0
f	v̥	1.0
d̥_#>	#>	1.0
d_n	tː_ə	1.0
aɪ̯	æ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
l	l	0.952
m	m	0.92
b	b̥	0.905
d	tː	0.895
x	ɡ̊	0.875
ŋ	ŋ	0.818
ˈɪ	ˈi	0.783
v	ʋ	0.76
ˈuː	ˈuː	0.75
ˈa	ˈɒ	0.75
ˈeː	ˈæi̯	0.727
ʋ	ʋ	0.714
ˈøː	ˈyə̯	0.667
z	z̥	0.667
p	fː	0.636
ˈɛ	ˈæ	0.615
ˈɔː	ˈɒː	0.615
ˈʏ	ˈy	0.6
ˈʊ	ˈu	0.6
ˈɔ	ˈɒ	0.6
ˈuːə̯	ˈu_r	0.6
ˈiː	ˈiː	0.6
ə	ə	0.529
ɐ	ə_r	0.528
d̥	tː	0.524
ˈaɪ̯_#>	ˈyː_#>	0.5
ˈaɪ̯_#>	#>	0.5
ç	χː_tː	0.5
ç	χː	0.5
#>	ɡ̊_#>	0.5
#>	d̥_#>	0.5
d̥	d̥	0.476
ɐ	r	0.472
ə	-	0.471
t	ʦ	0.471
ˈɪɛ̯	ˈæ	0.455
ˈaɪ̯	ˈyː	0.455
k	ɣ̊	0.444
ˈaʊ̯	ˈoː	0.429
ˈaʊ̯	ˈau̯	0.429
n	n	0.407
ˈʏ	-	0.4
ˈɔ	ˈo	0.4
ˈuːə̯	-	0.4
n	ə	0.389
ˈɔː	ˈoː	0.385
ˈɪɛ̯	-	0.364
ˈaɪ̯	-	0.364
p	p͡f	0.364
ˈøː	-	0.333
ˈiː	-	0.333
z	-	0.333
k	χː	0.333
t	sː	0.324
ʋ	b̥	0.286
ˈeː	-	0.273
ˈʊ	ˈuː	0.267
ˈuː	-	0.25
ˈɛ	-	0.231
k	kː	0.222
ˈɪ	-	0.217
t	tː	0.206
ˈɪɛ̯	ˈæː	0.182
ˈaɪ̯	ˈæː	0.182
ŋ	ɡ̊	0.182
ˈa	ˈɒː	0.167
v	b̥	0.16
ˈɛ	ˈe	0.154
ˈaʊ̯	-	0.143
ˈʊ	ˈo	0.133
x	χː	0.125
d	d̥	0.105
b	-	0.095
ˈa	ˈæ	0.083
v	fː	0.08
m	-	0.08
n	n_d̥	0.074
ˈiː	ˈei̯	0.067
n	ŋ	0.056
