Saterland Frisian	West Flemish	probability
b	b	0.923
b	-	0.077
d	t	0.434
d	d	0.39
d	-	0.095
d	ɾ_t	0.069
d	p	0.035
f	v	0.929
f	f	0.068
h	-	0.892
h	ɦ	0.09
h	k	0.042
j	ɦ	0.238
j	j	0.202
j	ˈiə̯	0.202
j	-	0.176
j	ˈeː	0.134
j_ə	n	1.0
j_ˈoː	ˈiə̯	1.0
j_ˈuː	ˈiə̯	0.263
k	k	0.777
k	h	0.22
k_s	s	1.0
l	l	0.826
l	w	0.082
l	-	0.065
l	ˈu	0.035
m	m	0.985
m	-	0.041
n	n	0.891
n	-	0.076
p	p	1.0
r	ɾ	0.947
r	-	0.053
s	s	0.434
s	z	0.418
s	ʃ	0.098
s	k	0.051
s_k	s	1.0
t	t	0.923
t	-	0.046
t	d	0.042
v	ʋ	0.842
v	v	0.098
v	-	0.056
w	ʋ	0.66
w	ə	0.173
x	h	0.648
x	-	0.188
x	ŋ	0.068
x	ç	0.058
x	f	0.05
z	s	0.803
z	z	0.128
ŋ	ŋ	1.0
ə	-	0.421
ə	ə	0.337
ə	n	0.215
ɡ	ɦ	0.512
ɣ	ɦ	0.909
ɣ	v	0.089
ɪ	ə	0.562
ɪ	ɪ	0.239
ɪ	-	0.162
ɫ	l	1.0
ˈa	ˈɑ	0.85
ˈa	ˈæ	0.087
ˈaː	ˈɑ	0.532
ˈaː	ˈɛː	0.157
ˈaː	ˈæ	0.1
ˈaː	ˈeː	0.1
ˈaːi̯	ˈæ	0.392
ˈaːi̯	ˈɒː	0.392
ˈaːi̯	ˈɑ	0.136
ˈaːu̯	ɾ	0.574
ˈaːu̯	ˈoː	0.173
ˈaːu̯	ˈɔ	0.06
ˈeː	ˈɛː	0.396
ˈeː	ˈeː	0.327
ˈeː	ˈoː	0.121
ˈeː	ˈɔ	0.074
ˈeː	ˈiə̯	0.074
ˈeːu̯	ˈeː	0.512
ˈi	ˈi	0.528
ˈi	ˈeː	0.152
ˈi	ˈiə̯	0.119
ˈi	ˈɛ	0.119
ˈi	ə	0.055
ˈiː	ˈɒː	0.277
ˈiː	ˈi	0.171
ˈiː	ˈæ	0.159
ˈiː	ˈɪ	0.159
ˈiː	ˈœ	0.069
ˈiːu̯	ˈeː	0.263
ˈoː	ˈoː	0.573
ˈoː	ˈɒː	0.159
ˈoː	ˈɑ	0.063
ˈoː	ˈøː	0.061
ˈoː	ˈɛː	0.061
ˈoː_l	ˈu	1.0
ˈoːu̯	ˈuə̯	0.31
ˈoːu̯	ˈɑ	0.231
ˈoːu̯	ˈoː	0.158
ˈoːu̯	ˈɔ	0.124
ˈoːu̯	-	0.071
ˈu	ˈuə̯	0.312
ˈu	-	0.16
ˈu	ˈu	0.16
ˈuː	ˈyː	0.406
ˈuː	ˈuə̯	0.136
ˈuː	ˈoː	0.119
ˈuː	ˈøː	0.103
ˈuː	ˈɛː	0.078
ˈyː	ˈyː	0.758
ˈyː	ˈiə̯	0.102
ˈœː	ˈoː	1.0
ˈɔ	ˈɔ	0.457
ˈɔ	ˈœ	0.257
ˈɔ	ˈɑ	0.257
ˈɔː	ˈɒː	0.338
ˈɔː	ˈɑ	0.267
ˈɔː	ˈɔ	0.086
ˈɔː	ˈæ	0.075
ˈɔː	ˈɪ	0.075
ˈɔːɪ̯	ˈɛː	0.512
ˈɛ	ˈɑ	0.53
ˈɛ	ˈɛ	0.461
ˈɛɪ̯	ˈuə̯	0.288
ˈɛɪ̯	ˈɛː	0.229
ˈɛɪ̯	ˈɒː	0.211
ˈɛɪ̯	ˈiə̯	0.199
ˈɛɪ̯	ˈi	0.057
ˈɛː	ˈɑ	0.231
ˈɛː	ˈæ	0.147
ˈɛː	-	0.132
ˈɛː	ˈɒː	0.132
ˈɛː	ˈœ	0.132
ˈɪ	ˈɪ	0.418
ˈɪ	ˈɛ	0.249
ˈɪ	ˈæ	0.224
ˈɪ	ˈiə̯	0.087
ˈʊ	ˈœ	0.38
ˈʊ	ˈu	0.331
ˈʊ	-	0.095
ˈʊ	ˈɪ	0.095
ˈʊ	ˈæ	0.076
