Swiss German	Swiss German	probability
ˈøː	ˈeː	1.0
ˈø	ˈe	1.0
ˈu	ˈu	1.0
ˈiə̯	ˈiː	1.0
ˈi_r	ˈiː_ʁ	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈei̯	ˈei̯	1.0
ˈau̯_ɡ̊	ˈœ	1.0
ˈau̯	ˈʊː	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ɡ̊_#>	#>	1.0
æ	eː	1.0
v̥	f	1.0
tː_r	t_ʁ	1.0
tː	t	1.0
sː	s	1.0
r_n	ʁ_n	1.0
r	ʁ	1.0
p͡f	p͡f	1.0
pː	p	1.0
n_ə	n_ə	1.0
n	n	1.0
m	m	1.0
l_tː	l_t	1.0
l	l	1.0
j	j	1.0
i	i	1.0
h	h	1.0
fː	f	1.0
b̥_ə	ʋ_ə	1.0
b̥	b̥	1.0
<#_tː	<#_d̥	1.0
<#_r	<#_ʁ	1.0
#>	n_#>	1.0
ˈuː	ˈyː	0.9
ʋ	ʋ	0.875
d̥	d̥	0.87
ˈɒ	ˈɒ	0.833
ˈoː	ˈoː	0.833
ˈæi̯	ˈəi̯	0.8
ˈuə̯	ˈʊː	0.778
ə	ə	0.763
ˈøi̯	-	0.75
ˈiː	ˈiː	0.75
kː	k	0.75
ŋ	ŋ	0.727
z̥	s	0.667
ˈyə̯	ˈiː	0.6
ˈo	ˈo	0.583
ˈy	ˈi	0.556
ˈyː	ˈiː	0.545
ɡ̊	ɡ̊	0.545
ˈæː	ˈæː	0.5
ˈæː	n	0.5
ˈe	ˈe	0.5
ˈe	-	0.5
ˈɒː	ˈɒː	0.455
ˈyə̯	ˈʊː	0.4
χː	x	0.389
ˈɒː	ˈoː	0.364
χː	ʃ	0.333
z̥	z̥	0.333
ˈæ	ˈæ	0.312
ˈæ	ˈe	0.312
ŋ	n_d̥	0.273
ˈøi̯	ˈai̯	0.25
ˈiː	ˈi	0.25
kː	-	0.25
ə	-	0.237
ˈy	ˈu	0.222
ˈy	-	0.222
ˈuə̯	ˈøː	0.222
ˈæi̯	ˈei̯	0.2
ˈɒː	ˈɒ_n	0.182
ˈyː	ˈei̯	0.182
ˈyː	-	0.182
ɡ̊	j	0.182
ɡ̊	-	0.182
χː	k	0.167
ˈɒ	ˈɒː	0.167
ˈoː	ˈo	0.167
ˈo	ˈu	0.167
ˈo	ˈoː	0.167
d̥	t	0.13
ˈæ	ˈɛ	0.125
ˈæ	ˈæː	0.125
ˈæ	-	0.125
ʋ	w	0.125
χː	i_ʃ	0.111
ˈuː	ˈøi̯	0.1
ˈyː	e	0.091
ɡ̊	ʃ	0.091
ˈo	ˈø	0.083
