Meixian	Meixian	probability
⁵	⁴²	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʋ	w	1.0
ɲ	n	1.0
ɛ_t̚	ɛ	1.0
ɕ	s	1.0
ɔ_k̚	ɔ	1.0
ŋ	ŋ	1.0
¹	²⁴	1.0
z̩	i	1.0
t̚_¹	²⁴	1.0
t	t	1.0
p̚	-	1.0
n̩	n_y	1.0
n_a	n_a	1.0
l	l	1.0
k̚_¹	⁴²	1.0
k̚	-	1.0
kʰ	kʰ	1.0
k	k	1.0
j_⁵³	³³	1.0
j_ʊ	y	1.0
i_¹¹	œ_²¹	1.0
i_w	j_u	1.0
i_t̚	i	1.0
e_w	e	1.0
cʰ	k	1.0
c	k	1.0
a_k̚	a	1.0
a_j	w_ɛ	1.0
<#_ŋ	<#_ŋ	1.0
#>	⁵⁵_#>	1.0
³¹	²¹	0.913
⁴⁴	⁵⁴	0.857
n	ŋ	0.846
ʦʰ	ʦʰ	0.778
ʊ	ɔ	0.778
w	w	0.778
p	p	0.714
tʰ	tʰ	0.667
¹¹	³³	0.657
⁵³	⁵⁵	0.65
s	s	0.636
pʰ	p	0.6
<#	<#_kʰ	0.6
f	x	0.583
m	m	0.571
ɔ	ɔ	0.545
ɛ	a_j	0.5
ɛ	-	0.5
o	ɛ	0.5
j_a	j_a	0.5
a	a	0.5
i	i	0.45
m	ŋ	0.429
j	y	0.429
pʰ	pʰ	0.4
<#	<#_ʦ	0.4
u	u	0.375
h	x	0.375
h	-	0.375
¹¹	²¹	0.343
tʰ	t	0.333
o	o	0.3
i	e_j	0.3
p	-	0.286
j	-	0.286
ɔ	a	0.273
⁵³	³³	0.25
j_a	i	0.25
j_a	a	0.25
i	y	0.25
h	kʰ	0.25
f	p	0.25
ʦʰ	t	0.222
ʊ	u	0.222
w	-	0.222
o	w	0.2
u	ɔ	0.188
u	-	0.188
ɔ	-	0.182
s	ʦ	0.182
s	-	0.182
a	j	0.182
f	-	0.167
n	j_ŋ	0.154
⁴⁴	²¹	0.143
j	œ	0.143
j	j	0.143
a	u_j	0.136
u	y	0.125
u	j_u	0.125
⁵³	-	0.1
a	j_a	0.091
a	a_j	0.091
³¹	-	0.087
