Aragonese	Aragonese	probability
β_ɾ	w_ʀ	1.0
β_j	ʤ	1.0
ˈu_j	ˈy	1.0
ˈe_ɾ	ʀ_ə	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈe_n	ŋ	1.0
ˈe_l	ˈa_l	1.0
ˈe_j	j	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_t	w_t	1.0
ˈa_l	ˈa	1.0
ʧ	ʤ	1.0
ʝ	-	1.0
ʎ_o_#>	ʎ_#>	1.0
ʃ	s	1.0
ɾ_ˈe	ʀ_ˈɪ	1.0
ɾ_n	ʀ	1.0
ɾ_a	ʀ_ɔ	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ɣ_w	ɡ	1.0
ŋ	ŋ	1.0
ð_a	ɔ	1.0
z_l	lː	1.0
w_#>	w_#>	1.0
u_s	ˈa	1.0
t_#>	#>	1.0
s_t	ʧ	1.0
s_o	s	1.0
s_e	s_ə	1.0
r	ʀ	1.0
o_ɾ	u_ʀ	1.0
n_t	ŋ	1.0
n_o	ŋ	1.0
n_#>	#>	1.0
m_a_t	ɥ	1.0
k_w	k	1.0
j_#>	j_#>	1.0
e_ʝ	ˈɪ_j	1.0
e_s	ɪ	1.0
e_#>	#>	1.0
b_e	v_ə	1.0
<#_ˈu	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_ʧ	1.0
s	-	0.882
f	f	0.85
p	p	0.848
m	m	0.844
o_#>	#>	0.825
j_ˈe	ˈe	0.812
l	l	0.808
a	ɔ	0.754
ˈi	ˈi	0.75
<#_a	<#_ɒ	0.714
<#_l	<#_l	0.688
t	t	0.667
d	d	0.667
ɾ	ʀ	0.649
w	w	0.645
θ_#>	s_#>	0.625
θ	s	0.588
β	b	0.588
ʎ	ʎ	0.588
ð	d	0.588
ˈa	ˈa	0.565
ɡ	ɡ	0.556
k	k	0.548
u	u	0.5
u	-	0.5
n	n	0.5
j	-	0.5
#>	ə_#>	0.5
e	ə	0.478
ɾ_o	ʀ_ə	0.455
ˈo	ˈu	0.452
k	ʧ	0.452
ɡ	k	0.444
i	ə	0.444
i	-	0.444
n	ŋ	0.438
ʎ	l	0.412
ð	-	0.412
θ_#>	#>	0.375
ˈu	ˈy	0.368
ˈu	ˈu	0.368
ɾ_o	ə	0.364
j	j	0.357
ɣ	ˈɔ	0.333
ɣ	ʤ	0.333
ɣ	ɡ	0.333
b	b	0.333
ˈa	ˈã	0.326
ˈo	w	0.323
<#_l	<#_ʎ	0.312
b	v	0.296
<#_a	<#	0.286
ˈe	ˈe	0.276
e	-	0.261
t	-	0.25
#>	ˈa_#>	0.25
#>	ɔ_#>	0.25
β	-	0.235
ˈe	ˈɔ	0.224
o	ɔ	0.208
o	u	0.208
o	-	0.208
w	ˈœ	0.194
l	-	0.192
ɾ	-	0.189
j_ˈe	ˈẽ	0.188
b	vʲ	0.185
b	-	0.185
ɾ_o	ʀ	0.182
θ	-	0.176
β	v	0.176
e	ɒ	0.174
ˈe	ˈɪ	0.172
ˈi	ˈĩ	0.167
d	dʲ	0.167
d	-	0.167
w	-	0.161
ˈu	w_ˈẽ	0.158
ˈe	-	0.155
f	fʲ	0.15
j	j_ʀ	0.143
a	ɒ	0.13
o_#>	w_#>	0.125
o	ə	0.125
o	ŋ	0.125
p	-	0.121
θ	ʃ	0.118
θ	z	0.118
s	s	0.118
i	ĩ	0.111
ɾ	ʀ_ə	0.108
ˈu	ˈɔ	0.105
ˈo	ˈũ	0.097
m	mʲ	0.094
e	ɪ	0.087
ˈi	-	0.083
t	ʧ	0.083
o	w	0.083
ˈe	ˈɔ̃	0.069
ˈo	ˈa	0.065
ˈo	-	0.065
ˈa	ˈe	0.065
n	-	0.062
m	-	0.062
ɾ	e	0.054
