Lengadocian	Bellunese	probability
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɛ_l	ʧ_o	1.0
ˈɔ_k	ɡ_o	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa	1.0
ʦ	s	1.0
ʎ_ɔ	a	1.0
ʀ	r	1.0
ɾ_ˈi	r_ˈi	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð_ɔ	d_a	1.0
ð	d	1.0
z	z	1.0
y	u	1.0
w_ʀ	r_o	1.0
w_ɾ	v_e	1.0
u	o	1.0
nː	m_e	1.0
lː	z	1.0
k_u	k_o	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈi	1.0
j_s	s	1.0
i	i	1.0
f	f	1.0
d	d	1.0
a	a	1.0
ˈa	ˈa	0.983
k	k	0.969
p	p	0.956
ˈi	ˈi	0.944
ɾ	r	0.94
t	t	0.926
ˈe	ˈe	0.87
m	m	0.854
ˈu	ˈo	0.807
ˈy	ˈu	0.788
s	s	0.779
β	v	0.774
ɥ	ˈo	0.762
n	n	0.734
l	l	0.717
ˈɔ	ˈɔ	0.698
w	-	0.698
ʧ	t	0.667
ɲ	ɲ	0.585
b	v	0.537
e	e	0.522
j	e	0.507
j	ˈɛ	0.493
ʤ	ð	0.459
b	b	0.43
ˈɛ	ˈɛ	0.421
ɲ	ŋ	0.415
ʤ	-	0.336
ʧ	t_o	0.333
e	-	0.303
ˈɔ	ˈo	0.302
w	o	0.302
l	j	0.265
ɥ	-	0.238
ˈɛ	ˈe	0.237
s	θ	0.221
ˈɛ	j_ˈe	0.22
ˈy	ˈo	0.212
ʤ	j	0.206
n	ŋ	0.18
e	o	0.175
m	ŋ	0.146
ˈu	ˈu	0.143
ˈe	-	0.13
ˈɛ	j	0.123
β	r	0.121
β	-	0.106
n	-	0.086
t	θ	0.074
ɾ	e	0.06
ˈi	r	0.056
