Nynorsk Norwegian	Middle English	probability
ˈʉː_ɡ	ˈiː	1.0
ˈʉ_ɡ	ˈuː	1.0
ˈœʏ̯	ˈeː	1.0
ˈæː	ˈɛ	1.0
ˈæʉ̯_ɡ	ˈæi̯	1.0
ˈæʉ̯	ˈɛː	1.0
ˈæɪ̯	ˈɔː	1.0
ˈæ	ˈɛ	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ɲ	n_ɡ	1.0
ɪ	-	1.0
ɡː	ʤ	1.0
ɛ	-	1.0
ə	ə	1.0
v	w	1.0
tː	t_eː	1.0
tʰ	θ	1.0
t	t	1.0
s_k	ʃ	1.0
pʰ	p	1.0
p	p	1.0
mː	m_b	1.0
m	m	1.0
lː	ɫ	1.0
kʰ_ʋ	ʍ	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.913
ɾ	r	0.911
n	n	0.828
ŋː	ɡ	0.819
d	d	0.808
ˈuː	ˈoː	0.778
e	ə	0.76
ˈœ	-	0.739
k	k	0.724
ˈʉ	ˈu	0.721
ʋ	w	0.708
ˈʉː	ˈuː	0.659
ɑ	ə_n	0.644
ʂ	ʃ	0.607
ˈʏ	ˈi	0.604
ˈyː	ˈeː	0.592
ˈɑː	ˈaː	0.588
l	l	0.556
ˈøː	ˈeː	0.555
ˈʊ	ˈɔ	0.539
ˈiː	ˈiː	0.533
ç	k	0.533
ˈɑ	ˈa	0.501
nː	n	0.49
ˈʊ	-	0.461
ɡ	ˈæi̯	0.461
ˈɛ	ˈɛ	0.446
l	ɫ	0.444
j	ə	0.442
ˈoː	ˈɛː	0.432
ʰtː	t	0.411
ˈyː	ˈiː	0.408
ˈɔ	ˈu	0.407
ˈɪ	ˈiː	0.403
ʂ	s	0.393
j	-	0.35
ʰtː	ç	0.331
ɡ	x	0.329
ˈɔ	ˈɔ	0.312
nː	n_d	0.307
ç	ʧ	0.302
ˈɑː	ˈa	0.294
ʋ	v	0.292
ˈeː	ˈi	0.286
ˈʏ	-	0.282
k	ʧ	0.276
ˈɪ	ˈi_ŋ	0.266
ˈœ	ˈu	0.261
ˈøː	-	0.259
ʰtː	x_t	0.258
ˈʉː	ˈeː	0.25
e	-	0.24
ˈɑ	ˈɔː	0.234
ˈɔ	-	0.231
ˈeː	-	0.225
ˈuː	-	0.222
ˈeː	ˈeː	0.22
ˈiː	ˈi	0.218
ˈeː	ˈɛː	0.211
ɡ	-	0.21
j	l	0.209
ˈɪ	ˈi	0.194
ˈoː	ˈoː	0.193
d	ð	0.192
ˈɑ	-	0.191
ˈøː	ˈɛː	0.186
ɑ	ə	0.184
ŋː	ŋ_ɡ	0.181
ˈʉ	ˈuː	0.175
ˈɛ	ˈi	0.174
ɑ	n	0.172
ç	θ	0.166
ˈoː	ˈɔː	0.162
ˈiː	ˈiː_d	0.146
ˈɪ	-	0.137
nː	n_ə	0.132
ˈɛ	ˈiː	0.128
ˈɛ	-	0.128
ˈɑː	-	0.118
ˈʏ	ˈeː	0.114
ˈoː	-	0.112
ˈʉ	ˈi	0.104
ˈiː	ˈeː	0.102
ˈʉː	ˈɔ	0.09
s	z	0.087
ˈɛ	ˈa	0.086
ˈɑ	ˈaː	0.073
ˈoː	n	0.071
nː	θ	0.071
n	-	0.068
n	n_ˈiu̯	0.064
ɾ	ˈɛː_r	0.059
ˈeː	ˈau̯	0.057
