Eastphalian	Scots	probability
b	b	0.817
b	-	0.068
b	tʰ	0.067
d	d	0.562
d	θ	0.392
f	f	0.945
h	h	1.0
j	j	0.414
j	-	0.349
j	ɡ	0.135
j	ˈe	0.102
k	k	0.547
k	kʰ	0.245
k	ʧ	0.131
l	l	0.929
l	-	0.071
m	m	0.954
n	n	0.897
n	-	0.097
p	p	0.901
p	pʰ	0.062
r	r	1.0
s	s	1.0
t	t	0.685
t	d	0.154
t	tʰ	0.124
v	w	0.715
v	v	0.144
v	-	0.075
v	ʍ	0.066
w	w	0.559
w	-	0.273
w	ˈu	0.167
x	ç	0.736
x	x	0.264
z	s	0.772
z	z	0.216
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	r	0.517
ɐ	ə	0.442
ɒː	i	1.0
ə	-	0.778
ə	n	0.138
ə	i	0.064
ɡ	-	0.576
ɡ	ɡ	0.424
ɣ	ɡ	0.74
ɣ	-	0.26
ɪ	e	0.539
ɪ	i	0.461
ʃ	ʃ	0.782
ʃ	s	0.218
ˈa	ˈɑː	0.368
ˈa	ˈa	0.304
ˈa	ˈɛ	0.133
ˈa	ˈeː	0.116
ˈa	ˈɪ	0.057
ˈaʊ̯	ˈø	0.581
ˈaʊ̯	ˈɪ	0.264
ˈaʊ̯	ˈuː	0.078
ˈaʊ̯	ˈøː	0.078
ˈaː	ˈa	0.802
ˈaː	ˈeː	0.103
ˈaː	ˈɛ	0.095
ˈeo̯	ˈiː	0.457
ˈeo̯	ˈi	0.236
ˈeo̯	ˈe	0.09
ˈeo̯	ˈeː	0.09
ˈeo̯	ˈɛ	0.09
ˈeː	ˈɛ	0.283
ˈeː	ˈəi̯	0.161
ˈeː	ˈeː	0.149
ˈeː	ˈi	0.149
ˈeː	ˈa	0.112
ˈeː	j	0.088
ˈeː	ˈɑː	0.057
ˈiː	ˈəi̯	0.594
ˈiː	ˈiː	0.204
ˈiː	ˈaɪ̯	0.051
ˈiː	ˈaːɪ̯	0.051
ˈoː	ˈɪ	0.391
ˈoː	ˈo	0.344
ˈoː	ˈeː	0.072
ˈoː	ˈʌ	0.072
ˈoː	ˈø	0.055
ˈuː	ˈu	0.571
ˈuː	ˈuː	0.317
ˈuː	ˈəi̯	0.113
ˈyː	ˈəi̯	0.544
ˈyː	ˈɪ	0.379
ˈyː	ˈiː	0.077
ˈøː	ˈi	0.405
ˈøː	ˈiː	0.214
ˈøː	j	0.2
ˈøː	ˈaɪ̯	0.182
ˈœ	ˈɪ	0.807
ˈœ	ə	0.123
ˈœ	ˈa	0.07
ˈɒː	ˈeː	0.31
ˈɒː	ˈe	0.22
ˈɒː	ˈi	0.152
ˈɒː	ˈø	0.104
ˈɒː	ˈʌ	0.104
ˈɒː	ˈa	0.057
ˈɒː	ˈiː	0.054
ˈɔ	ˈo	0.274
ˈɔ	ˈɪ	0.273
ˈɔ	ˈɑː	0.236
ˈɔ	ˈʌu̯	0.097
ˈɔ	ˈi	0.083
ˈɔʏ̯	ˈi	0.964
ˈɛ	ˈɪ	0.389
ˈɛ	ˈɛ	0.353
ˈɛ	ˈeː	0.145
ˈɛ	ˈaː	0.059
ˈɛ	ˈəi̯	0.055
ˈɛə̯	ˈe	1.0
ˈɛɪ̯	ˈiː	0.471
ˈɛɪ̯	ˈe	0.166
ˈɛɪ̯	ˈɛ	0.136
ˈɛɪ̯	ˈɑː	0.077
ˈɛɪ̯	ˈi	0.058
ˈɛɪ̯	ˈɪ	0.056
ˈɛː	ˈø	0.241
ˈɛː	ˈi	0.156
ˈɛː	ˈa	0.135
ˈɛː	ˈɛː	0.123
ˈɛː	ˈeː	0.118
ˈɛː	-	0.11
ˈɛː	ˈɪ	0.068
ˈɪ	ˈɪ	0.819
ˈɪ	-	0.061
ˈʊ	ˈʌ	0.62
ˈʊ	ˈu	0.2
ˈʊ	ˈuː	0.069
ˈʏ	ˈɪ	0.619
ˈʏ	ˈi	0.203
ˈʏ	ˈʌ	0.113
ˈʏ	ˈɛ	0.066
