English	English	probability
θ_#>	nː_#>	1.0
ˈɜː	-	1.0
ˈɛ	-	1.0
ˈɔː_n	ˈɔ_t͡n̥	1.0
ˈɒ	-	1.0
ˈaɪ̯_t	ʰt	1.0
ʧ	ʰʧ	1.0
ʤ	ɡ̊ː	1.0
ɪ	-	1.0
ɜː	-	1.0
əʊ̯	-	1.0
ŋ_k	ʰk_a	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈiː	v	1.0
tʰ	tʰ	1.0
t_ə	ʰt͡n̥	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
l	l	1.0
kʰ	kʰ	1.0
j	ɡ̊	1.0
h	h	1.0
d_ɹ	d̥_ɹ	1.0
b	b̥	1.0
<#_ɹ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_h	<#_j	1.0
<#_d	<#_d̥	1.0
m	m	0.92
s	s	0.912
k	k	0.818
f	f	0.8
θ	tʰ	0.75
ɹ	ɹ	0.714
w	v	0.652
n	n	0.61
t	t	0.605
ˈʊ	ˈɔːu̯	0.6
<#	<#_ˈeː	0.6
p	p	0.556
#>	ʊ_ɹ_#>	0.555
ˈeɪ̯	-	0.538
ˈaʊ̯	ˈʉːu̯	0.538
ɫ	l	0.529
ʃ	ʃ	0.5
ʃ	s_k	0.5
ɡ	ʤ̊	0.5
ɡ	ɡ̊_ʊ	0.5
ð	w	0.5
ð	-	0.5
ə	ɹ	0.483
ˈɐ	ˈʊ	0.474
ˈeɪ̯	ˈɛːa̯	0.462
ˈɔː	ɹ	0.455
ˈæ	-	0.455
ˈɑː	ˈɛːa̯	0.444
p	ʰp	0.444
d	-	0.438
ˈaɪ̯	ˈʊ̯iː	0.423
ˈʊ	ˈʊ	0.4
<#	<#_kʰ	0.4
d	d̥	0.375
ˈæ	ˈa	0.364
ɫ	t͡l̥	0.353
ˈe	-	0.346
t	ʰt	0.342
ˈɑː	ˈa_ɹ	0.333
ˈuː	-	0.333
v	v_a	0.333
v	v	0.333
v	-	0.333
ˈɪ	ˈɪ	0.324
ˈiː	-	0.32
#>	a_#>	0.319
ˈəʊ̯	-	0.294
ˈe	ˈɛ	0.269
ˈaɪ̯	-	0.269
ˈɐ	-	0.263
θ	-	0.25
ˈuː	ˈɔ̯aː	0.25
ˈuː	ˈɔːu̯	0.25
ə	ɪ_ɹ	0.241
ˈəʊ̯	ˈai̯	0.235
ˈaɪ̯	ˈɪ	0.231
ˈɑː	ˈɔ	0.222
ˈiː	ˈøː	0.2
ˈe	ˈɛːi̯	0.192
ˈɔː	ˈɔ	0.182
ˈɔː	ˈa_ɹ	0.182
ˈɔː	ˈa	0.182
ˈæ	ˈœ	0.182
k	ʧ	0.182
ˈəʊ̯	ˈɔ̯aː	0.176
ˈəʊ̯	ˈaːi̯	0.176
w	kʰ_v	0.174
ˈuː	ʤ̊ː	0.167
ˈɐ	ˈɔːu̯	0.158
ˈaʊ̯	ˈʊ_ɡ̊	0.154
ˈaʊ̯	ˈʊ	0.154
ˈaʊ̯	ˈɪ_ɡ̊	0.154
ˈɪ	ˈiː	0.147
ˈɪ	-	0.147
ɹ	ɹ_ˈɪ	0.143
ɹ	-	0.143
n	-	0.122
ˈiː	ˈɛːi̯	0.12
ˈiː	ˈɛːa̯	0.12
f	v	0.12
ˈɪ	ˈʊ̯iː	0.118
ˈəʊ̯	ˈɛ	0.118
ɫ	-	0.118
ˈe	ˈœ	0.115
ˈɐ	ˈɔ	0.105
ə	ɹ_a	0.103
ə	-	0.103
ˈɪ	ˈeː	0.088
s	ʃ	0.088
w	v_ˈai̯	0.087
w	-	0.087
ˈiː	ˈʊ̯iː	0.08
ˈiː	ˈɛːa̯_ɹ	0.08
ˈiː	ˈɔ̯aː	0.08
m	mː	0.08
f	l_v	0.08
ˈe	ˈɔ	0.077
ˈaɪ̯	ˈɔ	0.077
n	n̥	0.073
ə	ʊ	0.069
#>	ɪ_#>	0.067
d	j_ʊ	0.062
d	j_a	0.062
d	a	0.062
ˈɪ	ˈɛ	0.059
ˈɪ	ˈɔ̯aː	0.059
ˈɪ	ˈɔːi̯	0.059
t	ʈ	0.053
