Friulian	Friulian	probability
ˈɛ_r	rː	1.0
ˈɔː	ˈau̯	1.0
ˈi_w	ˈe	1.0
ˈaː_f	ˈa_p	1.0
ˈa_w	ˈau̯	1.0
ˈa_v	ˈa_p	1.0
ˈa_d	ˈaː_t	1.0
ɟ	ɡ	1.0
z_v	w	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
s_ˈa	s_ˈaː	1.0
s_t	s_t	1.0
s_e	s_ɛ	1.0
r_e	r_ãː	1.0
p	p	1.0
l_ˈa	ɫ_ˈa	1.0
l_s	ɫ_s	1.0
k_w	kʷ	1.0
k_r	k_r	1.0
k_o	k	1.0
j_ˈɛ	ˈɛ	1.0
i_s	ɛ_k	1.0
i_n	ĩː	1.0
e_n	ɛ_n	1.0
d_ˈu	t_ˈoː	1.0
d_e	t_ãː	1.0
c_ˈa	k_ˈa	1.0
b_ˈo	b_ˈɔ	1.0
b	b	1.0
a_r	ɛ_r	1.0
a_l	a_ɫ	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_c	<#_k	1.0
m	m	0.974
n	n	0.897
f	f	0.885
r	r	0.842
e	ãː	0.821
ʤ	ɡ	0.8
ˈoː	ˈoː	0.778
w	ˈɔ	0.778
k	k	0.778
ˈɛ	ˈɛ	0.714
v	w	0.71
ˈaː	ˈaː	0.7
ˈu	ˈuː	0.688
l	ɫ	0.673
ˈeː	ˈɪ	0.667
ʧ	k	0.667
a	a	0.667
ˈa	ˈa	0.657
ˈɛ_l	lʲː_ʊ̃ː	0.625
ˈi_n	ˈɛ_n	0.625
ˈiː	ˈiː	0.615
ˈi	ˈiː	0.607
d	d	0.6
u	ʊ	0.556
o	oː	0.556
ˈuː	ˈuː	0.545
t	t	0.511
ˈe	ˈɪ	0.5
z	s_i	0.5
j	ˈɛ	0.5
c	kː	0.5
c	k	0.5
ˈo	ˈʊ	0.467
#>	ʊ̃ː_#>	0.463
ˈuː	ˈɔ	0.455
s	s	0.448
o	ɔ	0.444
ɡ	ɡ	0.438
ɡ	k	0.438
ŋ	n_ʊ̃ː	0.4
ˈɛ_l	lʲː	0.375
ˈi_n	n	0.375
ˈɔ	ˈɔ	0.364
ˈɔ	k_ʊ	0.364
ˈeː	ˈeː	0.333
ɲ	n	0.333
d	t	0.333
ˈiː	ˈɛ	0.308
ˈaː	ˈa	0.3
ˈa	ˈaː	0.286
ˈɔ	-	0.273
ˈe	ˈeː	0.273
ɲ	n_i	0.25
ɲ	n_e	0.25
z	t_i	0.25
z	s	0.25
ŋ	n_ɛ̃ː	0.233
i	ɪ	0.227
ˈoː	ˈʊ	0.222
w	ɔ	0.222
u	ɔ	0.222
u	a	0.222
k	ʊ̃ː	0.222
#>	r_ɛ_#>	0.215
s	sː	0.207
i	ʊ̃ː	0.205
i	ɛ	0.205
ˈo	ˈoː	0.2
ʤ	j	0.2
ŋ	ŋ	0.2
ˈu	ˈʊ	0.188
#>	ɛ̃ː_#>	0.188
l	lʲː	0.173
s	k_ɛ̃ː	0.172
t	t_ɛ̃ː	0.17
ɲ	ŋ_n	0.167
j	i	0.154
ˈɛ	ʊ	0.143
ˈɛ	k	0.143
a	aː	0.143
v	b	0.129
t	tː	0.128
ˈu	-	0.125
ʧ	t_i	0.125
ʧ	kʷ	0.125
ɡ	-	0.125
j	ɫ	0.115
ˈi	-	0.107
s	k	0.103
n	ŋ_k	0.103
ˈo	ˈɔ	0.1
ˈo	-	0.1
ŋ	ʊ̃ː	0.1
v	ˈɔ	0.097
a	ˈa	0.095
a	-	0.095
ˈe	ˈɪ_ɡ	0.091
ˈe	ˈeː_ɡ	0.091
i	-	0.091
t	k_t	0.085
ʧ	t_e	0.083
ˈiː	ˈae̯	0.077
l	lʲ	0.077
j	lʲ_i	0.077
j	j	0.077
j	-	0.077
f	w_ɛ̃ː	0.077
e	a	0.077
ˈi	ˈiː_w	0.071
ˈi	ˈiː_lʲ	0.071
ˈi	ˈi	0.071
r	ɛ_r	0.07
s	oː_s	0.069
i	r	0.068
i	eː	0.068
ˈo	ˈuː	0.067
ˈo	ˈeː	0.067
ŋ	n	0.067
d	tʰ	0.067
v	p	0.065
t	d_ɛ̃ː	0.064
ˈa	ˈaː_t	0.057
r	-	0.053
e	ɪ	0.051
