East Frisian Low Saxon	Mecklenburgisch-Vorpommersch	probability
ˈʏ	ˈʏ	1.0
ˈʊə̯	ˈʊ	1.0
ˈɪə̯	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
ˈɛə̯	ˈɛ	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɑːʊ̯	ˈuː	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈɑː	ˈa	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœy̯	ˈɔʏ̯	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈɔʏ̯	1.0
ˈæː	ˈiː	1.0
ˈæɪ̯	ˈae̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	-	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ʊ	-	1.0
ɫ	l	1.0
ɡ̊	ɪ_ç	1.0
ɡ_n	ŋ	1.0
ə	-	1.0
ɑɪ̯	ae̯	1.0
ɐ_t	t	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	w	1.0
v̥	v̥	1.0
v_n	m	1.0
v	v	1.0
t_n	t_n	1.0
s_k	ʃ	1.0
r	r	1.0
o	ˈaʊ̯	1.0
n_t	n_t	1.0
n_n	n_n	1.0
m	m	1.0
l	l	1.0
k_n	k	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	d_n	1.0
b	b	1.0
n	n	0.952
d̥	d̥	0.94
ˈɒː	ˈɒː	0.888
ˈɑ	ˈa	0.887
t	t	0.842
ˈʊ	ˈʊ	0.84
ˈɛ	ˈɛ	0.831
ˈɑʊ̯	ˈaʊ̯	0.818
d	d	0.818
ɣ̊	ç	0.809
p	p	0.8
ˈæːɪ̯	ˈae̯	0.738
ɐ	æ	0.659
ˈɑːɑ̯	ˈa	0.631
s	ʃ	0.607
ɡ	ɡ	0.602
ˈʏə̯	ˈʏ	0.6
ˈɛːɪ̯	ˈae̯	0.6
χ	ç	0.598
ˈœ	-	0.512
ˈeːe̯	ˈɛː	0.5
ˈeːe̯	-	0.5
ˈœ	ˈɔ	0.488
ˈøː	-	0.48
ˈeː	ˈɛː	0.475
ˈoː	ˈaʊ̯	0.459
ˈøː	ˈœː	0.407
χ	x	0.402
ˈʏə̯	-	0.4
ˈɛːɪ̯	ˈiː	0.4
s	s	0.393
ˈɑːɑ̯	-	0.369
ˈeː	-	0.283
ˈæːɪ̯	ˈɛɪ̯	0.262
ˈeː	ˈɛ	0.243
ɡ	ɣ	0.236
ˈoː	-	0.2
p	-	0.2
ˈoː	ˈuː	0.199
ˈɑʊ̯	ˈɔʏ̯	0.182
ˈɛ	-	0.169
ɡ	j	0.162
ˈʊ	-	0.16
d	ɾ	0.159
t	-	0.158
ˈoː	ˈoː	0.142
ɐ	ˈiː_æ	0.121
ˈøː	ˈøː	0.114
ˈɑ	-	0.113
ˈɒː	ˈa	0.112
ɐ	ɾ_æ	0.099
ɣ̊	ɣ̊	0.095
ɣ̊	x	0.095
ɐ	ˈuː_æ	0.093
d̥	t	0.06
