East Franconian	Limburgish	probability
ˈɛː	-	1.0
ˈɘ	ˈyː	1.0
ˈɒː	ˈaː	1.0
ˈa	ˈæː	1.0
ʦ	t	1.0
ɾ_ɐ	ʀ	1.0
ɾ	j_ə	1.0
ɣ	ɣ_ə	1.0
ɡ̊_s	s	1.0
ɡ̊_n	k	1.0
ə	ʀ	1.0
ɐ_n	ʀ_ə	1.0
ɐ_d̥	ʀ_d̥	1.0
ç_d̥	x	1.0
z̥_n	t_ə	1.0
x_d̥	x	1.0
x	k	1.0
v̥	p	1.0
v_ˈɔ	β	1.0
v	β	1.0
r_ˈaɪ̯	ʀ	1.0
r	ʀ	1.0
n_a	n	1.0
l_n	l	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
f_n	p_ə	1.0
f_a	ə_v̥	1.0
f	v	1.0
eː	i	1.0
d̥_r	d_ʀ	1.0
d̥_n	j	1.0
b̥͡v̥	p	1.0
m	m	0.907
s	z	0.898
l	l	0.828
ˈaʊ̯	ˈuː	0.773
b̥	b	0.755
z̥	z̥	0.741
ʃ_d̥	s_t	0.662
n	n	0.657
ˈʊ	ˈʊː	0.572
ˈaː	ˈɛː	0.572
ŋ	ŋ	0.567
ˈiː	ˈeː	0.551
β	-	0.55
ɣ̊	ɣ̊	0.549
a	ə	0.538
ˈaɪ̯	ˈiː	0.536
ˈeː	ˈeː	0.531
ˈoː	ˈɒː	0.528
ʃ	s	0.526
ɐ	ʀ	0.514
ˈɔ	ˈɔ	0.502
ˈɒ_l	ˈaː_j	0.5
ˈɒ_l	ˈaː	0.5
ɡ̊	ɣ	0.5
ˈɪ	ˈɪː	0.498
d̥	d	0.48
a	-	0.462
ɣ̊	-	0.451
β	v_ə	0.45
d̥	d̥	0.375
ʃ_d̥	s	0.338
ʃ	ʃ	0.337
ˈɒ	ˈaː	0.331
ˈɒ	ˈɑ	0.319
ˈɛ	ˈɪ	0.312
ˈɔ	ˈʊː	0.31
ˈuː	ˈu	0.305
ɐ	ʀ_ə	0.3
ɡ̊	k	0.299
ˈeː	-	0.292
ˈaɪ̯	-	0.279
ŋ	ɣ_ə	0.278
ˈɒ	ˈɑː	0.261
z̥	t_ə	0.259
ˈuː	ˈoː	0.254
b̥	v̥	0.245
ˈaː	ˈɔː	0.239
ˈaʊ̯	ˈɔu̯	0.227
ç	ɣ̊	0.226
ç	ŋ	0.219
ç	x	0.219
ç	k	0.219
ˈoː	-	0.209
ˈɛ	ˈeː	0.205
ˈuː	ˈʊː	0.203
ɡ̊	ɣ̊	0.201
n	ə	0.2
ˈoː	ˈaː	0.197
ˈɔ	ˈɔː	0.188
ɐ	ə_ʀ	0.186
ˈaɪ̯	ˈœi̯	0.185
ˈeː	ˈi	0.177
ˈɛ	ˈæː	0.168
ŋ	k_ə	0.155
ˈiː	ˈøː	0.151
ˈuː	ˈøː	0.145
ʃ	z	0.137
ˈʊ	ˈoː	0.119
ˈiː	ˈi	0.119
ˈaː	ˈœ	0.117
ç	ə_k	0.117
ˈɪ	-	0.103
l	l_ə	0.103
s	z_ˈɛ	0.102
ˈɪ	ˈɛ	0.1
ˈɪ	ˈʏ	0.098
n	n_d	0.097
d̥	t	0.096
ˈʊ	ˈɔ	0.093
ˈʊ	-	0.093
m	v_ə	0.093
ˈuː	ˈuː	0.092
ˈiː	ˈiː	0.091
ˈɒ	-	0.089
ˈiː	-	0.087
ˈɛ	ˈɑ	0.079
ˈɛ	-	0.079
ˈɪ	ˈɛː	0.078
ˈɪ	ˈœ	0.078
ˈɛ	ˈɛ	0.078
ˈɛ	ˈæ	0.078
ˈaː	ˈɔu̯	0.072
ˈoː	ɡ	0.066
ˈʊ	ˈœː	0.064
ˈʊ	ˈʊ	0.058
l	ə_l	0.058
