Gascon	Eastern Lombard	probability
h	f	1.0
i	i	1.0
nː	n	1.0
p	p	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
ʤ	d	1.0
ʦ	s	1.0
b	ʋ	0.251
e	a	0.051
j	-	0.661
ŋ	ŋ	0.621
ɡ	-	0.071
ʒ	-	0.051
ˈe	ˈe	0.281
ˈe	ˈɛ	0.491
a	e	0.182
e	ˈi	0.12
u	-	0.122
ɔ	a	0.92
ʎ	j_ˈø	0.112
ʎ	ʤ	0.182
ʒ	ʤ	0.102
ˈi	ˈa	0.062
ˈy	ˈu	0.072
ˈɔ	ˈø	0.192
ˈɛ	ˈe	0.192
β	b	0.112
β	f	0.122
d	d_e	0.103
e	o	0.053
e	i	0.093
j	d_e	0.143
l	j	0.223
m	-	0.093
n	t	0.073
n	n_t	0.133
z	z	0.603
ɲ	ɲ	0.93
ˈe	e	0.133
ˈi	ˈe	0.153
ˈu	ˈø	0.083
ˈu	ˈy	0.113
r	r	0.894
u	ˈu	0.054
u	o	0.754
ɔ	-	0.074
ɡ	ɡ_w	0.134
ˈy	ˈy_r	0.064
e	e_s	0.05
e	-	0.135
k	ɡ	0.075
t	l	0.25
ð	d	0.785
ɡ	ɡ	0.795
ɾ	-	0.055
ʎ	ʧ	0.215
ʎ	l	0.225
ˈi	ˈi	0.785
ʎ	j	0.176
ˈa	a	0.056
ˈa	ˈa	0.906
ˈu	ˈɔ	0.086
ˈy	ˈo	0.176
ˈy	ˈy	0.196
ˈɛ	-	0.106
ˈɛ	ˈɛ	0.596
d	d	0.897
e	e	0.497
j	j	0.197
l	l	0.657
s	s	0.97
u	u	0.07
w	l	0.557
z	-	0.397
ð	-	0.107
ɲ	n	0.07
ɾ	e_r	0.057
ʒ	z	0.847
ˈu	ˈo	0.317
ˈy	ˈø	0.447
ˈɛ	ˈa	0.107
β	ʋ	0.07
β	-	0.697
a	a	0.818
k	k	0.898
m	m	0.828
t	t	0.708
w	-	0.118
ð	t	0.108
ɾ	r	0.888
ˈe	ˈi	0.058
ˈu	ˈu	0.308
b	b	0.749
l	-	0.119
n	n	0.739
w	ˈø	0.259
ŋ	n	0.379
ʎ	-	0.09
ˈɔ	ˈo	0.249
ˈɔ	ˈɔ	0.559
