West Frisian	Danish	probability
b	b̥	0.938
b	-	0.062
d	d̥	0.547
d	ð̞ˠ	0.196
d	ʦʰ	0.161
d	-	0.081
f	f	0.693
f	-	0.209
f	w	0.055
f	mˀ	0.044
h	h	0.936
h	-	0.064
j	-	0.593
j	ˈyˀ	0.198
j	ˈiˀ	0.078
j	j	0.047
j	ˈɛˀ	0.04
k	k	0.559
k	kʰ	0.218
k	j	0.124
k	-	0.08
l	l	0.78
l	lˀ	0.14
l	-	0.053
l	nˀ	0.028
m	m	0.846
m	mˀ	0.092
m	wˀ	0.055
n	n	0.613
n	-	0.195
n	nˀ	0.17
n	m	0.022
p	b̥	0.646
p	pʰ	0.104
p	-	0.094
p	p	0.094
r	ɐ	0.368
r	ʁ	0.354
r	-	0.128
r	ɐˀ	0.084
r	ɐ_n	0.047
r_m	m	1.0
s	s	1.0
t	ð̞ˠ	0.451
t	-	0.217
t	t	0.163
t	ʦʰ	0.125
t	lˀ	0.029
t_v	ʦʰ	1.0
v	ʋ	0.586
v	-	0.409
z	-	0.517
z	s	0.275
ŋ	ŋˀ	0.443
ŋ	ŋ	0.418
ŋ	-	0.088
ɕ	s	1.0
ə	ə	0.466
ə	-	0.393
ə	w	0.083
ə	ɐ	0.031
ə	i	0.022
ɡ	ɡ̊	1.0
ɣ	-	0.633
ɣ	ɡ̊	0.347
ɪ	-	0.226
ɪ	e	0.226
ɪ	i	0.226
ʋ	ʋ	0.572
ʋ	-	0.279
ʋ	v	0.059
ʋ	ˈo	0.056
ʦ	ʦʰ	0.733
ʦ	kʰ	0.265
ˈa	ˈa	0.245
ˈa	ˈɛ	0.237
ˈa	ˈɑ	0.153
ˈa	ˈɛˀ	0.075
ˈa	ˈɛː	0.075
ˈaː	ˈeˀ	0.119
ˈaː	ˈɑˀ	0.119
ˈaː	ˈɔˀ	0.104
ˈaː	ˈeː	0.083
ˈaː	ˈɛˀ	0.083
ˈeː	ˈeˀ	0.197
ˈeː	ˈʌ	0.197
ˈeː	ˈeː	0.114
ˈeː	ˈʌˀ	0.114
ˈi	ˈiˀ	0.522
ˈi	ˈɛː	0.126
ˈi	ˈeˀ	0.089
ˈi	ˈɑ	0.084
ˈi	ˈi	0.064
ˈiə̯	ˈeˀ	0.179
ˈiə̯	ˈœˀ	0.132
ˈiə̯	ˈuˀ	0.115
ˈiə̯	ˈyː	0.115
ˈiə̯	ˈɔˀ	0.1
ˈiː	ˈiˀ	0.278
ˈiː	ˈiː	0.242
ˈiː	ˈeˀ	0.139
ˈiː	ˈa	0.095
ˈiː	ˈe	0.095
ˈoə̯	ˈœ	0.295
ˈoə̯	ˈo_ɐˀ	0.218
ˈoə̯	ˈɔˀ	0.165
ˈoə̯	ˈɛː	0.125
ˈoə̯	ˈɔː	0.086
ˈoː	ˈʌ	0.226
ˈoː	ˈoˀ	0.12
ˈoː	ˈu	0.12
ˈu	ˈuˀ	0.45
ˈu	ˈu	0.209
ˈu	ˈɔ	0.111
ˈuə̯	ˈoˀ	0.33
ˈuə̯	ˈo	0.215
ˈuə̯	ˈoː	0.187
ˈuə̯	ˈɔˀ	0.108
ˈuə̯	lˀ	0.076
ˈuː	ˈuˀ	0.402
ˈuː	ˈɔ	0.166
ˈuː	-	0.095
ˈuː	ˈiː	0.095
ˈuː	ˈɒ	0.072
ˈy	ˈʌ	1.0
ˈyː	ˈy	0.517
ˈyː	ˈuˀ	0.111
ˈyː	ˈʌ	0.111
ˈø	ˈɔˀ	0.392
ˈø	ɐˀ	0.209
ˈø	ˈœ	0.209
ˈøə̯	ˈɑ	1.0
ˈɔ	ˈu	0.299
ˈɔ	-	0.146
ˈɔ	ˈa	0.084
ˈɔ	ˈe	0.084
ˈɔ	ˈɛ	0.084
ˈɔu̯	ˈiː	0.163
ˈɔu̯	ˈu	0.163
ˈɔː	ˈa	0.324
ˈɔː	ˈʌ	0.324
ˈɔː	lˀ	0.186
ˈɔː	ˈyˀ	0.119
ˈɛ	ˈæ	0.224
ˈɛ	-	0.17
ˈɛ	ˈa	0.129
ˈɛ	ˈi	0.112
ˈɛ	ˈøː	0.112
ˈɛi̯	jˀ	0.284
ˈɛi̯	ˈeˀ	0.215
ˈɛi̯	ˈæˀ	0.132
ˈɛi̯	ˈyː	0.079
ˈɛi̯	ˈɑˀ	0.076
ˈɛː	ˈa	0.574
ˈɛː	ˈœ	0.153
ˈɛː	ˈɑˀ	0.153
ˈɪ	ˈe	0.278
ˈɪ	ˈɛ	0.142
ˈɪ	ˈeˀ	0.121
ˈɪ	-	0.097
ˈɪ	ˈiː	0.095
ˈɪə̯	ˈœˀ	0.393
ˈɪə̯	ˈøː	0.204
ˈɪə̯	w	0.08
ˈɪə̯	ˈɑˀ	0.08
ˈɪə̯	ˈʌ	0.062
ˈɵ	ˈœ	0.463
χ	t	0.388
χ	w	0.176
χ	-	0.162
χ	ɡ̊	0.123
χ	s	0.062
