West Frisian	Danish	probability
b	b̥	0.934
b	-	0.066
d	d̥	0.463
d	-	0.217
d	ʦʰ	0.201
d	ð̞ˠ	0.118
f	f	0.719
f	-	0.126
f	mˀ	0.105
f	w	0.05
h	h	0.875
h	j	0.125
j	-	0.537
j	ˈyˀ	0.196
j	ɡ̊	0.07
j	ˈɛˀ	0.067
k	k	0.451
k	j	0.232
k	kʰ	0.209
k	-	0.087
l	l	0.786
l	lˀ	0.179
m	m	0.768
m	mˀ	0.167
n	n	0.704
n	nˀ	0.173
n	-	0.087
p	b̥	0.734
p	-	0.132
p	p	0.094
r	ɐ	0.461
r	ʁ	0.411
r	ɐˀ	0.09
s	s	0.981
t	ð̞ˠ	0.548
t	ʦʰ	0.203
t	t	0.105
t	-	0.059
t	ɐ_t	0.054
v	ʋ	0.436
v	-	0.383
v	w	0.18
z	-	0.529
z	s	0.471
ŋ	ŋ	0.653
ŋ	ŋˀ	0.302
ɕ	s	1.0
ə	ə	0.68
ə	-	0.243
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.48
ɣ	-	0.389
ɣ	w	0.131
ɪ	-	0.92
ɪ	e	0.06
ʋ	ʋ	0.786
ʋ	-	0.127
ʋ	ˈo	0.087
ʦ	ʦʰ	0.755
ʦ	ð̞ˠ	0.184
ʦ	kʰ	0.061
ˈa	ˈɑ	0.273
ˈa	ˈɛ	0.237
ˈa	ˈa	0.211
ˈa	ˈoː	0.059
ˈa	ˈo	0.052
ˈa	ˈɛː	0.052
ˈaː	ˈɔˀ	0.249
ˈaː	ˈɑ	0.159
ˈaː	ˈeˀ	0.095
ˈaː	ˈiˀ	0.083
ˈaː	ˈæː	0.081
ˈaː	ˈɑː	0.081
ˈaː	ˈɛˀ	0.071
ˈaː	ˈɑˀ	0.07
ˈeː	ˈeː	0.532
ˈeː	ˈʌ	0.269
ˈeː	ˈeˀ	0.1
ˈeː	ˈʌˀ	0.1
ˈi	ˈiˀ	0.494
ˈi	ˈe	0.137
ˈi	j	0.104
ˈi	ˈeˀ	0.071
ˈi	ˈɑ	0.065
ˈi	ˈi	0.065
ˈiə̯	ˈeˀ	0.274
ˈiə̯	ˈœˀ	0.167
ˈiə̯	ˈɔˀ	0.159
ˈiə̯	ˈuˀ	0.081
ˈiə̯	ˈɒˀ	0.066
ˈiə̯	ˈyː	0.053
ˈiə̯	ˈyˀ	0.052
ˈiː	ˈe	0.369
ˈiː	ˈiː	0.149
ˈiː	ˈiˀ	0.14
ˈiː	ˈɛ	0.096
ˈiː	ˈa	0.073
ˈiː	ˈuː	0.066
ˈiː	ˈyˀ	0.064
ˈoə̯	ˈœ	0.307
ˈoə̯	ˈo	0.224
ˈoə̯	ˈɔː	0.192
ˈoə̯	ˈɔˀ	0.113
ˈoə̯	ˈoˀ	0.081
ˈoː	ˈʌ	0.285
ˈoː	ˈu	0.282
ˈoː	ˈuː	0.282
ˈoː	ˈoˀ	0.151
ˈu	ˈɔ	0.811
ˈu	ˈu	0.156
ˈuə̯	-	0.233
ˈuə̯	ˈoˀ	0.214
ˈuə̯	ˈo	0.159
ˈuə̯	ˈoː	0.146
ˈuə̯	lˀ	0.134
ˈuə̯	ˈuˀ	0.082
ˈuː	ˈuˀ	0.457
ˈuː	ˈu	0.12
ˈuː	ˈɔ	0.116
ˈuː	ˈuː	0.094
ˈuː	-	0.09
ˈuː	w	0.062
ˈuː	ˈɒ	0.061
ˈy	ˈʌ	0.817
ˈy	ˈœ	0.183
ˈyː	ˈuˀ	0.433
ˈyː	ˈy	0.354
ˈyː	ˈʌ	0.213
ˈø	ˈɔˀ	0.637
ˈø	ɐˀ	0.181
ˈø	ˈœ	0.181
ˈøə̯	ˈɑ	1.0
ˈɔ	ˈɔ	0.288
ˈɔ	-	0.172
ˈɔ	ˈø	0.131
ˈɔ	ˈʌ	0.09
ˈɔ	ˈu	0.076
ˈɔ	ˈa	0.065
ˈɔ	ˈy	0.065
ˈɔu̯	ˈiː	0.657
ˈɔu̯	ˈu	0.343
ˈɔː	ˈa	0.435
ˈɔː	ˈʌ	0.347
ˈɔː	ˈyˀ	0.171
ˈɛ	ˈɛ	0.208
ˈɛ	ˈæ	0.192
ˈɛ	-	0.167
ˈɛ	ˈɛˀ	0.129
ˈɛ	ˈa	0.126
ˈɛ	ˈi	0.057
ˈɛ	ˈøː	0.054
ˈɛi̯	jˀ	0.474
ˈɛi̯	ˈyː	0.195
ˈɛi̯	ˈɛ	0.102
ˈɛi̯	ˈɑˀ	0.084
ˈɛi̯	ˈæˀ	0.083
ˈɛi̯	ˈeˀ	0.061
ˈɛː	ˈœ	0.338
ˈɛː	ˈa	0.294
ˈɛː	ˈɑˀ	0.286
ˈɛː	ˈɛ	0.082
ˈɪ	-	0.262
ˈɪ	ˈe	0.231
ˈɪ	ˈœ	0.103
ˈɪ	ˈeˀ	0.076
ˈɪ	ˈɛ	0.07
ˈɪ	ˈu	0.059
ˈɪ	ˈœː	0.059
ˈɪə̯	ˈœˀ	0.261
ˈɪə̯	ˈøː	0.148
ˈɪə̯	ˈɔˀ	0.115
ˈɪə̯	w	0.09
ˈɪə̯	ˈyː	0.08
ˈɪə̯	j	0.067
ˈɪə̯	ˈɑˀ	0.066
ˈɵ	ˈœ	1.0
χ	ɡ̊	0.431
χ	j	0.298
χ	w	0.171
χ	s	0.067
