Russian	Standard Croatian	probability
ʦ	ʦ	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɫ_a	l_a	1.0
ɡʲ	-	1.0
ɡ	ɡ	1.0
ɛ	eː	1.0
ə_ɫ	l	1.0
ɐ_r	r	1.0
æ	eː	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
v_ə	ʋ_a	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	n	1.0
n_a	n_a	1.0
m	m	1.0
kʲ	a_k	1.0
k	k	1.0
i_ˈ	i	1.0
f	ʋ	1.0
d̥ʲ	d	1.0
dʲ	d	1.0
d	d	1.0
b̥ʲ	-	1.0
b̥	b	1.0
b	b	1.0
a_ˈ	a	1.0
ˈ	̂	0.863
i	i	0.822
v	ʋ	0.821
nʲ	n	0.818
mʲ	m	0.801
ʨ	ʧ	0.781
a	a	0.778
n	n	0.775
ɡ̊	ɡ	0.743
e_ˈ	e	0.694
ɫ	l	0.664
vʲ	ʋ_j	0.659
r	r	0.658
x	x	0.649
ə	a	0.637
j	-	0.623
ɨ_ˈ	i_̂	0.618
rʲ	r	0.611
o_ˈ	̂	0.61
ɐ	o_̌	0.599
tʲ	t	0.577
u	uː	0.532
ʊ	uː_̌	0.5
ʊ	uː	0.5
ɨ	iː	0.488
u	u	0.468
e	e	0.467
tʲ	t_i	0.423
ɪ	-	0.411
ɵ	r̩ː	0.409
lʲ	l	0.394
ɨ_ˈ	i	0.382
j	x	0.377
x	-	0.351
r	-	0.342
vʲ	ʋ	0.341
ɨ	-	0.331
lʲ	l_j	0.314
e_ˈ	a	0.306
o_ˈ	a	0.296
lʲ	ʎ	0.292
ɪ	eː	0.289
o	o	0.288
ɫ	-	0.272
o	oː	0.261
ɡ̊	ɡ̊	0.257
e	r̩	0.24
rʲ	-	0.23
ɵ	-	0.228
ɪ	e_̌	0.226
n	a	0.225
ʨ	-	0.219
ɵ	e	0.212
ə	-	0.2
mʲ	m_j	0.199
nʲ	ɲ	0.182
v	u	0.179
i	iː	0.178
o	a	0.172
ɐ	o	0.166
ə	aː	0.163
rʲ	r_j	0.159
ɵ	eː	0.151
ɐ	aː_̌	0.145
a	-	0.116
a	aː	0.107
e	j_eː	0.105
ɨ	n	0.104
o	uː	0.095
e	eː	0.095
o_ˈ	o	0.094
e	-	0.092
ɐ	-	0.09
ˈ	̌	0.078
ɨ	e_̌	0.076
ɪ	e	0.074
o	aː	0.072
o	-	0.065
ɫ	a	0.064
ˈ	-	0.059
