Danish	Limburgish	probability
b̥	b	0.792
b̥	p	0.208
d̥	d	1.0
e	ə	0.5
e	ɪ	0.5
f	v	0.876
f	ˈv	0.099
h	ɦ	0.98
i	ə	1.0
j	-	0.426
j	x	0.278
j	ɦ	0.246
jˀ	ɣ	1.0
k	ʃ	0.446
k	k	0.324
k	-	0.195
kʰ	k	0.836
kʰ	d	0.106
kʰ	v	0.058
l	l	0.914
l	-	0.072
lˀ	f	0.437
lˀ	l	0.265
lˀ	ʀ	0.188
lˀ	j	0.056
lˀ	w	0.054
m	m	0.98
mˀ	m	0.668
mˀ	f	0.332
n	n	0.837
n	-	0.163
nˀ	n_t	0.529
nˀ	n	0.257
nˀ	n_d	0.141
nˀ	t	0.064
p	p	1.0
pʰ	p	1.0
s	s	0.427
s	z	0.412
s	-	0.128
t	t	0.552
t	x	0.336
t	-	0.112
w	v_ə	0.383
w	ə	0.295
w	ə_x	0.162
w	f	0.129
wˀ	m	0.573
wˀ	ə	0.427
ð̞ˠ	t	0.843
ð̞ˠ	j	0.148
ŋ	ŋ	0.656
ŋ	-	0.188
ŋ	ɪ	0.156
ŋˀ	ŋ	1.0
ɐ	ʀ	0.976
ɐˀ	ʀ	0.676
ɐˀ	ʀ_t	0.324
ə	ə	0.513
ə	-	0.458
ɡ̊	ɣ	0.692
ɡ̊	k	0.16
ɡ̊	-	0.102
ʁ	ʀ	0.875
ʁ	-	0.078
ʋ	β	0.859
ʋ	-	0.089
ʦʰ	d	0.622
ʦʰ	t	0.259
ʦʰ	t_β	0.063
ʦʰ	-	0.057
ʨ	d	1.0
ˈa	ˈɑː	0.516
ˈa	ˈaː	0.231
ˈa	ˈɑ	0.102
ˈa	ˈæː	0.059
ˈaː	ˈaː	1.0
ˈe	ˈɪː	0.533
ˈe	ɪː	0.115
ˈe	ˈɪ	0.102
ˈe	ˈɑ	0.088
ˈe	-	0.056
ˈeˀ	ˈɛː	0.546
ˈeˀ	ˈeː	0.183
ˈeˀ	ˈɑ	0.105
ˈeˀ	ˈɔː	0.053
ˈeˀ	ˈɛ	0.053
ˈeː	ˈiː	0.5
ˈeː	ˈɑ	0.5
ˈi	ˈyː	0.513
ˈi	ˈɛː	0.282
ˈi	ˈeː	0.102
ˈi	ˈøː	0.102
ˈiˀ	ˈiː	0.451
ˈiˀ	ˈeː	0.257
ˈiˀ	ˈi	0.118
ˈiˀ	ˈɪ	0.1
ˈiː	ˈiː	0.399
ˈiː	ˈɛ	0.348
ˈiː	ˈɛː	0.139
ˈiː	ˈeː	0.113
ˈo	ˈʊː	0.509
ˈo	ˈœː	0.19
ˈo	ˈɑ	0.186
ˈo	ˈøː	0.115
ˈoˀ	ˈʊː	0.519
ˈoˀ	ˈi	0.158
ˈoˀ	ˈoː	0.149
ˈoˀ	ˈøː	0.12
ˈoˀ	-	0.054
ˈoː	ˈɔu̯	0.329
ˈoː	ˈoː	0.207
ˈoː	ˈɑ	0.174
ˈoː	ˈøː	0.173
ˈoː	ˈœ	0.067
ˈoː	ˈɔ	0.051
ˈu	ˈʊː	0.413
ˈu	ˈɪ	0.2
ˈu	ˈɔ	0.18
ˈu	ˈɔː	0.147
ˈu	ˈuː	0.06
ˈuˀ	ˈuː	0.577
ˈuˀ	ˈi	0.136
ˈuˀ	ˈoː	0.121
ˈuˀ	ˈeː	0.083
ˈuˀ	ˈœi̯	0.083
ˈuː	ˈɔu̯	0.327
ˈuː	ˈœi̯	0.314
ˈuː	ˈeː	0.192
ˈuː	-	0.094
ˈuː	ˈuː	0.073
ˈy	ˈyː	0.335
ˈy	ˈœ	0.335
ˈy	ˈœi̯	0.205
ˈy	ˈɪ	0.126
ˈyˀ	ˈeː	0.771
ˈyˀ	ˈiː	0.107
ˈyˀ	ˈœi̯	0.095
ˈyː	ˈeː	0.906
ˈyː	ˈɪː	0.094
ˈæ	ˈaː	0.551
