Sassarese	Sassarese	probability
β_u	ˈɔ_w	1.0
β_i	w	1.0
β	-	1.0
ˈɛ_r	ˈɪ_ʀ	1.0
ˈɛ_j	ˈe_ʀ	1.0
ˈɔ_r	ˈu	1.0
ˈo_ʦː	ˈu_s	1.0
ˈo_tː	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_r	ˈa	1.0
ˈe_#>	ə_#>	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦː	s	1.0
ʤ	ʤ	1.0
ʣ	j	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ɮ	w	1.0
ɬ_t	t	1.0
ɬ	ˈɔ_ʀ	1.0
ɡː_u	ʎ	1.0
ɡ_u	k	1.0
ɔ	ˈũ	1.0
ŋ	ŋ	1.0
z	lː	1.0
x	k	1.0
w	-	1.0
u_r	u_l	1.0
tː_u	j	1.0
tː_i	j	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
rː	ʀ	1.0
r_u	ə	1.0
pː	p	1.0
p_j	p_l	1.0
nː	ŋ	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
lː	l	1.0
l	ʎ	1.0
kː	-	1.0
i_ɬ	ɪ	1.0
i_d	ˈɪ_j	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	f_l	1.0
e	-	1.0
dː_a	d_ɔ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_i	<#_ɪ	1.0
<#_b	<#	1.0
<#	<#_ˈa	1.0
m	m	0.947
u_#>	#>	0.94
f	f	0.938
ˈe	ˈe	0.9
<#_n	<#_n	0.867
p	p	0.769
ˈa_#>	ˈa_#>	0.75
ʤː	-	0.75
mː	m	0.75
b	b	0.737
a	ɔ	0.734
v	v	0.714
ˈa	ˈa	0.659
r	ʀ	0.658
ʦ	s	0.611
ɲː	ɲ	0.6
ɡː	k	0.6
xː	ʧ	0.6
#>	ə_#>	0.6
d	d	0.55
ɡ	ʤ	0.5
ɡ	ɡ	0.5
k	ʧ	0.5
k	k	0.5
j	-	0.5
i	ə	0.5
bː	b_ʀ	0.5
bː	b	0.5
a_r	ʀ	0.5
a_r	b_ʀ	0.5
<#_a	<#_ɒ	0.5
<#_a	<#	0.5
dː	-	0.467
n	n	0.464
t	t	0.462
ˈu	ˈy	0.412
ɲː	-	0.4
ɡː	-	0.4
xː	-	0.4
dː	l	0.4
ˈi	ˈi	0.393
ˈo	w	0.391
ˈɛ	ˈe	0.375
n	ŋ	0.357
ˈɔ	w_ˈɔ	0.353
ˈu	ˈu	0.353
ˈɔ	w	0.324
u	ə	0.317
t	ʧ	0.308
ˈo	ˈu	0.304
d	-	0.3
v	vʲ	0.286
ˈa	ˈã	0.273
ˈɛ	ˈɪ	0.25
ˈɛ	ˈẽ	0.25
ˈa_#>	#>	0.25
ʤː	ˈɛ	0.25
mː	-	0.25
i	-	0.25
t	-	0.231
ʦ	-	0.222
#>	ɔ_#>	0.2
#>	j_#>	0.2
p	-	0.192
j	ˈa	0.188
j	ə	0.188
r	l	0.184
ˈi	ˈĩ	0.179
n	ˈɔ̃	0.179
r	-	0.158
b	v	0.158
ˈi	ʀ	0.143
i	ɔ	0.143
a	ɒ	0.141
dː	d	0.133
<#_n	<#	0.133
ˈo	ˈœ	0.13
ˈɛ	ˈɪ̃	0.125
j	l	0.125
u	l	0.122
ˈɔ	ˈu	0.118
ˈu	ˈỹ	0.118
ˈu	w_ˈẽ	0.118
ʦ	z	0.111
ˈi	ˈɪ	0.107
i	ŋ	0.107
b	-	0.105
ˈe	ˈɪ	0.1
d	z	0.1
u	s	0.098
u	-	0.098
ˈɔ	ˈœ	0.088
ˈo	ˈũ	0.087
ˈo	-	0.087
u	ŋ	0.073
u	u	0.073
ˈi	ə	0.071
ˈi	-	0.071
ˈa	ˈe_j	0.068
f	fʲ	0.062
a	-	0.062
u_#>	w_#>	0.06
ˈɔ	ˈɔ	0.059
ˈɔ	-	0.059
ʦ	ʒ	0.056
m	mʲ	0.053
