Lower Sorbian	Štokavian	probability
ˈɨ	î	1.0
ˈɔ_k	ô_k	1.0
ˈe_l	ě_l	1.0
ˈa_s	ê_s	1.0
ˈa_r	r̂ː	1.0
ˈa	â	1.0
ʨ_#>	t_#>	1.0
ʦ	ʦ	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	n	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ɛ_#>	e_#>	1.0
ɕ_#>	t_#>	1.0
ɔ_#>	o_#>	1.0
ɔ	-	1.0
z	z	1.0
x_ɨ_#>	x_#>	1.0
x	x	1.0
vʲ_ˈɪ	ʋ_j	1.0
vʲ	ʋ_j	1.0
v_ˈɛ	ǒ	1.0
v	ʋ	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
rʲ	r	1.0
r_ˈɔ	r_âː	1.0
r	r	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
kʲ_i	a_k	1.0
k	k	1.0
i	i	1.0
bʲ	b	1.0
b	b	1.0
a_#>	a_#>	1.0
a	a	1.0
<#_ʑ	<#_d	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɕ	<#_t	1.0
<#_z	<#_z	1.0
<#_vʲ	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	e_#>	1.0
ɨ_#>	#>	0.857
w	l	0.857
<#_k	<#_k	0.818
ˈu	ûː	0.714
ɕ	t_i	0.714
t	t	0.714
s	s	0.625
ˈi	î	0.6
t_#>	t_#>	0.6
<#	<#_ʋ	0.6
k_#>	k_#>	0.571
d	d	0.571
ˈɛ	ô	0.556
ʂ	ʒ	0.5
ʂ	r	0.5
ɛ	eː	0.5
ɛ	a	0.5
e	e	0.5
l	l	0.444
k_#>	ɡ_#>	0.429
d	d_a	0.429
ˈi	îː	0.4
t_#>	d_#>	0.4
<#	<#_z	0.4
s	s_a	0.375
ˈe	r̩̂	0.333
ˈe	ê	0.333
ˈe	-	0.333
l	ʎ	0.333
ˈɔ	ôː	0.316
ˈɪ	j_êː	0.3
ˈɪ	j_ê	0.3
ˈu	ǔː	0.286
ɕ	-	0.286
t	d	0.286
e	eː	0.25
e	-	0.25
ˈɛ	ǒ	0.222
ˈɛ	ôː	0.222
l	ûː	0.222
ˈɪ	j_ěː	0.2
ˈɪ	êː	0.2
<#_k	<#_x	0.182
ˈɔ	ǒ	0.158
ˈɔ	ô	0.158
ˈɔ	â	0.158
ɨ_#>	iː_#>	0.143
w	o	0.143
ˈɔ	ě	0.105
ˈɔ	âː	0.105
