Bellunese	Bellunese	probability
θ_a	s_ɐ	1.0
ˈɛ_s	ˈɛ_ʃ	1.0
ˈɛ_n	ˈẽ	1.0
ˈo_ŋ	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_o	ˈe_w	1.0
ˈe_ŋ	ˈẽ	1.0
ˈe_d	ˈe	1.0
ˈa_ŋ	ˈɐ̃	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
r_t	ɾ_t	1.0
r_b	ɾ_v	1.0
r_a	ɾ_ɐ	1.0
r_#>	ɾ_#>	1.0
o_ŋ	õ	1.0
n_ˈa	n_ɐ	1.0
m	m	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
i_ŋ	ĩ	1.0
f_j	ʃ	1.0
e_r	ɾ	1.0
e_m	m	1.0
e_#>	#>	1.0
d_a	ð_ɐ	1.0
b	b	1.0
a_d	ɐ_ð	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
p	p	0.905
f	f	0.895
a	ɐ	0.82
ˈu	ˈu	0.8
v	v	0.786
r	ɾ	0.784
ð	ʒ	0.778
ˈi	ˈi	0.762
θ	s	0.733
o	u	0.717
ʧ	ʎ	0.714
w	w	0.714
t	t	0.686
d	d	0.667
l	l	0.65
z	z	0.625
n_a	j_ɐ	0.6
ˈo	ˈo	0.594
ˈɛ	ˈɛ	0.579
ˈe	ˈe	0.571
#>	u_#>	0.564
j	-	0.556
ˈa	ˈa	0.551
ɡ	ɣ	0.526
<#	<#_ɡ	0.5
<#	<#_ɐ	0.5
ɡ	ɡ	0.474
n	-	0.474
ŋ	w̃	0.421
s	s	0.421
ˈɔ	ˈo	0.417
n_a	ɐ	0.4
e	ɨ	0.391
z	-	0.375
n	n	0.368
ˈɔ	ˈɔ	0.333
i	ɨ	0.333
i	i	0.333
i	-	0.333
e	-	0.304
ʧ	ʃ	0.286
w	-	0.286
θ	-	0.267
ˈɛ	ˈɐ_j	0.263
s	ʃ	0.263
#>	ɨ_#>	0.255
ˈɔ	ˈo_j	0.25
ˈo	ˈɔ	0.25
ð	-	0.222
j	ʒ	0.222
j	ʃ	0.222
e	ˈe	0.217
v	β	0.214
ˈu	ˈo	0.2
ˈa	ˈɐ̃	0.184
d	ð	0.167
d	-	0.167
ˈɛ	-	0.158
ŋ	u	0.158
s	i_ʃ	0.158
n	ɲ	0.158
ˈi	ˈe	0.143
ˈe	-	0.143
ˈa	ˈɐ	0.143
o	ɨ	0.13
l	ɫ	0.125
l	-	0.125
t	ð	0.114
t	-	0.114
r	ʁ	0.108
ˈe	ˈɐ_j	0.107
ˈe	ˈɐ	0.107
ŋ	ˈɐ̃	0.105
ŋ	ɲ_u	0.105
ŋ	ɲ	0.105
ŋ	-	0.105
f	-	0.105
ˈi	-	0.095
p	-	0.095
ˈo	ˈu	0.094
o	-	0.087
e	ʃ	0.087
t	j_t	0.086
a	-	0.08
s	s_u	0.079
s	j_ʃ	0.079
#>	ʃ_#>	0.073
#>	ɐ_#>	0.073
ˈe	ˈɛ	0.071
o	w	0.065
ˈo	ˈɐ̃	0.062
ˈa	ɐ	0.061
ˈa	-	0.061
a	ʎ_ɐ	0.06
r	β_ɾ	0.054
r	-	0.054
