Icelandic	Eastphalian	probability
a	n	0.645
a	ə	0.338
aːu̯	ɒː	1.0
b̥	b	0.98
c	k	0.512
c	-	0.488
cʰ	k	1.0
d̥	d	0.917
d̥	-	0.083
f	f	1.0
h	h	0.929
h	k	0.071
i	n	1.0
j	-	0.643
j	ˈɛɪ̯	0.148
j	ˈeː	0.115
k	k	0.719
k	-	0.281
kʰ	k	0.752
kʰ	-	0.176
kʰ	f	0.072
l	l	0.95
l̥	l	1.0
m	m	0.941
m	f	0.059
n	n	0.901
n	-	0.099
nː	n	0.903
nː	-	0.097
n̥	n	0.711
n̥	ə	0.149
n̥	ɐ	0.14
p	m	0.542
p	p	0.458
r	r	0.542
r	ɐ	0.351
r	-	0.106
rː̥	ɣ	1.0
r̥	-	0.842
r̥	ɐ	0.145
s	z	0.421
s	s	0.34
s	ʃ	0.231
sː	ʃ	1.0
t	t	0.633
t	-	0.367
tʰ	t	0.957
u	-	0.5
u	ɪ	0.5
v	v	0.653
v	f	0.112
v	w	0.099
v	b	0.056
x	-	0.5
x	k	0.5
ç	h	1.0
ð	t	0.472
ð	d	0.278
ð	-	0.249
ŋ	ŋ	0.643
ŋ	-	0.357
ɑu̯	ɪ	1.0
ɛ	-	1.0
ɟ̊	ɣ	0.702
ɟ̊	ɡ	0.199
ɟ̊	-	0.099
ɟ̊ː	ɡ	1.0
ɡ̊	-	0.506
ɡ̊	ɣ	0.206
ɡ̊	j	0.176
ɡ̊	ç	0.079
ɡ̊ː	ɣ	0.368
ɡ̊ː	-	0.316
ɡ̊ː	k	0.316
ɣ	ç	0.485
ɣ	x	0.215
ɣ	ɣ	0.215
ɣ	j	0.084
ɪ	ɐ	0.789
ɪ	ə	0.152
ɪ	-	0.059
ɲ	ŋ	1.0
ʏ	-	0.867
ʏ	ə	0.133
ʰc	k	1.0
ʰk	ŋ_k	0.59
ʰk	k	0.41
ʰp	p	1.0
ʰt	ç	0.404
ʰt	t	0.303
ʰt	x	0.293
ˈa	ˈa	0.629
ˈa	-	0.155
ˈa	ˈɪ	0.064
ˈa	ˈaː	0.05
ˈai̯	ˈʏ	0.677
ˈai̯	ˈɔʏ̯	0.323
ˈau̯	ˈɒː	0.407
ˈau̯	ˈʏ	0.225
ˈau̯	ˈa	0.184
ˈau̯	ˈɛ	0.184
ˈaː	ˈa	0.331
ˈaː	ˈɒː	0.286
ˈaː	ˈɛə̯	0.148
ˈaː	ˈaː	0.127
ˈaː	ˈɛ	0.108
ˈaːi̯	ˈɔʏ̯	0.526
ˈaːi̯	ˈa	0.195
ˈaːi̯	ˈaʊ̯	0.158
ˈaːi̯	ˈɛ	0.12
ˈaːu̯	ˈoː	0.451
ˈaːu̯	ˈɒː	0.429
ˈaːu̯	ˈeo̯	0.12
ˈeːi̯	ˈøː	1.0
ˈi	ˈɪ	0.943
ˈiː	ˈiː	0.349
ˈiː	ˈɛɪ̯	0.257
ˈiː	-	0.191
ˈiː	ˈyː	0.086
ˈiː	ˈaʊ̯	0.066
ˈiː	ˈɪ	0.051
ˈou̯	ˈœ	1.0
ˈoːu̯	ˈɛɪ̯	0.606
ˈoːu̯	ˈaʊ̯	0.214
ˈoːu̯	-	0.062
ˈoːu̯	ˈɪ	0.062
ˈoːu̯	ˈʊ	0.057
ˈu	ˈʊ	0.825
ˈu	ˈyː	0.108
ˈu	ˈɪ	0.067
ˈuː	ˈuː	0.576
ˈuː	-	0.381
ˈœ	ˈɛː	0.603
ˈœ	ˈeː	0.283
ˈœ	ˈa	0.075
ˈœː	ˈeː	0.788
ˈœː	ˈɛɪ̯	0.119
ˈœː	ˈɔ	0.093
ˈœːy̯	ˈeo̯	0.766
ˈœːy̯	ˈoː	0.234
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɒː	0.741
ˈɑːu̯	ˈeo̯	0.124
ˈɑːu̯	-	0.076
ˈɑːu̯	ˈeː	0.059
ˈɔ	v_ˈoː	0.437
ˈɔ	ˈɔ	0.231
ˈɔ	ˈuː	0.114
ˈɔ	ˈoː	0.109
ˈɔ	ˈʏ	0.109
ˈɔu̯	ˈɛ	0.482
ˈɔu̯	ˈɔ	0.194
ˈɔu̯	ˈa	0.169
ˈɔu̯	ˈaʊ̯	0.155
ˈɔː	ˈoː	1.0
ˈɛ	ˈɪ	0.313
ˈɛ	ˈa	0.22
ˈɛ	ˈɛ	0.191
ˈɛ	ˈœ	0.103
ˈɛ	ˈɛː	0.096
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛː	ˈiː	0.297
ˈɛː	ˈɛ	0.246
ˈɛː	ˈɛː	0.141
ˈɛː	ˈɒː	0.124
ˈɛː	-	0.102
ˈɛː	ˈeː	0.05
ˈɛːi̯	ˈɛɪ̯	0.487
ˈɛːi̯	ˈeo̯	0.212
