Xiang	Xiang	probability
⁴⁵	⁴⁵	1.0
ʦʰ	ʦʰ	1.0
ʐ	ʐ	1.0
ʂ	s_ɤ	1.0
ɕ	ɕ	1.0
ɒ	a	1.0
ŋ	ɣ	1.0
æ	ɒ̃	1.0
¹³	¹¹	1.0
³³	¹¹	1.0
²¹	⁴⁵	1.0
z̩	z̩	1.0
w	w	1.0
u	u	1.0
tʰ	tʰ͡x	1.0
s	s	1.0
pʰ	p	1.0
õ	æ̃	1.0
nʲ	n	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
kʰ	kʰ͡x	1.0
k	k	1.0
ẽ	e	1.0
<#_w	<#_v	1.0
⁴¹	⁵³	0.967
n	ŋ	0.929
j	j	0.862
x	x	0.857
a	a	0.812
ʨʰ	ʨʰ	0.75
t	t	0.714
e	e	0.714
ʦ	ʦ	0.692
ʨ	ʨ	0.667
ɸ	f	0.667
y	y	0.667
p	p	0.625
ɥ	ɥ	0.6
a_n	æ̃	0.529
a_n	ɒ̃	0.471
o	ɤ	0.444
i	ĩ	0.438
i	i	0.438
²⁴	ʔ_²	0.435
ɥ	-	0.4
²⁴	²	0.391
ə	ə	0.385
p	pʰ͡x	0.375
ə	ə̃	0.346
ʨ	ʨʰ	0.333
ɸ	x_w	0.333
y	-	0.333
o	-	0.333
ʦ	ʦʰ	0.308
ɤ	ə_ʔ	0.3
ɤ	ə_ɻ	0.3
t	tʰ͡x	0.286
e	ə_ʔ	0.286
ə	ũ	0.269
ʨʰ	ʦʰ	0.25
o	w_a	0.222
ɤ	j_ə	0.2
ɤ	-	0.2
x	h	0.143
j	ɥ	0.138
i	ə_ʔ	0.125
a	a_ʔ	0.125
²⁴	⁴⁵	0.087
²⁴	ʔ_⁵⁴	0.087
n	-	0.071
a	o	0.062
