Old Frisian	Northern Low Saxon	probability
θ	d	1.0
ˈoː	ˈaʊ̯	1.0
ˈi̯aː_ɣ	ˈaɪ̯	1.0
ˈa_l	ˈaː	1.0
ʦ	kʰ	1.0
ʣ	ŋ	1.0
ɡː_ə	ɡ	1.0
ɡː	ç	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
w_ˈaː	v_ˈaɪ̯	1.0
w	v	1.0
t_ə	d	1.0
s_w	z	1.0
s_t	s	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_n	ɐ_n	1.0
pː	b	1.0
p_ə	b_m	1.0
nː_ə	n	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l_d	l_d	1.0
l	l	1.0
kː	-	1.0
k_ə	ɡ	1.0
j_ˈiː	ˈɛː	1.0
j_ˈe	ɡ_ˈeː	1.0
j_ə	n	1.0
iː	aɪ̯	1.0
i	ɪ	1.0
h_r	r	1.0
h	h	1.0
e	-	1.0
dː	d	1.0
d_r	d_r	1.0
bː	m	1.0
b	b	1.0
a	n	1.0
f	f	0.971
d	d	0.968
r_ə	ɐ	0.87
ɡ	ɡ	0.837
ˈiː	ˈiː	0.818
ˈi	ˈɪ	0.787
ˈuː	ˈuː	0.778
ə	-	0.758
ˈaː	ˈaʊ̯	0.744
ˈi̯aː	ˈaɪ̯	0.723
z	z̥	0.709
ˈa	ˈa	0.691
ˈu	ˈʊ	0.67
ˈe_r	ˈaː	0.661
v	m	0.66
d_ə	d	0.65
k	ɡ	0.634
ˈɔː	ˈa	0.625
ˈi̯uː	ˈyː	0.616
t	d	0.612
ɣ	ç	0.564
x	x	0.525
j	-	0.484
p	b	0.471
r	ɐ	0.47
s	z	0.467
ɣ	ɡ	0.436
s	ʃ	0.436
ˈeː	ˈoː	0.435
ˈɛː	ˈaɪ̯	0.432
x	ç	0.432
ˈi̯uː	-	0.384
ˈɔː	ˈoː	0.375
d_ə	n	0.35
v	v	0.34
ˈe_r	ˈɔː	0.339
j	ɡ	0.338
p	p	0.335
t	t	0.328
ˈo	ˈaʊ̯	0.296
r	r	0.293
z	-	0.291
ˈi̯aː	-	0.277
ˈeː	ˈɔʏ̯	0.275
ˈaː	-	0.256
ˈe	ˈa	0.254
k	k	0.241
r	-	0.237
ˈo	ˈɔ	0.233
ˈo	-	0.208
ə	n	0.208
ˈɛː	ˈɔʏ̯	0.204
ˈɛː	-	0.203
p	pʰ	0.194
ˈiː	-	0.182
j	ʒ	0.178
ˈe	ˈɛ	0.171
ɡ	j	0.163
ˈe	ˈʏ	0.162
ˈɛː	ˈɪ	0.161
ˈa	-	0.155
ˈa	ˈoː	0.154
ˈo	ˈʊ	0.153
ˈe	-	0.147
r_ə	ə	0.13
k	s	0.125
ˈeː	ˈiː	0.123
ˈe	ˈoː	0.123
ˈu	ˈʏ	0.119
ˈi	-	0.119
ˈuː	ˈʊ_n	0.111
ˈuː	-	0.111
ˈo	ˈøː	0.11
s	s	0.097
ˈi	ˈeː	0.094
ˈu	ˈøː	0.093
ˈeː	-	0.086
ˈeː	ˈaɪ̯	0.081
ˈu	ˈœː	0.06
t	-	0.06
ˈu	-	0.058
