Danish	English	probability
b̥	b	0.759
b̥	p	0.241
d̥	d	0.986
e	ɪ	1.0
f	f	0.973
h	h	1.0
i	ɪ	1.0
j	-	0.308
j	k	0.262
j	h	0.194
j	ˈeɪ̯	0.136
j	ˈaɪ̯	0.06
k	k	0.74
k	ŋ_k	0.156
k	ʧ	0.104
kʰ	kʰ	0.46
kʰ	ʧ	0.433
kʰ	-	0.107
l	l	0.563
l	ɫ	0.388
lˀ	ɫ	0.749
lˀ	f	0.251
m	m	0.956
mˀ	v	0.705
mˀ	m	0.295
n	n	0.89
n	-	0.068
nˀ	n	0.393
nˀ	n_d	0.344
nˀ	t	0.154
nˀ	θ	0.109
p	p	1.0
pʰ	pʰ	1.0
s	s	0.91
t	t	0.971
w	v	0.43
w	f	0.271
w	ˈe	0.088
w	-	0.081
w	əʊ̯	0.053
wˀ	m	0.848
wˀ	v	0.152
ð̞ˠ	t	0.553
ð̞ˠ	d	0.339
ð̞ˠ	θ	0.108
ŋ	ŋ	0.713
ŋ	n	0.185
ŋ	-	0.102
ŋˀ	ŋ	1.0
ɐ	ə	0.811
ɐ	-	0.098
ɐˀ	ˈɔː	0.678
ɐˀ	ˈɜː	0.236
ɐˀ	ɹ	0.086
ə	ə	0.564
ə	-	0.216
ə	əʊ̯	0.163
ə	ɪ	0.057
ɡ̊	ɡ	0.583
ɡ̊	ʤ	0.247
ɡ̊	-	0.132
ʁ	ɹ	0.931
ʋ	w	0.881
ʋ	-	0.102
ʦʰ	tʰ	0.489
ʦʰ	θ	0.419
ʦʰ	d	0.062
ʨ	θ	1.0
ˈa	ˈæ	0.25
ˈa	ˈɔː	0.219
ˈa	ˈɑː	0.156
ˈa	ˈeɪ̯	0.131
ˈa	ˈuː	0.105
ˈa	ˈɐ	0.062
ˈaː	ˈeɪ̯	1.0
ˈe	ˈɪ	0.626
ˈe	ˈe	0.209
ˈe	ˈaɪ̯	0.127
ˈeˀ	ˈəʊ̯	0.266
ˈeˀ	ˈiː	0.218
ˈeˀ	ˈe	0.155
ˈeˀ	ˈɐ	0.148
ˈeˀ	ˈɪ	0.111
ˈeˀ	ˈɑː	0.072
ˈeː	ˈiː	0.66
ˈeː	ˈæ	0.34
ˈi	-	0.485
ˈi	ˈiː	0.258
ˈi	ˈɜː	0.258
ˈiˀ	ˈaɪ̯	0.539
ˈiˀ	ˈɪ	0.24
ˈiˀ	ˈe	0.166
ˈiˀ	ˈiː	0.055
ˈiː	ˈaɪ̯	0.488
ˈiː	ˈeɪ̯	0.234
ˈiː	ˈɪ	0.234
ˈo	w	0.456
ˈo	-	0.386
ˈo	ˈɐ	0.158
ˈoˀ	ˈuː	0.274
ˈoˀ	ˈʊ	0.268
ˈoˀ	ˈaʊ̯	0.18
ˈoˀ	-	0.179
ˈoˀ	ˈɐ	0.099
ˈoː	ˈiː	0.314
ˈoː	ˈeɪ̯	0.273
ˈoː	ˈɐ	0.197
ˈoː	ˈe	0.143
ˈoː	ˈəʊ̯	0.073
ˈu	ˈaʊ̯	0.364
ˈu	ˈʊ	0.3
ˈu	ˈɐ	0.241
ˈuˀ	ˈaʊ̯	0.5
ˈuˀ	ˈiː	0.225
ˈuˀ	ˈaɪ̯	0.189
ˈuˀ	ˈe	0.086
ˈuː	ˈaɪ̯	0.5
ˈuː	ˈaʊ̯	0.5
ˈy	ˈɪ	1.0
ˈyˀ	ˈɪ	0.424
ˈyˀ	ˈiː	0.223
ˈyˀ	ˈaɪ̯	0.179
ˈyˀ	ˈe	0.11
ˈyˀ	j	0.064
ˈyː	ˈɪ	0.333
ˈyː	ˈiː	0.307
ˈyː	w	0.187
ˈyː	ˈaɪ̯	0.173
ˈæ	ˈɑː	0.57
ˈæ	-	0.43
ˈæˀ	ˈeɪ̯	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈɪ	0.51
ˈøː	ˈe	0.379
ˈøː	ˈiː	0.111
ˈœ	ˈɪ	0.517
ˈœ	ˈiː	0.215
ˈœ	ˈɐ	0.101
ˈœ	ˈe	0.071
ˈœ	ˈɒ	0.071
ˈœˀ	ˈiː	0.686
ˈœˀ	ˈe	0.201
ˈœˀ	ˈɛ	0.094
ˈœː	ˈe	1.0
ˈɑ	ˈɒ	0.339
ˈɑ	-	0.249
ˈɑ	ˈiː	0.18
ˈɑ	ˈæ	0.13
ˈɑ	ˈe	0.102
ˈɑˀ	ˈɔː	0.573
ˈɑˀ	ˈɑː	0.286
ˈɑˀ	-	0.141
ˈɑː	ˈɑː	0.5
ˈɑː	ˈɛ	0.5
ˈɒ	ˈɐ	1.0
ˈɒˀ	ˈiː	0.672
ˈɒˀ	ˈɛ	0.328
ˈɒː	l	0.5
ˈɒː	ˈɔː	0.5
ˈɔ	ˈɐ	0.919
ˈɔ	ˈaʊ̯	0.081
ˈɔˀ	ˈiː	0.242
ˈɔˀ	ˈe	0.171
ˈɔˀ	ˈeɪ̯	0.163
ˈɔˀ	ˈɔː	0.154
ˈɔˀ	ˈuː	0.137
ˈɔˀ	ˈəʊ̯	0.091
ˈɔː	ˈɪ	0.626
ˈɔː	ˈuː	0.374
ˈɛ	ˈæ	0.288
ˈɛ	ˈaɪ̯	0.268
ˈɛ	ˈɑː	0.123
ˈɛ	ˈɔː	0.075
ˈɛ	ˈɪ	0.075
ˈɛ	ɪ	0.073
ˈɛ	ˈɒ	0.055
ˈɛˀ	ˈəʊ̯	0.337
ˈɛˀ	ˈe	0.194
ˈɛˀ	ˈɪ	0.194
ˈɛˀ	ˈeɪ̯	0.186
ˈɛˀ	ˈiː	0.089
ˈɛː	ˈəʊ̯	0.594
ˈɛː	ˈiː	0.25
ˈɛː	ˈæ	0.156
ˈʌ	-	0.327
ˈʌ	ˈɪ	0.163
ˈʌ	ˈæ	0.162
ˈʌ	ˈuː	0.152
ˈʌ	ˈɐ	0.122
ˈʌˀ	ˈiː	0.895
ˈʌˀ	ˈaɪ̯	0.105
