Danish	English	probability
b̥	b	0.796
b̥	p	0.197
b̥_j	b	1.0
b̥_ə	p	1.0
d̥	d	0.907
d̥	ð	0.093
e	ɪ	1.0
f	f	0.955
f	ʃ	0.049
h	h	1.0
i	ɪ	1.0
j	-	0.508
j	k	0.224
j	ˈaɪ̯	0.123
j	ˈiː	0.111
jˀ	ˈeɪ̯	1.0
k	k	0.583
k	ŋ_k	0.18
k	ʧ	0.136
kʰ	kʰ	0.699
kʰ	ʧ	0.19
kʰ	-	0.093
l	l	0.602
l	ɫ	0.365
l	-	0.036
lˀ	ɫ	0.823
lˀ	ə	0.13
lˀ	-	0.049
m	m	0.95
m	n	0.053
mˀ	v	0.45
mˀ	m	0.334
n	n	0.839
n	-	0.155
nˀ	n_d	0.498
nˀ	n	0.307
nˀ	θ	0.111
nˀ	t	0.053
p	p	0.239
pʰ	pʰ	1.0
s	s	0.93
s	t	0.032
s	-	0.031
s	z	0.029
s_k	ʃ	1.0
s_ə	z	1.0
t	t	0.94
t	-	0.061
v	w	0.323
v	f	0.102
v	v	0.089
w	v	0.343
w	f	0.26
w	əʊ̯	0.12
w	ˈiː	0.091
w	k	0.089
wˀ	m	0.574
wˀ	v	0.281
ð̞ˠ	t	0.585
ð̞ˠ	d	0.327
ð̞ˠ	θ	0.084
ð̞ˠ_ə	d	1.0
ŋ	n	0.371
ŋ	-	0.181
ŋ_ə	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	ə	0.735
ɐ	-	0.203
ɐ	ˈɔː	0.049
ɐ	ˈɜː	0.032
ɐˀ	ˈɔː	0.602
ɐˀ	ˈɜː	0.259
ɐˀ	ɹ	0.13
ə	-	0.876
ə	ɪ	0.044
ə	ə	0.044
ə	əʊ̯	0.04
ə_ð̞ˠ	d	0.489
ɡ̊	ɡ	0.636
ɡ̊	ʤ	0.203
ɡ̊	-	0.138
ʁ	ɹ	0.944
ʁ	-	0.055
ʋ	w	0.891
ʋ	-	0.096
ʦʰ	tʰ	0.581
ʦʰ	θ	0.414
ʨ	θ	0.239
ˈa	ˈɑː	0.275
ˈa	ˈeɪ̯	0.215
ˈa	ˈæ	0.163
ˈa	ˈɔː	0.142
ˈa	ˈuː	0.08
ˈaː	ˈeɪ̯	1.0
ˈe	ˈɪ	0.535
ˈe	ˈe	0.237
ˈe	ˈaɪ̯	0.141
ˈe	ˈiː	0.071
ˈeˀ	ˈəʊ̯	0.298
ˈeˀ	ˈe	0.22
ˈeˀ	ˈɪ	0.124
ˈeˀ	ˈiː	0.108
ˈeˀ	ˈɐ	0.094
ˈeː	ˈiː	0.574
ˈeː	ˈæ	0.281
ˈi	ˈaɪ̯	0.392
