West Flemish	Old West Norse	probability
ˈi	ˈiː	1.0
ɾ_t	r_t	1.0
ɪ	u	1.0
ɦ_ə	ɣ	1.0
ə_ɾ	r̥	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
ç	ɣ	1.0
z̥	s	1.0
z	s	1.0
s	s	1.0
n_d	nː	1.0
l_ˈɑ	l̥	1.0
iə̯	ɑː	1.0
h_t	tː	1.0
h	ˈeː	1.0
b	b	1.0
ɾ	r	0.839
l	l	0.828
t	t	0.814
ˈu	ˈu	0.804
m	m	0.804
ˈɛː	ˈɛi̯	0.784
w	l	0.771
p	p	0.762
ˈyː	ˈuː	0.737
ʋ	v	0.679
ʃ_h	s_c	0.648
v	f	0.642
ˈɑ	ˈɑ	0.636
ɦ̥	ɣ	0.631
ˈœ	ˈy	0.6
ˈuə̯	ˈoː	0.595
ˈøː	ˈo	0.574
ə	ɑ	0.506
ˈɒː	ˈɑ	0.484
d	d	0.463
ˈɪ	ˈi	0.459
d̥	ð	0.456
ɦ	ɣ	0.449
v̥	v_r̥	0.449
n	n	0.434
ˈøː	-	0.426
ˈœ	ˈu	0.4
k	k	0.391
d	θ	0.391
ˈɒː	ˈɑː	0.388
ˈɔ	-	0.386
ˈæ	ˈe	0.381
ɦ̥	ɡ_r̥	0.369
ˈɛ	-	0.365
v	v	0.358
ˈiə̯	-	0.355
ʃ_h	s_k	0.352
ˈɪ	-	0.345
v̥	f_r̥	0.341
ˈeː	ˈe	0.331
ˈɛ	ˈi	0.318
ˈɛ	ˈe	0.318
ɦ	ɟ	0.313
ˈiə̯	ˈyː	0.312
ˈɔ	ˈu	0.307
ˈɔ	ˈo	0.307
ˈoː	ˈo	0.306
ˈuə̯	ˈøː	0.294
n	ɑ	0.27
ˈeː	-	0.267
ˈyː	ˈu	0.263
ˈeː	ˈɛi̯	0.259
ˈæ	j_ˈɑ	0.243
k	kʰ	0.241
ˈæ	ˈɑ	0.236
ə	i	0.232
w	-	0.229
ˈoː	ˈɑu̯	0.217
ˈɛː	j_ˈoː	0.216
v̥	v	0.21
d̥	d_r̥	0.209
d̥	d	0.209
ʋ	-	0.202
ˈu	ˈɑ_l	0.196
m	-	0.196
ˈoː	-	0.191
ˈiə̯	j_ˈuː	0.172
l	lː	0.172
ˈiə̯	j_ˈoː	0.162
ˈɑ	ˈɑː	0.156
t	tː	0.153
ˈɑ	ˈɔ	0.149
ɦ	ʝː	0.147
ˈeː	ˈi	0.143
ˈæ	-	0.14
n	nː	0.136
k	cʰ	0.136
ˈoː	ˈøy̯	0.134
p	pʰ	0.129
ˈɒː	ˈe	0.128
d̥	ð_r̥	0.126
k	cː	0.123
ˈɪ	ˈy	0.119
ʋ	x_w	0.119
ə	r̥	0.112
ˈuə̯	ˈɔː	0.111
n	-	0.11
p	pː	0.109
k	ɡ_r̥	0.109
ɦ	ɟː	0.091
d	ð_i	0.088
ə	u	0.086
ˈoː	ˈy	0.079
ɾ	r̥ː	0.077
ˈɪ	e	0.076
ɾ	i_r̥	0.065
ə	-	0.064
ˈɑ	ˈɛ	0.059
d	ð	0.058
