Mecklenburgisch-Vorpommersch	Swabian	probability
ˈɛɪ̯	ˈɛː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈeː	1.0
ˈoː	ˈɔː	1.0
ʃ	ʃ	1.0
ɣ̊	ɡ	1.0
ɣ	ˈae̯	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
æ_n	ʁ_a	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
v_ˈɪ	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_a	1.0
r_ˈɔʏ̯	ʁ	1.0
r	ʁ	1.0
pʰ	b̥͡f	1.0
n_ˈɛː	n	1.0
n_d̥	d	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
ae̯	eə̯	1.0
l	l	0.97
d̥	d	0.91
b	b	0.884
ˈʊ	ˈo	0.869
ˈa	ˈa	0.843
p	f	0.829
ç	ɡ	0.828
m	m	0.763
ɾ	d	0.758
j	ɡ	0.723
ɪ	ɪ	0.667
ŋ	ŋ	0.661
ˈɔ	ˈo	0.633
ˈuː	ˈao̯	0.62
ˈyː	ˈəi̯	0.615
s	ʃ	0.594
ˈɛː	-	0.58
ˈae̯	ˈɔe̯	0.563
n	n	0.539
æ	ʌ	0.538
ˈiː	ˈəi̯	0.534
ˈaː	ˈa_ʕ	0.529
ˈʏ	-	0.489
ˈɔʏ̯	-	0.485
æ	ʕ	0.462
ˈɛː	ˈɛ	0.42
ˈɛ	ˈɛ	0.408
k	ɡ	0.396
k	ç	0.392
ˈyː	-	0.385
t	ʦ	0.352
t	s	0.337
ɪ	i	0.333
ˈaʊ̯	ˈuə̯	0.311
t	d	0.311
ˈɪ	ˈi	0.306
ˈɛ	ɡ	0.291
n	a	0.28
j	j	0.277
ˈae̯	ˈiə̯	0.259
ˈɔʏ̯	ˈuə̯	0.257
ˈɔʏ̯	ˈiə̯	0.257
ˈʏ	ˈae̯	0.256
ˈʏ	ˈu	0.255
ˈɒː	ˈɔː	0.252
ˈiː	ˈɛ	0.252
ɾ	ˈu_d	0.242
ˈaː	ˈɛ_ʕ	0.236
ˈaː	ˈaː	0.236
ˈaʊ̯	ˈoː	0.235
ˈɪ	ˈe	0.227
ˈɪ	ˈɪ	0.225
ˈɒː	ˈa	0.217
ˈiː	-	0.214
k	x	0.212
ˈɒː	ˈoː	0.209
ˈuː	ˈo	0.205
ŋ	ɡ_a	0.205
s	ɡ_s	0.203
s	s	0.203
ˈɪ	-	0.195
ˈɔ	ˈu	0.183
ˈɔ	ˈa	0.183
ˈae̯	-	0.178
ç	ç_d	0.172
p	b̥͡f	0.171
ˈɒː	ˈaː	0.165
ˈɒː	ˈo	0.156
ˈaʊ̯	ˈao̯	0.153
ˈaʊ̯	-	0.153
n	n_d	0.153
ˈɛ	ˈɛː	0.15
ˈɛ	-	0.15
ŋ	a	0.134
ˈʊ	-	0.131
m	m_a	0.12
b	-	0.116
ˈa	ˈaː	0.1
ˈuː	ˈɔ	0.099
d̥	t	0.09
m	b_a	0.083
ˈaʊ̯	ˈuː	0.076
ˈuː	-	0.075
ˈaʊ̯	ˈɔə̯	0.072
ˈa	ˈɛ	0.057
