North Frisian	Old Norse	probability
b	b	0.936
d	ð	0.435
d	d	0.403
d	t	0.054
d	θ	0.051
dʲ	ð	1.0
f	f	0.873
f	v	0.064
h	h	0.87
h	ç	0.108
i	ɑ	0.416
i	u	0.217
i	i	0.205
i	-	0.162
j	-	0.253
j	ɣ	0.197
j	r	0.148
j	j	0.114
j	ɡ	0.095
j	ɡː	0.085
j	ɟ	0.083
k	k	0.546
k	kʰ	0.222
k	cʰ	0.081
k	c	0.062
l	l	0.857
l	lː	0.078
l	-	0.052
lʲ	l	0.53
lʲ	lː	0.323
lʲ	rː	0.104
m	m	0.909
m	r	0.055
n	n	0.767
n	nː	0.12
n	-	0.079
nʲ	n	0.654
nʲ	nː	0.346
p	p	0.539
p	v	0.217
p	pː	0.152
p	-	0.092
r	r	0.842
r	-	0.08
r	rː	0.05
s	s	0.862
s	nː	0.065
t	t	0.439
t	θ	0.189
t	tʰ	0.177
t	tː	0.081
t	-	0.077
tʲ	t	0.853
tʲ	θ	0.147
v	v	0.651
v	-	0.194
v	x	0.075
v	mː	0.05
w	ɑ	0.843
w	u	0.157
x	tː	0.708
x	s	0.208
x	r	0.084
z	t	0.536
z	s	0.318
z	r	0.116
ŋ	ŋ	0.907
ŋ	-	0.093
ə	ɑ	0.472
ə	-	0.252
ə	i	0.12
ə	a	0.084
ɛi̯	ɑː	1.0
ɡ	ɡ	0.973
ʃ	s	0.419
ʃ	c	0.407
ʃ	f	0.069
ʃ	cʰ	0.067
ˈa	ˈɑ	0.402
ˈa	ˈe	0.138
ˈa	ˈɔ	0.115
ˈa	ˈi	0.1
ˈa	ˈeː	0.097
ˈa	ˈøː	0.092
ˈa	ˈu	0.056
ˈai̯	ˈi	0.556
ˈai̯	ˈe	0.271
ˈai̯	ˈyː	0.173
ˈaː	ˈi	0.778
ˈaː	ˈo	0.222
ˈeː	ˈɑ	0.226
ˈeː	ˈe	0.165
ˈeː	j_ˈɑ	0.16
ˈeː	ˈeː	0.158
ˈeː	ˈy	0.113
ˈeː	ˈu	0.067
ˈi	ˈiː	0.346
ˈi	ˈi	0.291
ˈi	ˈe	0.22
ˈi	ˈo	0.058
ˈi	ˈɔ	0.053
ˈiː	ˈɛi̯	0.216
ˈiː	ˈyː	0.14
ˈiː	ˈiː	0.113
ˈiː	ˈoː	0.111
ˈiː	ˈɑː	0.098
ˈiː	ˈi	0.096
ˈiː	ˈøy̯	0.085
ˈiː	j_ˈuː	0.054
ˈuː	ˈɑu̯	0.294
ˈuː	ˈɑː	0.287
ˈuː	ˈɑ	0.206
ˈuː	ˈuː	0.073
ˈyː	ˈuː	0.302
ˈyː	ˈu	0.172
ˈyː	ˈɑː	0.132
ˈyː	ˈɑu̯	0.1
ˈyː	ˈɒu̯	0.078
ˈyː	ˈɛ	0.075
ˈyː	ˈyː	0.063
ˈøː	ˈyː	0.473
ˈøː	ˈuː	0.19
ˈøː	ˈu	0.189
ˈøː	ˈo	0.148
ˈœ	ˈoː	0.248
ˈœ	ˈɑ	0.219
ˈœ	ˈu	0.17
ˈœ	ˈo	0.126
ˈœ	ˈa	0.117
ˈœ	ˈɔ	0.081
ˈɒ	ˈoː	0.396
ˈɒ	ˈɑ	0.275
ˈɒ	ˈɛi̯	0.167
ˈɒ	ˈɑː	0.162
ˈɒː	ˈe	0.211
ˈɒː	ˈɑː	0.211
ˈɒː	ˈɛ	0.197
ˈɒː	ˈɑ	0.169
ˈɒː	ˈɛː	0.135
ˈɒː	ˈa	0.077
ˈɔ	ˈo	0.749
ˈɔ	ˈy	0.251
ˈɔi̯	ˈɛ	1.0
ˈɔu̯	ˈɑː	0.476
ˈɔu̯	ˈɑ	0.145
ˈɔu̯	ˈoː	0.132
ˈɔu̯	ˈo	0.086
ˈɔu̯	ˈy	0.081
ˈɔu̯	ˈɛi̯	0.081
ˈɔː	ˈɔ	0.321
ˈɔː	ˈu	0.221
ˈɔː	ˈa	0.178
ˈɔː	ˈɑː	0.079
ˈɔː	ˈɑ	0.07
ˈɔː	j	0.056
ˈɔː	ˈɛ	0.056
ˈɛ	ˈøː	0.649
ˈɛ	j	0.135
ˈɛ	ˈi	0.132
ˈɛ	ˈɛ	0.083
ˈɛi̯	ˈo	0.22
ˈɛi̯	ˈøː	0.198
ˈɛi̯	ˈeː	0.144
ˈɛi̯	ˈɛː	0.135
ˈɛi̯	ˈɑ	0.116
ˈɛi̯	ˈɔ	0.075
ˈɛi̯	ˈe	0.07
ˈɛː	ˈɑː	0.412
ˈɛː	ˈe	0.182
ˈɛː	ˈɑ	0.17
ˈɛː	ˈɛ	0.143
ˈɛː	ˈɔ	0.055
ˈʊ	ˈu	0.477
ˈʊ	ˈɑ	0.312
ˈʊ	ˈy	0.098
ˈʊ	-	0.063
ˈʏ	ˈy	0.817
ˈʏ	ˈyː	0.112
ˈʏ	ˈuː	0.071
