Alsatian	Scots	probability
b̥	b	0.935
d̥	d	0.552
d̥	θ	0.283
d̥	ð	0.102
d̥	-	0.063
e	-	1.0
eː	i	1.0
f	f	0.661
f	p	0.199
f	v	0.077
f	-	0.064
h	h	1.0
i	ə	0.428
i	i	0.289
i	e	0.169
i	ŋ	0.113
j	j	0.35
j	ˈiː	0.269
j	ˈaɪ̯	0.169
j	-	0.109
j	ˈəi̯	0.103
k	k	0.537
k	ɡ	0.331
k	-	0.087
kʰ	kʰ	0.49
kʰ	ʧ	0.278
kʰ	k	0.154
kʰ	-	0.078
l	l	0.932
m	m	0.86
m	-	0.14
n	n	0.847
n	-	0.143
p͡f	d	0.5
p͡f	p	0.5
s	s	0.542
s	t	0.363
s	z	0.082
t	d	0.54
t	t	0.251
t	ð	0.132
v	v	0.535
v	-	0.465
w	ˈu	0.453
w	-	0.435
w	w	0.112
x	ç	0.556
x	x	0.261
x	k	0.184
ŋ	ŋ	1.0
ə	ə	0.604
ə	-	0.366
ɡ̊	ɡ	0.672
ɡ̊	j	0.233
ʁ	r	0.942
ʁ	-	0.051
ʃ	ʃ	0.394
ʃ	s	0.365
ʃ	ç	0.087
ʃ	d	0.064
ʋ	w	0.78
ʋ	ʍ	0.135
ʋ	-	0.085
ʦ	tʰ	0.584
ʦ	t	0.416
ˈai̯	ˈiː	1.0
ˈaː	-	0.551
ˈaː	ˈeː	0.287
ˈaː	ˈe	0.162
ˈe	ˈa	0.527
ˈe	ˈɪ	0.188
ˈe	ˈo	0.175
ˈe	ˈɛ	0.11
ˈei̯	ˈiː	0.654
ˈei̯	ˈuː	0.346
ˈeː	ˈɛ	0.357
ˈeː	ˈi	0.27
ˈeː	ˈiː	0.181
ˈeː	ˈeː	0.071
ˈeː	ə	0.065
ˈeː	ˈɑː	0.056
ˈi	ˈɪ	0.635
ˈi	ˈi	0.095
ˈi	ˈaːɪ̯	0.072
ˈi	ˈəi̯	0.06
ˈi	-	0.06
ˈiː	ˈəi̯	0.354
ˈiː	ˈi	0.171
ˈiː	-	0.156
ˈiː	ˈɪ	0.1
ˈiː	ˈiː	0.093
ˈiː	ˈʌu̯	0.066
ˈo	ˈo	0.419
ˈo	ˈɪ	0.131
ˈo	ˈuː	0.119
ˈo	ˈʌ	0.108
ˈo	ˈø	0.093
ˈo	ˈi	0.076
ˈo	ˈu	0.054
ˈoː	ˈi	0.222
ˈoː	ˈiː	0.163
ˈoː	ˈeː	0.131
ˈoː	ˈø	0.12
ˈoː	ˈʌ	0.11
ˈoː	ˈɪ	0.074
ˈoː	ˈo	0.07
ˈoː	ˈe	0.056
ˈoː	ˈɛ	0.054
ˈu	ˈʌ	0.536
ˈu	ˈɪ	0.246
ˈu	ˈu	0.07
ˈyː	ˈu	0.79
ˈyː	ˈəi̯	0.162
ˈæ	ˈi	0.275
ˈæ	ˈʌ	0.253
ˈæ	-	0.244
ˈæ	ˈɛ	0.118
ˈæ	ˈɪ	0.109
ˈæː	ˈiː	0.515
ˈæː	ˈɛ	0.221
ˈæː	ˈɛː	0.171
ˈæː	ˈeː	0.094
ˈø	ˈu	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈø	0.67
ˈøː	ˈɪ	0.33
ˈœ	ˈiː	1.0
ˈɒ	ˈɑː	0.33
ˈɒ	ˈa	0.195
ˈɒ	ˈe	0.175
ˈɒ	ˈɪ	0.103
ˈɒ	ˈeː	0.098
ˈɒ	ˈø	0.074
ˈɒː	ˈeː	0.245
ˈɒː	ˈø	0.23
ˈɒː	ˈa	0.104
ˈɒː	ˈɛ	0.104
ˈɒː	ˈɪ	0.104
ˈɒː	ˈɑː	0.073
ˈɒː	ˈoː	0.071
ˈɒː	ˈi	0.069
ˈɔi̯	w	1.0
ˈəi̯	ˈe	0.659
ˈəi̯	ˈɛ	0.164
ˈəi̯	ˈɑː	0.101
ˈəi̯	ˈeː	0.076
ˈɛ	ˈɛ	1.0
ˈʊː	ˈø	0.342
ˈʊː	ˈiː	0.277
ˈʊː	ˈɪ	0.128
ˈʊː	ˈi	0.125
ˈʊː	ˈuː	0.085
