Insular North Frisian	Middle English	probability
ˈʏ_ç	ˈiː_ə	1.0
ˈɪ_ɾ	ˈiː_d	1.0
ˈɛː	-	1.0
ˈøː	-	1.0
ˈaː	ˈa	1.0
ˈaʊ̯	ˈɔː_v	1.0
ˈa_x	ˈi_ç	1.0
ʃ	s	1.0
ɪ_ç	iː	1.0
ɡ	ɡ	1.0
ɐ_n	r_n	1.0
z	z	1.0
tʲ	θ	1.0
tʰ	θ	1.0
s_k	ʃ	1.0
r_ə	r	1.0
r	r	1.0
p	p	1.0
nʲ	n_d	1.0
n_t	n_t	1.0
m	m	1.0
lʲ	ɫ_d	1.0
l_ˈɪ	l_ˈi	1.0
l_ə	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	eː	1.0
f	f	0.94
s	s	0.924
t	t	0.872
k	k	0.849
ɾ	d	0.797
v	w	0.792
ˈa	ˈa	0.772
ˈɔa̯	ˈɛː	0.7
ŋ	ɡ	0.677
ˈaɪ̯	ˈæi̯	0.667
ˈyː	ˈuː	0.645
ə	ə	0.645
d	θ	0.58
ˈɪ	ˈiː	0.57
l	l	0.568
n	n	0.558
x_t	t	0.532
ɐ	r	0.507
ˈʏ	ˈuː	0.48
x_t	d	0.468
ˈeː	-	0.437
ç	ʤ	0.431
d	t	0.42
x	x	0.417
l	ɫ	0.41
ˈœ	ˈu	0.409
x	-	0.408
ɐ	ə_r	0.394
ˈɔ	ˈɔ	0.383
ˈyː	-	0.355
ə	-	0.355
ˈoː	ˈɛː	0.354
ˈaɪ̯	ˈɛ	0.333
ˈuː	ˈoː	0.327
ˈɔː	ˈaː	0.323
ç	ç	0.323
ˈoː	ˈoː	0.278
ˈɔː	ˈɛː	0.276
ˈuː	ˈɔ	0.272
ˈuː	-	0.265
ˈœ	ˈi	0.264
ˈɛ	ˈi	0.254
ˈʏ	ˈu	0.251
ˈiː	ˈeː	0.247
ç	-	0.245
ˈɔ	ˈi	0.234
ˈɛ	ˈeː	0.231
ˈɔ	ˈu	0.227
ˈʊ	ˈi	0.222
ˈʊ	ˈu	0.22
ˈeː	ˈeː	0.22
ˈeː	ˈɛː	0.217
ˈoː	-	0.215
ˈiː	ˈɔː	0.215
ˈiː	ˈiː	0.212
ˈɪ	ˈi_ŋ	0.207
ɾ	ð	0.203
n	n_d	0.199
ˈɔː	ˈa	0.183
ˈɔː	-	0.183
ˈɛ	ˈɛ	0.178
ŋ	ŋ	0.177
ˈʊ	ˈu_ŋ	0.175
x	ç	0.175
ˈɔa̯	ˈɔː	0.172
ˈɛ	-	0.167
ˈœ	ˈɔː	0.164
ˈœ	ˈoː	0.163
v	ʍ	0.162
ˈɔ	ˈoː	0.156
ˈa	ˈɛ	0.156
ˈoː	ˈæi̯	0.152
k	ʧ	0.151
ŋ	-	0.146
n	n_ə	0.144
ˈuː	w	0.136
ˈʏ	-	0.135
ˈʊ	-	0.131
ˈʊ	ˈoː	0.13
ˈɔa̯	-	0.128
t	d	0.128
ˈiː	ˈæi̯	0.126
ˈeː	ˈɛ	0.126
ˈʊ	ˈɔː	0.122
ˈiː	ˈɛː	0.122
ˈɪ	ˈeː	0.112
ˈɪ	ˈi	0.111
ˈɛ	ˈɔː	0.105
ɐ	r_ə	0.099
n	-	0.099
ˈiː	-	0.077
ˈa	ˈau̯	0.072
ˈʏ	ˈiː	0.067
ˈʏ	ˈeː	0.067
ˈɛ	ˈu	0.066
f	v	0.06
