Standard Serbian	Old Church Slavonic	probability
̂	ˈ	1.0
ʨ	ʃ_t	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʎ	lʲ	1.0
ʃ	-	1.0
ɲ	nʲ	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
t	t	1.0
s_a	s	1.0
r̩ː	r_ɪ	1.0
r̩	r_ɪ	1.0
p	p	1.0
oː	ɔ	1.0
o_̂	ɔ_ˈ	1.0
n	n	1.0
m	m	1.0
l	l	1.0
iː_̌	i	1.0
e_̌	ɛ	1.0
e_̂	æ_ˈ	1.0
d	d	1.0
b	b	1.0
a_r	r_ʊ	1.0
a_m	m_ɪ	1.0
ʋ	v	0.978
s	s	0.966
r	r	0.951
k	k	0.906
aː	ɑ	0.766
j	j	0.753
o	ɔ	0.749
ʦ	ʦ	0.738
̌	-	0.697
e	ɛ	0.655
i	i	0.613
iː	i	0.586
eː	æ	0.499
a	ɑ	0.449
uː	ɔ̃	0.432
iː	ɯ	0.414
u	l_ɪ	0.339
̌	ˈ	0.303
i	ɯ	0.288
eː	ɛ̃	0.286
ʦ	ɪ_ʦ	0.262
uː	u	0.259
j	-	0.247
u	ɔ̃	0.237
u	u	0.237
aː	-	0.234
a	ɑ_ˈ	0.217
o	l_ʊ	0.216
eː	ɛ	0.215
u	v_ʊ	0.188
uː	l_ʊ	0.181
e	æ_ˈ	0.178
e	-	0.167
uː	l	0.128
a	ɪ	0.117
a	ʊ	0.109
k	-	0.094
a	-	0.067
i	ɯ_ˈ	0.062
