Middle High German	Wymysorys	probability
ˈɛ_r	ˈɑ	1.0
ˈɛ_h	ˈɑ	1.0
ˈɑ_ɡ	ˈi̯ø	1.0
ˈɑ_r	ˈi̯ø	1.0
ˈøː	ˈei̯	1.0
ˈøy̯	-	1.0
ˈæː	ˈɘ̟	1.0
ˈyə̯	ˈi	1.0
ˈuː	ˈɑi̯	1.0
ˈuə̯	ˈʏ	1.0
ˈu_r	ˈʏ	1.0
ˈu	ˈu	1.0
ˈoː	ˈu	1.0
ˈiː	ˈai̯	1.0
ˈeː	ˈei̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ɡ_ə	ɡ̊	1.0
ɛ_h	ɑ	1.0
ə_n	a	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
x_s	k_s	1.0
tː	t	1.0
t_ə	t	1.0
t	t	1.0
s̻ː	s	1.0
s̻	s	1.0
r	r	1.0
p͡f	f	1.0
p	ʃ_p	1.0
oː	d_a	1.0
nː	n	1.0
n_t	n_d	1.0
mː	m	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ_k	1.0
f	f	1.0
b̥	b̥	1.0
b_ə_n	n	1.0
b	b	1.0
ʃ	ʃ	0.972
n	n	0.972
v	f	0.957
ˈiə̯	ˈi	0.91
d	d	0.909
h	h	0.859
w	v	0.857
k	k	0.852
l	w	0.843
x	x	0.821
ˈei̯	ˈa	0.805
d̥	d̥	0.8
ɡ̊	ɡ̊	0.778
ˈy	ˈɘ̟	0.764
ˈi	ˈɘ̟	0.752
ˈou̯	ˈɑi̯	0.732
ɡ	ɡ	0.709
xː	x	0.703
n_ə	n	0.64
b_ə	v_ɛ	0.638
ˈe	ˈɛ	0.6
s	z	0.569
ˈɑ	ˈɑ	0.542
ˈɑː	-	0.52
ˈo	ˈu	0.504
ə	-	0.497
ˈɑː	ˈø	0.48
ˈɛ	ˈɑ	0.463
ˈyː	ˈɑi̯	0.426
ˈɑ	ˈɔ	0.411
ˈe	ˈi	0.4
s	s	0.378
b_ə	p	0.362
n_ə	ŋ	0.36
ˈɛ	-	0.33
ˈyː	ˈɑi̯_ɛ	0.324
xː	ç	0.297
ɡ	ɟ	0.291
ə	ɛ	0.278
ˈo	-	0.27
ˈou̯	-	0.268
ˈyː	-	0.25
ˈy	-	0.236
ɡ̊	-	0.222
ˈɛ	ˈa	0.207
d̥	t	0.2
ˈei̯	ˈɛ	0.195
x	ç	0.179
ə	ə	0.162
l	l	0.157
k	c	0.148
w	-	0.143
h	h_ˈoi̯	0.141
ˈi	ˈi	0.129
ˈi	ˈei̯	0.119
ˈo	ˈɔ	0.113
ˈo	ˈø	0.113
d	d̥	0.091
ˈiə̯	ˈɪ	0.09
s	-	0.053
