Eastphalian	Eastphalian	probability
ˈɛɪ̯_#>	ˈeː_#>	1.0
ˈɛə̯	ˈɑː	1.0
ˈɔʏ̯	ˈøː	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	ˈɑː	1.0
ˈaɪ̯	ˈæɪ̯	1.0
ˈa_x	ˈɔ	1.0
ɪ	ɑ	1.0
ɣ̊	ɡ	1.0
ɡ	-	1.0
ə_#>	#>	1.0
ŋ_k	ʰkː	1.0
ç_t	ʰtː	1.0
ç_#>	ɡ_#>	1.0
z̥_#>	s_#>	1.0
z	s	1.0
t_v	tʰ	1.0
t_n	t_ɑ	1.0
s	s	1.0
r	ɾ	1.0
n_ə	nː	1.0
n_d̥_#>	nː_#>	1.0
n_#>	#>	1.0
l_ə	lː	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
j	ɡ	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
d_ɐ	ɾ	1.0
<#_ˈɛɪ̯	<#_ˈæɪ̯	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	n_#>	1.0
b	b	0.913
ə	e	0.895
d̥_#>	#>	0.889
v	ʋ	0.882
p	p	0.875
h	h	0.875
m	m	0.84
ˈiː	ˈiː	0.833
ˈʊ	ˈʉ	0.818
l	l	0.781
ˈeo̯	ˈæʉ̯	0.778
ˈaʊ̯	ˈuː	0.778
ŋ	ŋː	0.778
ɐ	ɾ	0.771
ˈɛː	-	0.714
ˈa	ˈɑ	0.714
ˈɛ	-	0.7
t	t	0.679
ˈuː	ˈʉː	0.667
ɣ	ɡ	0.667
ˈʏ	ˈʏ	0.6
w	ʋ	0.6
<#	<#_j	0.6
ˈɒː	ˈoː	0.571
ˈeː	-	0.571
ˈɪ	ˈɪ	0.522
ʃ	ʂ	0.5
x	ɡ	0.5
x	-	0.5
k	kʰ	0.471
d	d	0.448
ˈoː	ˈɔ	0.444
ˈeː	ˈeː	0.429
ʃ	s_k	0.429
n	n	0.42
d	tʰ	0.414
w	ˈʏ	0.4
n	ɑ	0.4
ˈɔ	-	0.333
ˈuː	-	0.333
ˈoː	ˈoː	0.333
ɣ	-	0.333
ˈɛ	ˈɛ	0.3
ˈɛɪ̯	ˈʉː	0.294
ˈɛɪ̯	ˈæɪ̯	0.294
ˈɛɪ̯	ˈyː	0.294
k	ç	0.294
ˈɛː	ˈɑ	0.286
ˈɒː	ˈɑː	0.286
k	k	0.235
ˈɔ	ˈʏ	0.222
ˈɔ	ˈɔ	0.222
ˈɔ	ˈɑ	0.222
ˈoː	-	0.222
ˈeo̯	ˈœʏ̯	0.222
ˈaʊ̯	-	0.222
ŋ	ɡ_ɑ	0.222
ˈɪ	-	0.217
t	ʰtː	0.214
ˈʏ	ˈɛ	0.2
ˈʏ	-	0.2
<#	<#_ˈɛ	0.2
<#	<#_kʰ	0.2
ˈʊ	ˈuː	0.182
ˈiː	-	0.167
l	lː	0.156
ˈɒː	ˈɑ	0.143
ˈa	-	0.143
ˈɪ	ˈɛ	0.13
ˈɪ	ˈiː	0.13
p	ʰpː	0.125
h	-	0.125
ˈɛɪ̯	ˈiː	0.118
v	v	0.118
d̥_#>	d_#>	0.111
t	-	0.107
ə	-	0.105
n	nː	0.1
ˈa	ˈɛ	0.095
b	-	0.087
ɐ	ə_ɾ	0.086
ɐ	e_ɾ	0.086
m	ɑ	0.08
m	mː	0.08
ʃ	sː	0.071
d	ç	0.069
d	-	0.069
l	j	0.062
ɐ	ɾ_e	0.057
