Sassarese	Asturian	probability
β	β	1.0
ˈa_ɬ	ˈo	1.0
ˈa_tː	ˈa_t	1.0
ʧː	ʝ	1.0
ʧ	ʎ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʒ	θ	1.0
ʎː	ʝ	1.0
ʃː	-	1.0
ɮ	-	1.0
ɡː_u	ˈe_u	1.0
ɡː	ɣ	1.0
ŋ	ŋ	1.0
z	s	1.0
x	s_k	1.0
w	w	1.0
v	b	1.0
u_r	o_l	1.0
t	t	1.0
r_u	ɾ_u	1.0
pː	s_p	1.0
o	o	1.0
nː	n	1.0
mː_u	m_e	1.0
mː	m	1.0
m	m	1.0
l	ʎ	1.0
kː	-	1.0
k_u	k_o	1.0
k	k	1.0
fː	f	1.0
dː_u	u	1.0
d_u	d_u	1.0
d_i	ˈe	1.0
bː	β	1.0
a_r	ɾ	1.0
a_dː	a_ð	1.0
ˈo	ˈo	0.925
f	f	0.887
p	p	0.886
ˈa	ˈa	0.878
a	a	0.858
u	u	0.798
r_a	ɾ_a	0.776
b	b	0.745
ɬ	s	0.742
ʤ	ʃ	0.709
n	n	0.699
r	ɾ	0.659
ˈi	ˈi	0.656
ˈu	ˈu	0.643
xː	ɾ_k	0.603
ʦː	θ	0.601
ɡ	ɣ	0.595
sː	ˈe_s	0.595
ˈe	ˈe	0.58
i	e	0.567
dː	ð	0.565
rː	ɾ_n	0.549
ɲː	ɲ	0.539
ˈɛ	ˈe	0.481
ɲː	-	0.461
rː	ˈe_r	0.451
tː	ʧ	0.434
d	d	0.427
ˈɔ	w_ˈe	0.42
tː	t	0.42
ɡ	ɡ	0.405
sː	-	0.405
ʦː	l_s	0.399
xː	s_k	0.397
ˈɔ	ˈo	0.395
ˈɛ	j_ˈe	0.378
r	l	0.341
ʤ	-	0.291
d	ð	0.288
d	-	0.286
dː	-	0.282
j	s	0.27
ɬ	ɾ	0.258
j	ɾ	0.256
b	-	0.255
ˈu	ˈo	0.239
r_a	a	0.224
ˈe	j	0.184
n	ŋ	0.18
j	l	0.179
ˈi	ˈe	0.162
dː	ˈe_ʎ	0.153
ˈe	j_ˈe	0.15
ˈɔ	w	0.146
tː	-	0.146
ˈɛ	j	0.141
j	ˈa	0.14
n	-	0.121
ˈu	-	0.118
i	-	0.117
p	β	0.114
f	-	0.113
i	i	0.107
a	e	0.102
i	l	0.091
u	o	0.089
j	ˈe_ɾ	0.089
ˈe	ˈe_j	0.086
u	e	0.08
ˈo	w	0.075
ˈi	-	0.074
ˈa	ɾ	0.07
j	ˈe	0.065
ˈi	ˈe_ɾ	0.062
i	o_s	0.058
ˈa	-	0.052
