Galician	Italian	probability
#>	#>	0.996
<#	<#	0.968
<#_a	<#	0.519
<#_e	<#	1.0
a	a	0.726
a	ˈa	0.183
b	v	0.625
b	b	0.335
d	d	1.0
e	e	0.415
e	i	0.191
e	-	0.093
e	o	0.053
e	ˈo	0.053
e	ˈɛ	0.053
f	f	1.0
i	i	0.515
i	e	0.163
i	-	0.123
i	u	0.123
i	ˈi	0.072
j	-	0.253
j	t	0.233
j	j	0.176
j	l	0.075
j	e	0.065
j	i	0.057
j	ʃ	0.053
k	k	0.989
l	l	0.853
l	l_e	0.118
m	m	0.979
n	n	0.926
o	o	0.504
o	-	0.238
o	ˈɔ	0.068
o	i	0.052
o	ˈo	0.05
p	p	1.0
r	r	0.934
r	-	0.07
s	s	0.912
s_#>	#>	1.0
s_ɐ	e	0.519
s_ˈo	ˈo	1.0
t	t	0.925
t	-	0.054
u	o	0.392
u	u	0.392
u	ˈu	0.139
v	v	1.0
w	w	0.381
w	-	0.249
w	o	0.152
w	j	0.129
w	ˈa	0.074
ð	t	0.834
ð	d	0.13
ŋ	n_e	0.343
ŋ	n_o	0.27
ŋ	ŋ	0.177
ŋ	-	0.094
ŋ	n	0.094
ɐ	a	0.862
ɑ	a	0.519
ɔ	o	1.0
ɡ	ɡ	0.891
ɡ	s	0.104
ɣ	k	0.423
ɣ	ɡ	0.401
ɣ	-	0.109
ɣ	ʧ	0.058
ɪ	e	0.771
ɪ	o	0.083
ɪ	i	0.053
ɲ	n	0.427
ɲ	ɲ	0.393
ɲ	ŋ	0.108
ɲ	r	0.063
ɾ	r	0.504
ɾ	r_e	0.349
ɾ	-	0.065
ɾ	e_r	0.062
ʃ	ʤ	0.511
ʃ	s	0.201
ʃ	-	0.113
ʃ	ʃ	0.113
ʃ	b	0.058
ʊ	o	0.941
ʎ	ʎ	0.31
ʎ	k_k	0.306
ʎ	-	0.151
ʎ	k	0.075
ʎ	n	0.075
ʎ	z	0.07
ʧ	j	1.0
ˈa	ˈa	0.935
ˈe	ˈe	0.482
ˈe	ˈɛ	0.216
ˈe	-	0.12
ˈe	ˈi	0.086
ˈe	ˈa	0.062
ˈi	ˈi	0.673
ˈi	ˈe	0.138
ˈi	ˈi_l	0.052
ˈo	ˈo	0.449
ˈo	ˈɔ	0.395
ˈo	ˈu	0.094
ˈu	ˈu	0.79
ˈu	ˈo	0.104
ˈu	ˈɔ	0.055
ˈu	o	0.051
ˈɑ	ˈa	1.0
ˈɔ	ˈɔ	0.741
ˈɔ	ˈo	0.218
ˈɛ	ˈɛ	0.635
ˈɛ	ˈɛ_l	0.188
ˈɛ	ˈɛ_r	0.118
ˈɛ	ˈe	0.063
β	v	0.339
β	p	0.334
β	b	0.15
β	-	0.099
θ	ʧ	0.376
θ	ʧ_e	0.232
θ	ʦ	0.155
θ	-	0.094
θ	ʃ	0.06
