Upper Sorbian	Čakavian	probability
β	ʋ	1.0
ˈɔ_ʀ	r̩̂	1.0
ˈu	ûː	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ʀʲ	r	1.0
ʀ	r	1.0
ɪ	-	1.0
ɦ	ɡ	1.0
ɥ	ʋ	1.0
ɔ_#>	ô_#>	1.0
z	z	1.0
x_#>	k_#>	1.0
x	x	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
l	l	1.0
kʲ_i	a_k	1.0
k	k	1.0
j	j	1.0
i	i	1.0
e	ê	1.0
d	d	1.0
b	b	1.0
a_#>	a_#>	1.0
a	â	1.0
<#_β	<#	1.0
<#_ʀ	<#_r	1.0
w	l	0.867
m	m	0.778
ɔ	o	0.75
ɛ	e	0.714
ˈo	ôː	0.667
ɲ	n	0.667
ˈɛ	e	0.6
ˈa	â	0.6
ʃ	ʃ	0.6
ʧ	t	0.529
ˈɪ	îː	0.5
ˈɪ	î	0.5
ˈi	î	0.429
ˈɛ	î	0.4
ˈa	ǎː	0.4
ʃ	r	0.4
ˈɔ	ô	0.381
ˈo	âː	0.333
ˈe	î	0.333
ɲ	ɲ	0.333
ˈi	îː	0.286
ˈi	-	0.286
ɛ	î	0.286
ɔ	e	0.25
ʧ	t_i	0.235
m	n	0.222
ˈe	îː	0.2
ˈe	-	0.2
ˈɔ	o	0.19
ˈɔ	-	0.143
ˈe	ǐː	0.133
ˈe	êː	0.133
w	-	0.133
ʧ	a_t	0.118
ʧ	-	0.118
ˈɔ	ê	0.095
ˈɔ	â	0.095
ˈɔ	a	0.095
