Aragonese	Latin	probability
d	d	1.0
f	f	1.0
u	-	1.0
ʝ	-	1.0
m	m	0.981
n	n	0.821
r	r	0.961
t	t	0.71
w	w	0.091
ð	d	0.11
ɡ	ɡʷ	0.121
ɡ	k	0.421
ɲ	n	0.631
ɾ	r_ɛ	0.321
ʎ	ɫ	0.051
ʎ	ʊ_ɫ	0.251
β	b	0.401
a	ãː	0.562
b	b	0.282
e	ɛ̃ː	0.252
l	ɫ	0.572
w	kʷ	0.12
ŋ	ŋ	0.942
ɣ	ɡ	0.2
ʃ	s_k	0.392
ʧ	ɡ	0.912
ˈe	ˈɛ	0.092
θ	k_ɛ̃ː	0.42
i	ˈiː	0.133
n	n_ɛ̃ː	0.053
ʎ	lʲ_i	0.123
ˈe	ɛ̃ː	0.053
ˈe	ɛ	0.063
ˈi	ˈiː	0.953
β	p	0.263
θ	k	0.523
e	-	0.064
i	ɛ	0.4
j	i	0.114
j	-	0.724
l	<#_h	0.054
n	ŋ	0.054
t	k_t	0.184
ɣ	k	0.714
ɾ	r	0.544
ˈe	ɛ̃ː_#>	0.114
ˈe	ˈeː	0.264
w	ˈɔ	0.555
ð	t	0.85
ʎ	lʲː	0.405
ˈa	ˈa	0.455
ˈu	ˈʊ	0.355
ˈu	ˈuː	0.645
β	w	0.25
a	aː	0.086
l	lʲː	0.106
o	ɔ	0.086
t	tː	0.06
ɣ	-	0.086
β	p_ɛ	0.076
e	ɪ	0.197
e	ɛ	0.367
i	iː	0.467
j	w	0.057
o	oː	0.077
o	ʊ̃ː	0.697
p	p	0.987
w	-	0.197
ˈo	ˈɔ	0.077
θ	t_i	0.057
a	a	0.168
b	w	0.718
s	s	0.98
ŋ	-	0.058
ɾ	-	0.068
ʃ	sː	0.608
ʧ	j	0.088
ˈa	ˈaː	0.478
ˈe	ˈa	0.088
ˈo	ˈoː	0.608
j	ɫ	0.089
k	k	0.949
l	l	0.19
ɡ	ɡ	0.459
ɲ	nː	0.369
ʎ	-	0.169
ˈe	ˈɪ	0.19
ˈo	ˈau̯	0.099
ˈo	ˈʊ	0.179
