Bokmål Norwegian	Bokmål Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœʏ̯	ˈaʊ̯	1.0
ʋ_ə	m	1.0
ʋ_#>	v̥_#>	1.0
ʈ	t	1.0
ɾ_ə	æ	1.0
ɡ_ə	ɡ_n	1.0
ə_ɾ	æ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	kʰ	1.0
tː	t	1.0
t	t	1.0
sː	-	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#	<#_j	1.0
l	l	0.944
n	n	0.875
k	k	0.833
ˈɑ	ˈa	0.773
ˈʊ	-	0.75
d	d	0.737
j	-	0.714
ʋ	v	0.7
ˈæɪ̯	ˈae̯	0.667
nː_ə	n_n	0.667
ə	-	0.62
tʰ	d	0.619
ˈœ	-	0.615
ɡ	ɡ	0.615
ˈæː	-	0.6
ɳ	æ_n	0.6
ˈiː	ˈiː	0.588
ˈuː	ˈaʊ̯	0.571
ʂ	ʃ	0.571
ɡː	-	0.571
ˈʏ	ˈʏ	0.556
ˈʉː	ˈuː	0.556
ˈʉ	ˈʊ	0.538
ˈyː	ˈae̯	0.5
ˈoː	ˈɒː	0.5
#>	d̥_#>	0.473
s	z	0.472
ɾ	r	0.468
ˈɔ	-	0.455
ˈeː	ˈae̯	0.455
ˈʏ	-	0.444
ˈʉː	-	0.444
ʂ	z	0.429
ɡː	ç	0.429
ɾ	æ	0.404
ˈæː	ɾ	0.4
ɳ	æ	0.4
ˈœ	ˈɔʏ̯	0.385
tʰ	tʰ	0.381
ˈɛ	ˈɛ	0.375
ˈɑː	ˈa	0.364
ˈeː	ˈɛː	0.364
s	ʃ	0.361
ˈøː	ˈaʊ̯	0.353
ˈæɪ̯	-	0.333
ˈyː	-	0.333
nː_ə	n	0.333
ə	n	0.32
ˈøː	-	0.294
ˈuː	ˈuː	0.286
j	x	0.286
ˈɑː	ˈɒː	0.273
d	-	0.263
ˈʊ	ˈøː	0.25
ˈɛ	-	0.25
ˈiː	ˈɪ	0.235
ˈʉ	v_ˈʊ	0.231
ˈʉ	-	0.231
ɡ	-	0.231
ʋ	w	0.2
ˈɛ	ˈʏ	0.188
ˈɛ	ˈɪ	0.188
ˈɔ	ˈʊ	0.182
ˈɔ	ˈɒː	0.182
ˈɔ	ˈa	0.182
ˈɑː	ˈaː	0.182
ˈɑː	-	0.182
ˈeː	-	0.182
#>	ç_#>	0.182
ˈøː	ˈɔʏ̯	0.176
ˈøː	ˈoː	0.176
ˈyː	ˈyː	0.167
ˈoː	ˈɒː_n	0.167
ˈoː	ˈoː	0.167
ˈoː	ˈaʊ̯	0.167
k	-	0.167
ɡ	ɣ̊	0.154
ˈuː	ˈaʊ̯_ɾ	0.143
ˈɑ	-	0.136
#>	n_#>	0.127
n	-	0.125
ˈiː	ˈae̯	0.118
s	s	0.111
ʋ	m	0.1
ˈɑ	ˈɔ	0.091
ɾ	-	0.085
ˈiː	ɣ	0.059
s	-	0.056
l	ɡ_l	0.056
#>	ˈae̯_#>	0.055
#>	m_#>	0.055
