Polish	Macedonian	probability
ˈɨ	ˈi	1.0
ˈɛ_r	ˈr̩	1.0
ˈɛ_k	ˈɛ_k	1.0
ˈu_x	ˈu	1.0
ˈi	ˈi	1.0
ˈa_r	ˈr̩	1.0
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʈ͡ʂ	ʧ	1.0
ɲ_ʨ	t	1.0
ɲ_#>	n_#>	1.0
ɲ	n	1.0
ɨ_#>	#>	1.0
ɨ	f	1.0
ɡ	ɡ	1.0
ɛ_w̃	ɛ	1.0
ɕ	s	1.0
z	z	1.0
w̃_z	z	1.0
w_ˈɔ	ˈo	1.0
w	ɫ	1.0
v_j	v	1.0
v	v	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m_p	p	1.0
m_j	m	1.0
m_#>	m_#>	1.0
m	m	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
i_#>	#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʨ	<#_t	1.0
<#_x	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
#>	ɛ_#>	1.0
ɔ	o	0.733
ˈɛ	ˈɛ	0.667
l	l	0.643
ˈu	ˈo	0.6
ɛ	ɛ	0.533
ˈa	ˈɛ	0.5
ʨ	ɛ	0.5
ʨ	t	0.5
ʐ	ʒ	0.5
ʐ	r	0.5
j	j	0.429
ˈɔ	ˈo	0.391
ˈɔ	ˈa	0.391
l	ɫ	0.357
ˈa	ˈa	0.3
j	ˈɛ	0.286
j	-	0.286
ˈɛ	ˈa	0.2
ˈu	ˈu	0.2
ˈu	ˈa	0.2
ˈa	ɛ	0.2
ɛ	-	0.2
ˈɛ	ˈo	0.133
ɛ	ˈɛ	0.133
ɛ	u	0.133
ɔ	ˈo	0.133
ɔ	a	0.133
ˈɔ	ˈɛ	0.13
ˈɔ	ɛ	0.087
